group	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	group	%pronouns	%error	%verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
46.0	0	46.0	4.7407407407407405	138	22	21	0	17	21	5	0.21630804077010196	9	0	1	6	0	0	5	0	0	1	0	0	10	3	0	0	3	1	0	46.0	0.15217391304347827	0.0	0.12318840579710146	0.15217391304347827	0.036231884057971016	0.0	0.3	0.1	0.0
47.0	6	47.0	4.081912144702843	437	46	41	4	40	80	27	0.2579570626661611	12	0	2	2	0	1	23	3	0	0	0	3	122	3	0	0	26	12	2	141.0	0.09382151029748284	0.0975609756097561	0.09153318077803203	0.18306636155606407	0.06178489702517163	0.0	0.21311475409836064	0.09836065573770492	0.01639344262295082
50.0	30	50.0	4.921374994904407	736	82	68	3	76	61	27	0.19995401361283036	42	2	8	5	0	1	13	2	0	2	1	6	7	0	0	0	1	0	0	150.0	0.09239130434782608	0.04411764705882353	0.10326086956521739	0.08288043478260869	0.036684782608695655	0.0	0.14285714285714285	0.0	0.0
51.0	39	51.0	5.235954454406204	1414	134	102	4	161	155	58	0.20535369497821918	48	16	20	0	0	3	30	2	0	3	0	12	17	2	1	0	3	0	1	153.0	0.07213578500707214	0.0392156862745098	0.11386138613861387	0.10961810466760961	0.04101838755304102	0.058823529411764705	0.17647058823529413	0.0	0.058823529411764705
53.0	48	53.0	6.227948717948718	1548	168	138	4	190	223	57	0.16026776545290233	69	5	18	1	0	3	29	24	0	4	3	12	8	1	1	0	2	0	0	159.0	0.08914728682170543	0.028985507246376812	0.1227390180878553	0.14405684754521964	0.03682170542635659	0.125	0.25	0.0	0.0
54.0	57	54.0	7.309734709734709	1918	242	186	6	266	191	53	0.19476964946745753	127	23	22	0	0	9	14	7	0	3	3	34	0	0	0	0	0	0	0	162.0	0.09697601668404589	0.03225806451612903	0.1386861313868613	0.09958289885297185	0.027632950990615225				
55.0	43	55.0	6.003544528134691	611	84	72	1	83	63	36	0.20190827575695997	44	3	5	0	0	19	4	1	0	1	0	7	0	0	0	0	0	0	0	110.0	0.11783960720130933	0.013888888888888888	0.13584288052373159	0.10310965630114566	0.058919803600654665				
56.0	23	56.0	5.541666666666668	400	45	34	1	63	57	17	0.18989769820971866	27	0	5	1	0	4	2	0	0	0	0	6	0	0	0	0	0	0	0	56.0	0.085	0.029411764705882353	0.1575	0.1425	0.0425				
57.0	25	57.0	9.875	786	73	56	2	88	106	43	0.20745798319327727	39	6	11	0	0	3	3	1	0	0	4	6	0	0	0	0	0	0	0	57.0	0.07124681933842239	0.03571428571428571	0.11195928753180662	0.13486005089058525	0.054707379134860054				
58.0	26	58.0	4.027027027027027	329	34	27	0	44	12	3	0.2255700325732899	22	4	0	0	0	0	0	0	1	0	0	7	69	1	0	0	7	11	0	58.0	0.08206686930091185	0.0	0.1337386018237082	0.0364741641337386	0.00911854103343465	0.0	0.10144927536231885	0.15942028985507245	0.0
59.0	55	59.0	8.80924122540069	1575	173	141	4	179	161	94	0.15307433123135744	100	6	14	5	0	11	12	5	1	1	0	18	80	0	0	0	11	5	1	118.0	0.08952380952380952	0.028368794326241134	0.11365079365079366	0.10222222222222223	0.059682539682539684	0.0	0.1375	0.0625	0.0125
