	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner
0	21	1.8518518518518519	239	2	1	0	8	21	7	0.15386949924127466	0	1	0	0	0	0	0	0	0	0	0	1	126	12	8	0	12	19	5
1	21	1.8636363636363635	171	9	4	0	17	25	2	0.1481723237597911	4	0	3	0	0	0	0	0	0	0	0	2	66	2	1	0	10	10	2
2	22	1.8372093023255813	266	9	4	1	16	59	4	0.13438848920863308	1	1	2	2	0	0	0	0	0	0	0	3	331	54	17	0	39	19	5
3	23	1.930232558139535	282	21	17	0	33	43	4	0.12955354697343194	15	1	3	0	0	1	0	0	0	0	0	1	15	1	0	0	2	1	0
4	25	2.4145077720207255	524	42	29	0	62	73	13	0.1340825927861997	21	4	5	1	0	0	0	2	0	0	1	8	57	4	3	0	10	4	1
5	26	2.8636363636363638	458	45	32	0	78	81	17	0.12914156626506024	25	5	9	0	0	0	0	1	0	0	1	4	1976	210	74	0	242	196	105
6	26	2.5625	661	63	26	0	90	127	15	0.10445601851851852	11	2	19	0	0	4	6	3	0	0	0	18	2515	324	114	1	302	264	105
7	27	2.753968253968254	391	59	42	0	70	64	7	0.12360016590626297	39	0	9	2	0	0	0	1	0	0	0	8	1805	185	62	0	199	163	85
8	28	2.6344827586206896	398	53	18	0	64	51	11	0.1341381623071764	12	2	6	1	0	1	1	1	0	0	0	29	1934	311	84	0	218	128	53
9	29	2.9473684210526314	584	53	39	0	92	78	10	0.1276233692569484	26	0	3	0	0	8	3	0	0	2	0	11	2166	252	69	0	258	208	100
10	30	2.6161616161616164	305	32	27	0	47	43	4	0.15033091711314214	23	2	0	0	0	0	1	0	0	1	0	5	113	4	3	0	24	11	2
11	31	3.8533333333333335	638	88	60	0	99	29	3	0.12325502213142663	32	1	20	0	0	17	10	0	0	0	0	8	2094	272	98	0	224	159	58
12	32	4.962825278810409	1357	242	153	0	211	81	12	0.10551093879811686	78	2	45	0	0	31	26	15	0	1	0	44	2243	365	150	0	289	149	81
13	32	4.202479338842975	1115	199	107	0	184	80	7	0.10511523327712198	58	13	63	0	0	16	11	5	0	3	1	29	2260	354	112	0	268	205	64
14	33	4.069105691056911	1033	105	59	0	179	174	83	0.09059926157341665	15	10	35	0	0	32	0	2	0	0	0	11	2443	303	99	0	275	307	137
15	34	4.698795180722891	822	109	76	0	116	102	34	0.11644571838050878	37	4	21	3	0	12	3	7	0	10	0	12	8	0	0	0	0	0	0
16	34	4.29126213592233	1360	182	124	0	190	124	58	0.11711990111248455	27	1	27	8	0	40	14	10	0	19	5	31	51	3	1	0	10	7	4
17	35	3.7	460	80	25	0	63	50	6	0.14651773981603153	17	2	35	0	0	1	3	2	0	0	0	20	728	123	48	0	105	65	20
18	36	4.716312056737588	1293	154	115	2	210	196	96	0.1307867442448773	20	2	30	0	0	48	23	6	0	15	1	9	2098	277	109	3	262	237	134
