	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner
0	46.0	4.7407407407407405	138	22	21	0	17	21	5	0.21630804077010193	9	0	1	6	0	0	5	0	0	1	0	0	10	3	0	0	3	1	0
1	47.0	5.566666666666666	177	30	26	4	18	28	9	0.2889447236180904	5	0	2	2	0	0	16	3	0	0	0	2	31	0	0	0	7	3	0
2	47.0	3.4	125	8	7	0	16	18	10	0.2358036573628489	6	0	0	0	0	0	1	0	0	0	0	1	70	3	0	0	15	7	2
3	47.0	3.2790697674418605	135	8	8	0	6	34	8	0.24912280701754386	1	0	0	0	0	1	6	0	0	0	0	0	21	0	0	0	4	2	0
4	48.0	2.2045454545454546	106	2	2	0	12	10	6	0.2133499688084841	2	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1	1	0
5	48.0	3.764705882352941	73	4	4	0	11	7	0	0.26131045241809675	4	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	15	9	0
6	48.0	3.4193548387096775	148	8	7	0	17	8	0	0.21470588235294116	7	0	0	0	0	0	0	0	0	0	0	1	37	1	0	0	5	4	0
7	49.0	3.1025641025641026	314	18	14	0	28	40	4	0.18404118404118405	10	1	3	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
8	49.0	2.7777777777777777	155	6	5	0	16	20	7	0.22916666666666666	5	0	1	0	0	0	0	0	0	0	0	0	131	2	1	0	16	15	0
9	50.0	4.076923076923077	79	7	5	0	7	7	2	0.2525366403607666	2	0	2	0	0	0	3	0	0	0	0	0	3	0	0	0	1	0	0
10	50.0	3.3783783783783785	156	22	22	1	15	7	3	0.17886178861788618	14	2	0	1	0	0	4	1	0	0	0	0	0	0	0	0	0	0	0
11	50.0	7.3088235294117645	501	53	41	2	54	47	22	0.16846361185983827	26	0	6	4	0	1	6	1	0	2	1	6	4	0	0	0	0	0	0
12	51.0	4.536585365853658	196	30	27	1	36	35	15	0.1565186246418338	8	0	0	0	0	0	16	1	0	2	0	3	16	2	1	0	3	0	1
13	51.0	4.565217391304348	212	10	8	0	9	30	15	0.25254813137032844	7	0	2	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0
14	51.0	6.606060606060606	1006	94	67	3	116	90	28	0.20699432892249528	33	16	18	0	0	3	14	0	0	1	0	9	0	0	0	0	0	0	0
15	53.0	5.58	340	28	21	0	37	65	12	0.16268311488049345	19	0	5	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0
16	53.0	5.95	744	79	72	1	91	89	29	0.1432985708767864	25	3	3	0	0	0	22	17	0	4	1	4	0	0	0	0	0	0	0
17	53.0	7.153846153846154	464	61	45	3	62	69	16	0.17482161060142712	25	2	10	1	0	3	7	6	0	0	1	6	8	1	1	0	2	0	0
18	54.0	9.380952380952381	769	105	74	3	122	77	20	0.18994683421942968	53	13	9	0	0	0	5	3	0	0	0	22	0	0	0	0	0	0	0
19	54.0	6.748251748251748	892	100	76	3	105	71	20	0.15453527435610304	51	10	13	0	0	3	5	4	0	1	2	11	0	0	0	0	0	0	0
20	54.0	5.8	257	37	36	0	39	43	13	0.23982683982683983	23	0	0	0	0	6	4	0	0	2	1	1	0	0	0	0	0	0	0
21	55.0	5.351351351351352	225	29	24	0	30	28	18	0.21467181467181468	20	0	1	0	0	2	0	1	0	1	0	4	0	0	0	0	0	0	0
22	55.0	6.655737704918033	386	55	48	1	53	35	18	0.18914473684210525	24	3	4	0	0	17	4	0	0	0	0	3	0	0	0	0	0	0	0
23	56.0	5.541666666666667	400	45	34	1	63	57	17	0.18989769820971866	27	0	5	1	0	4	2	0	0	0	0	6	0	0	0	0	0	0	0
24		7.584269662921348	646	70	48	1	73	66	32	0.18863049095607234	33	2	9	1	1	3	3	3	1	1	0	13	3	0	0	0	0	0	0
25	57.0	9.875	786	73	56	2	88	106	43	0.20745798319327732	39	6	11	0	0	3	3	1	0	0	4	6	0	0	0	0	0	0	0
26	58.0	4.027027027027027	329	34	27	0	44	12	3	0.2255700325732899	22	4	0	0	0	0	0	0	1	0	0	7	69	1	0	0	7	11	0
27	59.0	10.575471698113208	926	101	88	3	104	95	48	0.16117092866756394	53	5	5	4	0	11	8	5	1	1	0	8	80	0	0	0	11	5	1
28	59.0	7.043010752688172	649	72	53	1	75	66	46	0.14497773379515091	47	1	9	1	0	0	4	0	0	0	0	10	0	0	0	0	0	0	0
