	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner
0	37	4.9411764705882355	409	35	26	0	39	83	11	0.24251069900142652	24	0	5	0	0	0	0	2	0	0	0	4	78	0	0	0	14	8	0
1	37	4.254545454545455	472	51	39	0	38	60	21	0.19035532994923857	18	0	0	15	2	0	0	4	0	0	0	12	225	15	9	0	24	16	5
2	38	5.141304347826087	470	37	33	0	31	72	26	0.20815318097591107	26	1	2	0	0	0	0	5	0	1	0	2	844	93	29	0	104	106	42
3	38	7.204081632653061	339	27	20	0	39	41	16	0.22138836772983114	15	0	3	0	0	0	0	2	0	2	1	4	93	5	0	0	11	7	2
4	38	6.980769230769231	702	43	36	0	51	115	37	0.2241183162684869	23	0	1	10	0	1	0	2	0	0	0	6	137	10	6	1	18	20	1
5	39	7.08080808080808	700	51	49	0	91	68	38	0.1669449081803005	27	2	1	6	0	1	0	0	0	13	0	1	0	0	0	0	0	0	0
6	40	5.818181818181818	444	42	34	0	52	50	39	0.1563380281690141	29	1	0	0	0	1	0	0	0	3	0	8	130	5	2	0	24	8	2
7	40	4.78740157480315	613	57	50	0	94	81	27	0.22622420072845	33	0	1	8	0	9	0	0	0	0	0	6	737	20	7	0	108	67	15
8	41	5.448275862068965	810	103	91	3	113	76	44	0.15458937198067632	63	4	4	1	0	13	2	0	0	3	5	8	0	0	0	0	0	0	0
9	41	5.724770642201835	648	51	37	1	50	72	27	0.2031480570585342	35	0	7	0	1	0	0	0	0	1	0	7	0	0	0	0	0	0	0
10	42	5.505376344086022	533	57	43	0	80	60	46	0.2221130221130221	35	0	7	1	2	0	0	0	0	1	4	7	0	0	0	0	0	0	0
11	42	5.509433962264151	636	108	65	0	87	63	31	0.16762240846934273	56	1	25	2	3	0	0	0	1	0	2	18	0	0	0	0	0	0	0
12	42	5.181818181818182	473	65	35	0	66	56	20	0.18317972350230416	29	1	8	0	1	0	1	1	0	1	1	22	13	0	0	0	1	0	0
13	43	5.7834394904458595	940	144	117	3	150	102	56	0.20249574588769143	93	0	19	4	7	1	0	1	0	5	6	8	68	0	0	0	7	10	5
14	43	6.6940298507462686	886	143	94	0	127	114	67	0.17393238434163702	83	0	40	1	0	0	0	0	1	7	2	9	0	0	0	0	0	0	0
15	43	3.2777777777777777	260	9	6	0	40	34	9	0.18508997429305912	4	1	1	1	0	0	0	0	0	0	0	2	229	3	0	0	39	20	3
16	44	4.882758620689655	722	69	54	0	69	92	39	0.20423143350604492	28	0	5	6	1	2	0	0	0	17	0	10	196	6	3	0	28	22	8
