0,1,2
<s>,you,wan
you,wan,ta
<s>,did,you
did,you,see
you,see,the
<s>,did,you
did,you,see
you,see,the
<s>,he,wants
he,wants,to
a,pen,you
pen,you,said
you,said,it
you,said,it
said,it,was
it,was,a
<s>,i,think
i,think,it's
penny,are,you
are,you,gonna
you,gonna,write
<s>,you,get
you,get,in
your,seat,you
seat,you,get
you,get,in
your,seat,you
seat,you,get
you,get,in
<s>,peter,you
peter,you,wanna
you,wanna,sit
<s>,is,it
is,it,hot
it,hot,<\s>
<s>,you,want
you,want,some
<s>,would,you
would,you,like
you,like,some
<s>,you,xxx
you,xxx,<\s>
<s>,you,want
you,want,some
<s>,are,you
are,you,finished
you,finished,<\s>
why,are,you
are,you,pushing
you,pushing,the
<s>,you,gonna
you,gonna,eat
<s>,you,can
you,can,finish
<s>,think,you
think,you,can
you,can,use
<s>,you,finished
you,finished,<\s>
<s>,you,want
you,want,any
why,don't,you
don't,you,take
you,take,another
<s>,you,wanna
you,wanna,take
okay,let,me
let,me,wash
me,wash,<\s>
<s>,you,hit
you,hit,your
chair,hit,you
hit,you,<\s>
<s>,do,you
do,you,have
you,have,some
<s>,can,i
can,i,have
i,have,some
<s>,i,hafta
i,hafta,put
<s>,could,you
could,you,just
you,just,give
just,give,it
give,it,to
it,to,me
it,to,me
to,me,and
me,and,then
i'll,put,it
put,it,away
it,away,for
broken,isn't,it
isn't,it,<\s>
<s>,you,gonna
you,gonna,read
the,book,you
book,you,gonna
you,gonna,read
<s>,are,you
are,you,gonna
you,gonna,pat
bunny,don't,they
don't,they,<\s>
bye,to,you
to,you,that's
you,that's,right
<s>,peek,you
peek,you,like
you,like,to
<s>,you,gonna
you,gonna,look
<s>,did,you
did,you,find
you,find,the
<s>,can,you
can,you,stick
you,stick,your
good,does,it
does,it,<\s>
<s>,he,talks
he,talks,to
what,are,you
are,you,looking
you,looking,at
what,does,she
does,she,have
she,have,in
have,in,her
in,her,hand
her,hand,<\s>
more,pennies,you
pennies,you,don't
you,don't,have
<s>,is,she
is,she,gone
she,gone,<\s>
<s>,are,you
are,you,playing
you,playing,with
<s>,should,we
should,we,wipe
we,wipe,your
your,mouth,you
mouth,you,gonna
you,gonna,stick
why,don't,you
don't,you,let
you,let,me
you,let,me
let,me,wash
me,wash,out
cup,do,you
do,you,wanna
you,wanna,wash
here,let,me
let,me,wash
me,wash,out
<s>,do,you
do,you,want
you,want,some
<s>,you,finished
you,finished,<\s>
<s>,you,want
you,want,more
don't,spill,it
spill,it,you
spill,it,you
it,you,want
it,you,want
you,want,more
down,do,you
do,you,want
you,want,more
<s>,do,you
do,you,want
you,want,more
gonna,pour,it
pour,it,there
it,there,i'll
i'll,spill,it
spill,it,<\s>
i'll,pour,you
pour,you,some
you,some,juice
juice,put,it
put,it,down
it,down,<\s>
<s>,oh,you
oh,you,want
you,want,to
in,oh,i
oh,i,see
i,see,<\s>
<s>,do,you
do,you,want
you,want,me
you,want,me
want,me,to
me,to,wash
to,wash,it
wash,it,out
it,out,<\s>
<s>,i,don't
i,don't,think
don't,think,you
think,you,wanna
you,wanna,drink
more,do,you
do,you,<\s>
<s>,you,had
you,had,enough
juice,huh,you
huh,you,don't
you,don't,wanna
<s>,shall,i
shall,i,wash
i,wash,this
<s>,you,want
you,want,water
<s>,do,you
do,you,wanna
you,wanna,pour
wanna,pour,it
pour,it,out
it,out,<\s>
<s>,that's,it
that's,it,that's
it,that's,it
that's,it,no
it,no,more
<s>,you,can
you,can,pour
can,pour,it
pour,it,out
it,out,if
out,if,you
if,you,don't
you,don't,want
don't,want,it
want,it,pour
it,pour,it
pour,it,out
it,out,if
out,if,you
if,you,don't
you,don't,want
don't,want,it
want,it,<\s>
<s>,pour,it
pour,it,<\s>
<s>,you,want
you,want,me
you,want,me
want,me,to
me,to,pour
to,pour,it
pour,it,<\s>
<s>,i,think
i,think,she
i,think,she
think,she,wants
she,wants,her
she,wants,her
wants,her,cup
her,cup,now
now,don't,you
don't,you,<\s>
yeah,can,we
can,we,fix
we,fix,it
we,fix,it
fix,it,<\s>
<s>,can,we
can,we,fix
we,fix,it
we,fix,it
fix,it,<\s>
what,is,it
is,it,<\s>
that,how,it
how,it,works
it,works,<\s>
<s>,behind,you
behind,you,peter
you,peter,<\s>
with,when,they
when,they,come
they,come,to
yours,isn't,it
