0,1,2
<s>,baby,<\s>
<s>,xxx,it
xxx,it,<\s>
<s>,it,fit
it,fit,<\s>
<s>,xxx,<\s>
<s>,push,push
push,push,push
push,push,<\s>
<s>,anne,<\s>
<s>,what's,that
what's,that,<\s>
<s>,what's,that
what's,that,<\s>
<s>,baby,baby
baby,baby,mummy
baby,mummy,<\s>
<s>,car,<\s>
<s>,hair,<\s>
<s>,xxx,<\s>
<s>,what's,that
what's,that,<\s>
<s>,train,<\s>
<s>,choo,<\s>
<s>,big,<\s>
<s>,tip,<\s>
<s>,tip,xxx
tip,xxx,<\s>
<s>,spider,<\s>
<s>,spider,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,what's,that
what's,that,<\s>
<s>,piggy,<\s>
<s>,what's,that
what's,that,<\s>
<s>,a,cake
a,cake,<\s>
<s>,what's,that
what's,that,<\s>
<s>,look,<\s>
<s>,teddy,<\s>
<s>,blue,<\s>
<s>,teddy,<\s>
<s>,dolly,<\s>
<s>,mm,<\s>
<s>,eat,cake
eat,cake,<\s>
<s>,teddy,<\s>
<s>,hello,<\s>
<s>,there,it
there,it,goes
it,goes,<\s>
<s>,boat,<\s>
<s>,what,<\s>
<s>,i,sweep
i,sweep,it
sweep,it,<\s>
<s>,a,mess
a,mess,<\s>
<s>,yeah,<\s>
<s>,i,find
i,find,it
find,it,<\s>
<s>,i,xxx
i,xxx,<\s>
<s>,big,<\s>
<s>,too,big
too,big,<\s>
<s>,table,<\s>
<s>,bath,<\s>
<s>,xxx,<\s>
<s>,a,sheeps
a,sheeps,sheep
sheeps,sheep,<\s>
<s>,baa,<\s>
<s>,xxx,<\s>
<s>,in,there
in,there,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,spoon,<\s>
<s>,spade,<\s>
<s>,xxx,<\s>
<s>,a,strawberrys
a,strawberrys,<\s>
<s>,strawberry,<\s>
<s>,here,you
here,you,are
you,are,<\s>
<s>,yeah,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,eat,it
eat,it,<\s>
<s>,eat,that
eat,that,<\s>
<s>,tummy,<\s>
<s>,away,<\s>
<s>,mess,<\s>
<s>,xxx,<\s>
<s>,oh,<\s>
<s>,xxx,<\s>
<s>,in,mouth
in,mouth,<\s>
<s>,xxx,<\s>
<s>,teeth,<\s>
<s>,more,teeths
more,teeths,<\s>
<s>,a,look
a,look,it
look,it,<\s>
<s>,put,away
put,away,<\s>
<s>,more,<\s>
<s>,put,away
put,away,<\s>
<s>,away,<\s>
<s>,away,<\s>
<s>,what's,this
what's,this,<\s>
<s>,brush,<\s>
<s>,i,dropped
i,dropped,it
dropped,it,<\s>
<s>,what,else
what,else,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,there,<\s>
<s>,oh,<\s>
<s>,put,back
put,back,<\s>
<s>,yes,<\s>
<s>,oh,<\s>
<s>,xxx,toes
xxx,toes,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,oh,look
oh,look,<\s>
<s>,oh,look
oh,look,<\s>
<s>,oh,it's
oh,it's,there
it's,there,<\s>
<s>,a,fish
a,fish,<\s>
<s>,fish,<\s>
<s>,what,<\s>
<s>,stuck,<\s>
<s>,xxx,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,fighting,<\s>
<s>,come,here
come,here,xxx
here,xxx,<\s>
<s>,peepbo,peekaboo
peepbo,peekaboo,<\s>
<s>,a,cuddle
a,cuddle,<\s>
<s>,want,juice
want,juice,<\s>
<s>,gone,<\s>
<s>,more,<\s>
<s>,no,<\s>
<s>,else,there
else,there,<\s>
<s>,yeah,<\s>
<s>,xxx,there
xxx,there,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,want,juice
want,juice,<\s>
<s>,want,juice
want,juice,<\s>
<s>,yeah,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,xxx,<\s>
<s>,no,<\s>
<s>,xxx,<\s>
<s>,a,biscuit
a,biscuit,<\s>
<s>,no,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,a,big
a,big,<\s>
<s>,bowl,<\s>
<s>,yeah,<\s>
<s>,anne,<\s>
<s>,can't,reach
can't,reach,<\s>
<s>,yes,<\s>
<s>,no,<\s>
<s>,go,away
go,away,<\s>
<s>,where,gone
where,gone,<\s>
<s>,there,<\s>
<s>,no,<\s>
<s>,xxx,<\s>
<s>,no,more
no,more,<\s>
<s>,drop,it
drop,it,<\s>
<s>,mhm,<\s>
<s>,who,else
who,else,<\s>
<s>,ellie,<\s>
<s>,alistair,<\s>
<s>,and,davey
and,davey,<\s>
<s>,who,else
who,else,<\s>
<s>,john,<\s>
<s>,daddy,<\s>
<s>,yeah,<\s>
<s>,at,work
at,work,<\s>
<s>,balls,<\s>
<s>,xxx,balls
xxx,balls,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,house,<\s>
<s>,slide,<\s>
<s>,mouth,<\s>
<s>,xxx,<\s>
<s>,can't,reach
can't,reach,<\s>
<s>,can't,reach
can't,reach,<\s>
<s>,xxx,<\s>
<s>,anne,<\s>
<s>,yeah,<\s>
<s>,xxx,balls
xxx,balls,<\s>
<s>,xxx,<\s>
<s>,oh,<\s>
<s>,gone,<\s>
<s>,gone,<\s>
<s>,gone,<\s>
<s>,oh,<\s>
<s>,a,biscuit
a,biscuit,<\s>
<s>,on,the
on,the,floor
the,floor,<\s>
<s>,bye,<\s>
<s>,xxx,<\s>
<s>,gone,<\s>
<s>,what's,that
what's,that,<\s>
<s>,there,<\s>
<s>,xxx,<\s>
<s>,what's,that
what's,that,<\s>
<s>,anne's,lid
anne's,lid,<\s>
<s>,gone,<\s>
<s>,there,<\s>
<s>,gone,<\s>
<s>,baby,<\s>
<s>,xxx,<\s>
<s>,stuck,<\s>
<s>,no,<\s>
<s>,oh,stuck
oh,stuck,<\s>
<s>,don't,break
don't,break,them
break,them,<\s>
<s>,xxx,<\s>
<s>,dinner,<\s>
<s>,open,it
open,it,<\s>
<s>,chocolate,<\s>
<s>,open,it
open,it,<\s>
<s>,cakeses,cakes
cakeses,cakes,<\s>
<s>,oh,<\s>
<s>,on,there
on,there,<\s>
<s>,more,blues
more,blues,<\s>
<s>,ball,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,stuck,<\s>
<s>,pussy,<\s>
<s>,some,more
some,more,<\s>
<s>,more,catses
more,catses,cats
catses,cats,<\s>
<s>,oh,bag
oh,bag,<\s>
<s>,more,bag
more,bag,<\s>
<s>,what's,that
what's,that,<\s>
<s>,a,shirt
a,shirt,<\s>
<s>,baby's,<\s>
<s>,xxx,<\s>
<s>,eggs,<\s>
<s>,is,that
is,that,pants
that,pants,<\s>
<s>,bib,<\s>
<s>,dress,<\s>
<s>,head,xxx
head,xxx,<\s>
<s>,xxx,head
xxx,head,<\s>
<s>,head,<\s>
<s>,yeah,<\s>
<s>,yes,<\s>
<s>,dress,<\s>
<s>,dress,<\s>
<s>,a,dress
a,dress,<\s>
<s>,yeah,<\s>
<s>,please,<\s>
<s>,stuck,<\s>
<s>,baby,<\s>
<s>,stuck,baby
stuck,baby,<\s>
<s>,baby,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,pants,for
pants,for,baby
for,baby,<\s>
<s>,no,<\s>
<s>,feet,<\s>
<s>,your,feet
your,feet,<\s>
<s>,trousers,<\s>
<s>,it,fit
it,fit,there
fit,there,<\s>
<s>,trousers,<\s>
<s>,what's,that
what's,that,<\s>
<s>,there,<\s>
<s>,there,<\s>
<s>,oh,<\s>
<s>,stuck,<\s>
<s>,yes,<\s>
<s>,yes,<\s>
<s>,feet,<\s>
<s>,what's,that
what's,that,<\s>
<s>,that's,a
that's,a,shirt
a,shirt,<\s>
<s>,trousers,<\s>
<s>,quickly,<\s>
<s>,xxx,<\s>
<s>,yes,<\s>
<s>,clothes,off
clothes,off,<\s>
<s>,oh,stuck
oh,stuck,<\s>
<s>,her,clothes
her,clothes,<\s>
<s>,a,shirt
a,shirt,<\s>
<s>,baby,<\s>
<s>,a,shirt
a,shirt,<\s>
<s>,a,shirt
a,shirt,<\s>
<s>,baby,<\s>
<s>,shirt,<\s>
<s>,xxx,<\s>
<s>,anne,<\s>
<s>,on,feet
on,feet,<\s>
<s>,dolly,<\s>
<s>,head,<\s>
<s>,head,<\s>
<s>,xxx,<\s>
<s>,baby,<\s>
<s>,a,baby
a,baby,<\s>
<s>,baby,<\s>
<s>,xxx,head
xxx,head,<\s>
<s>,want,these
want,these,<\s>
<s>,head,<\s>
<s>,hands,<\s>
<s>,xxx,<\s>
<s>,hands,<\s>
<s>,there,<\s>
<s>,xxx,there
xxx,there,<\s>
<s>,xxx,there
xxx,there,<\s>
<s>,mummy,<\s>
<s>,xxx,<\s>
<s>,sit,down
sit,down,<\s>
<s>,sit,down
sit,down,<\s>
<s>,xxx,button
xxx,button,<\s>
<s>,xxx,button
xxx,button,<\s>
<s>,button,<\s>
<s>,xxx,<\s>
<s>,drink,of
drink,of,juice
of,juice,<\s>
<s>,of,juice
of,juice,<\s>
<s>,drink,juice
drink,juice,<\s>
<s>,what's,that
what's,that,<\s>
<s>,baby,<\s>
<s>,xxx,<\s>
<s>,oh,no
oh,no,<\s>
<s>,what's,that
what's,that,<\s>
<s>,xxx,<\s>
<s>,xxx,chair
xxx,chair,<\s>
<s>,off,<\s>
<s>,sit,there
sit,there,<\s>
<s>,sit,there
sit,there,<\s>
<s>,sit,there
sit,there,<\s>
<s>,xxx,clothes
xxx,clothes,<\s>
<s>,clothes,off
clothes,off,<\s>
<s>,yes,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,a,pants
a,pants,<\s>
<s>,hat,<\s>
<s>,xxx,<\s>
<s>,pants,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,clothes,<\s>
<s>,see,<\s>
<s>,oh,here
oh,here,<\s>
<s>,xxx,<\s>
<s>,my,juice
my,juice,<\s>
<s>,xxx,<\s>
<s>,hello,<\s>
<s>,baby's,<\s>
<s>,xxx,<\s>
<s>,baby's,<\s>
<s>,anne's,<\s>
<s>,stuck,<\s>
<s>,a,mummy's
a,mummy's,<\s>
<s>,it,is
it,is,stuck
is,stuck,<\s>
<s>,open,it
open,it,<\s>
<s>,mummy,<\s>
<s>,xxx,clothes
xxx,clothes,<\s>
<s>,on,head
on,head,<\s>
<s>,oh,<\s>
<s>,xxx,<\s>
<s>,a,head
a,head,<\s>
<s>,head,<\s>
<s>,a,jill
a,jill,<\s>
<s>,james,<\s>
<s>,jill,<\s>
<s>,oh,<\s>
<s>,that,jill
that,jill,<\s>
<s>,what's,that
what's,that,<\s>
<s>,no,<\s>
<s>,baby's,<\s>
<s>,xxx,<\s>
<s>,her,name
her,name,xxx
name,xxx,<\s>
<s>,jill,<\s>
<s>,jill's,<\s>
<s>,whose,shoes
whose,shoes,<\s>
<s>,xxx,<\s>
<s>,xxx,bed
xxx,bed,<\s>
<s>,where,bed
where,bed,<\s>
<s>,baby,<\s>
<s>,there,jill
there,jill,<\s>
<s>,oh,<\s>
<s>,there,<\s>
<s>,xxx,<\s>
<s>,cover,up
cover,up,<\s>
<s>,xxx,<\s>
<s>,xxx,jill
xxx,jill,<\s>
<s>,stuck,<\s>
<s>,stuck,<\s>
<s>,there,<\s>
<s>,oh,stuck
oh,stuck,<\s>
<s>,oh,juice
oh,juice,<\s>
<s>,bed,<\s>
<s>,oh,stuck
oh,stuck,<\s>
<s>,xxx,baby
xxx,baby,<\s>
<s>,baby,stuck
baby,stuck,<\s>
<s>,yes,<\s>
<s>,xxx,<\s>
<s>,anne,<\s>
<s>,ta,<\s>
<s>,whoops,<\s>
<s>,gone,<\s>
<s>,missed,it
missed,it,<\s>
<s>,missed,it
missed,it,<\s>
<s>,missed,it
missed,it,<\s>
<s>,yes,<\s>
<s>,um,lost
um,lost,it
lost,it,<\s>
<s>,a,milk
a,milk,<\s>
<s>,there,you
there,you,are
you,are,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,hand,<\s>
<s>,xxx,<\s>
<s>,anne,<\s>
<s>,anne,nose
anne,nose,<\s>
<s>,anne,do
anne,do,it
do,it,<\s>
<s>,nose,<\s>
<s>,yes,<\s>
<s>,yes,<\s>
<s>,xxx,<\s>
<s>,yes,<\s>
<s>,xxx,<\s>
<s>,nose,<\s>
<s>,there,<\s>
<s>,jill,<\s>
<s>,jill,<\s>
<s>,nose,<\s>
<s>,mummy,<\s>
<s>,more,tissues
more,tissues,<\s>
<s>,nose,<\s>
<s>,nose,<\s>
<s>,tissues,<\s>
<s>,yeah,<\s>
<s>,tissues,<\s>
<s>,xxx,tissue
xxx,tissue,<\s>
<s>,wipe,it
wipe,it,please
it,please,<\s>
<s>,here,you
here,you,are
you,are,<\s>
<s>,tissue,<\s>
<s>,tissue,<\s>
<s>,baby's,<\s>
<s>,baby,<\s>
<s>,name,<\s>
<s>,oh,<\s>
<s>,nose,<\s>
<s>,oh,<\s>
<s>,nose,<\s>
<s>,got,it
got,it,<\s>
<s>,got,it
got,it,<\s>
<s>,bin,<\s>
<s>,where's,tissues
where's,tissues,<\s>
<s>,jill,<\s>
<s>,xxx,nose
xxx,nose,wash
nose,wash,<\s>
<s>,xxx,nose
xxx,nose,<\s>
<s>,no,more
no,more,<\s>
<s>,xxx,<\s>
<s>,where,bin
where,bin,<\s>
<s>,there,<\s>
<s>,yeah,<\s>
<s>,gone,<\s>
<s>,a,more
a,more,<\s>
<s>,yes,<\s>
<s>,yes,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,more,bin
more,bin,<\s>
<s>,more,bin
more,bin,<\s>
<s>,a,more
a,more,<\s>
<s>,more,<\s>
