0,1,2
<s>,here's,baby
here's,baby,<\s>
<s>,baby,willn't
baby,willn't,fit
willn't,fit,<\s>
<s>,is,it
is,it,too
it,too,big
too,big,<\s>
<s>,what,about
what,about,this
about,this,baby
this,baby,look
baby,look,<\s>
<s>,wanna,put
wanna,put,them
put,them,on
them,on,this
on,this,little
this,little,table
little,table,<\s>
<s>,or,put
or,put,them
put,them,on
them,on,this
on,this,table
this,table,<\s>
<s>,what,about
what,about,that
about,that,<\s>
<s>,make,mummy
make,mummy,push
mummy,push,her
push,her,<\s>
<s>,push,her
push,her,then
her,then,<\s>
<s>,push,push
push,push,push
push,push,<\s>
<s>,what's,she
what's,she,doing
she,doing,<\s>
<s>,what's,she
what's,she,doing
she,doing,<\s>
<s>,what's,she
what's,she,doing
she,doing,<\s>
<s>,pardon,<\s>
<s>,what's,baby
what's,baby,doing
baby,doing,<\s>
<s>,is,that
is,that,anne
that,anne,<\s>
<s>,is,it
is,it,<\s>
<s>,who's,that
who's,that,<\s>
<s>,who,do
who,do,you
do,you,think
you,think,it
think,it,is
it,is,<\s>
<s>,baby's,mummy
baby's,mummy,<\s>
<s>,put,them
put,them,on
them,on,the
on,the,table
the,table,look
table,look,<\s>
<s>,then,they
then,they,willn't
they,willn't,get
willn't,get,lost
get,lost,will
lost,will,they
will,they,<\s>
<s>,what're,you
what're,you,gonna
you,gonna,going
gonna,going,to
going,to,do
to,do,<\s>
<s>,hair,<\s>
<s>,have,her
have,her,hair
her,hair,brushed
hair,brushed,<\s>
<s>,choochoochoo,<\s>
<s>,who,came
who,came,to
came,to,see
to,see,you
see,you,on
you,on,the
on,the,train
the,train,<\s>
<s>,who,came
who,came,to
came,to,see
to,see,you
see,you,on
you,on,the
on,the,train
the,train,anne
train,anne,<\s>
<s>,can,you
can,you,remember
you,remember,<\s>
<s>,is,it
is,it,big
it,big,<\s>
<s>,did,nanny
did,nanny,and
nanny,and,grandad
and,grandad,come
grandad,come,on
come,on,the
on,the,train
the,train,to
train,to,see
to,see,you
see,you,<\s>
<s>,can,you
can,you,remember
you,remember,<\s>
<s>,well,tip
well,tip,them
tip,them,on
them,on,here
on,here,look
here,look,<\s>
<s>,there,is
there,is,a
is,a,spider
a,spider,<\s>
<s>,who's,that
who's,that,<\s>
<s>,stand,up
stand,up,daddy
up,daddy,<\s>
<s>,it's,daddy
it's,daddy,<\s>
<s>,does,daddy
does,daddy,wanna
daddy,wanna,sweep
wanna,sweep,the
sweep,the,floor
the,floor,<\s>
<s>,here,look
here,look,<\s>
<s>,hold,<\s>
<s>,whoops,<\s>
<s>,there,he
there,he,is
he,is,look
is,look,<\s>
<s>,he's,holding
he's,holding,the
holding,the,brush
the,brush,<\s>
<s>,yes,<\s>
<s>,a,cake
a,cake,<\s>
<s>,some,cheese
some,cheese,<\s>
<s>,i,like
i,like,cheese
like,cheese,<\s>
<s>,what,about
what,about,you
about,you,<\s>
<s>,teddy,<\s>
<s>,what,is
what,is,it
is,it,<\s>
<s>,a,teddy
a,teddy,<\s>
<s>,oh,<\s>
<s>,the,snake's
the,snake's,coming
snake's,coming,<\s>
<s>,here,he
here,he,comes
he,comes,<\s>
<s>,is,he
is,he,gonna
he,gonna,going
gonna,going,to
going,to,eat
to,eat,the
eat,the,cake
the,cake,<\s>
<s>,anne,<\s>
<s>,is,the
is,the,snake
the,snake,gonna
snake,gonna,going
gonna,going,to
going,to,eat
to,eat,the
eat,the,cake
the,cake,<\s>
<s>,like,it
like,it,<\s>
<s>,and,baby
and,baby,say
baby,say,<\s>
<s>,don't,eat
don't,eat,my
eat,my,cake
my,cake,<\s>
<s>,that's,my
that's,my,cake
my,cake,<\s>
<s>,that's,my
that's,my,cake
my,cake,<\s>
<s>,what's,teddy
what's,teddy,say
teddy,say,<\s>
<s>,hello,<\s>
<s>,hello,snake
hello,snake,<\s>
<s>,hello,<\s>
<s>,is,it
is,it,a
it,a,boat
a,boat,<\s>
<s>,oh,dear
oh,dear,<\s>
<s>,willn't,fit
willn't,fit,<\s>
<s>,it,willn't
it,willn't,fit
willn't,fit,will
fit,will,it
will,it,<\s>
<s>,sweep,it
sweep,it,<\s>
<s>,whoops,<\s>
<s>,whoops,<\s>
<s>,i,bet
i,bet,this
bet,this,man
this,man,would
man,would,fit
would,fit,in
fit,in,one
in,one,of
one,of,your
of,your,cars
your,cars,wouldn't
cars,wouldn't,he
wouldn't,he,<\s>
<s>,if,we
if,we,could
we,could,find
could,find,one
find,one,<\s>
<s>,yeah,<\s>
<s>,i'll,find
i'll,find,one
find,one,<\s>
<s>,oh,it's
oh,it's,a
it's,a,bit
a,bit,big
bit,big,isn't
big,isn't,it
isn't,it,<\s>
<s>,it's,too
it's,too,big
too,big,is
big,is,it
is,it,<\s>
<s>,is,that
is,that,a
that,a,table
a,table,<\s>
<s>,yes,<\s>
<s>,like,a
like,a,bath
a,bath,isn't
bath,isn't,it
isn't,it,<\s>
<s>,it's,where
it's,where,you
where,you,clean
you,clean,your
clean,your,teeth
your,teeth,isn't
teeth,isn't,it
isn't,it,<\s>
<s>,what's,that
what's,that,one
that,one,<\s>
<s>,yeah,<\s>
<s>,that's,right
that's,right,<\s>
<s>,a,sheep
a,sheep,says
sheep,says,baa
says,baa,<\s>
<s>,xxx,sheep
xxx,sheep,xxx
sheep,xxx,<\s>
<s>,xxx,box
xxx,box,<\s>
<s>,are,you
are,you,putting
you,putting,them
putting,them,away
them,away,<\s>
<s>,okay,<\s>
<s>,have,you
have,you,had
you,had,enough
had,enough,of
enough,of,those
of,those,have
those,have,you
have,you,<\s>
<s>,oh,all
oh,all,right
all,right,<\s>
<s>,do,you
do,you,want
you,want,me
want,me,to
me,to,help
to,help,you
help,you,<\s>
<s>,yes,<\s>
<s>,byebye,mummy
byebye,mummy,<\s>
<s>,what's,this
what's,this,one
this,one,look
one,look,<\s>
<s>,is,it
is,it,<\s>
<s>,i,thought
i,thought,it
thought,it,was
it,was,a
was,a,spade
a,spade,<\s>
<s>,what,are
what,are,you
are,you,doing
you,doing,<\s>
<s>,pardon,<\s>
<s>,strawberrys,<\s>
<s>,are,there
are,there,some
there,some,strawberrys
some,strawberrys,in
strawberrys,in,there
in,there,<\s>
<s>,mm,<\s>
<s>,i,like
i,like,strawberrys
like,strawberrys,<\s>
<s>,have,you
have,you,got
you,got,a
got,a,strawberry
a,strawberry,for
strawberry,for,the
for,the,snake
the,snake,<\s>
<s>,are,you
are,you,going
you,going,to
going,to,give
to,give,him
give,him,one
him,one,then
one,then,<\s>
<s>,no,<\s>
<s>,mm,<\s>
<s>,mm,<\s>
<s>,eat,it
eat,it,<\s>
<s>,eat,that
eat,that,<\s>
<s>,what's,that
what's,that,then
that,then,<\s>
<s>,what's,this
what's,this,then
this,then,<\s>
<s>,what's,he
what's,he,eating
he,eating,<\s>
<s>,is,it
is,it,going
it,going,in
going,in,his
in,his,tummy
his,tummy,<\s>
<s>,whoops,<\s>
<s>,pardon,<\s>
<s>,shall,we
shall,we,put
we,put,them
put,them,all
them,all,away
all,away,now
away,now,<\s>
<s>,what,about
what,about,these
about,these,ones
these,ones,on
ones,on,the
on,the,table
the,table,<\s>
<s>,going,to
going,to,put
to,put,those
put,those,away
those,away,<\s>
<s>,mess,<\s>
<s>,find,something
find,something,else
something,else,<\s>
<s>,the,car
the,car,willn't
car,willn't,fit
willn't,fit,in
fit,in,will
in,will,it
will,it,<\s>
<s>,bang,<\s>
<s>,www,<\s>
<s>,what,do
what,do,you
do,you,do
you,do,with
do,with,that
with,that,<\s>
<s>,what,do
what,do,you
do,you,do
you,do,with
do,with,it
with,it,<\s>
<s>,mouth,<\s>
<s>,xxx,<\s>
<s>,more,teeths
more,teeths,<\s>
<s>,is,this
is,this,for
this,for,your
for,your,teeth
your,teeth,<\s>
<s>,anne,<\s>
<s>,is,this
is,this,one
this,one,for
one,for,you
for,you,teeth
you,teeth,<\s>
<s>,that,one's
that,one's,for
one's,for,your
for,your,teeth
your,teeth,<\s>
<s>,are,you
are,you,going
you,going,to
going,to,clean
to,clean,teddy's
clean,teddy's,teeth
teddy's,teeth,<\s>
<s>,www,<\s>
<s>,are,you
are,you,putting
you,putting,them
putting,them,away
them,away,again
away,again,<\s>
<s>,what,is
what,is,it
is,it,<\s>
<s>,do,you
do,you,know
you,know,<\s>
<s>,a,brush
a,brush,<\s>
<s>,you,put
you,put,them
put,them,all
them,all,away
all,away,in
away,in,the
in,the,bag
the,bag,<\s>
<s>,thank_you,<\s>
<s>,dropped,it
dropped,it,<\s>
<s>,www,<\s>
<s>,what,else
what,else,<\s>
<s>,have,i
have,i,got
i,got,to
got,to,find
to,find,something
find,something,else
something,else,new
else,new,<\s>
<s>,oh,dear
oh,dear,<\s>
<s>,don't,know
don't,know,whether
know,whether,i've
whether,i've,got
i've,got,anything
got,anything,else
anything,else,new
else,new,<\s>
<s>,do,you
do,you,wanna
you,wanna,have
wanna,have,a
have,a,look
a,look,at
look,at,one
at,one,of
one,of,your
of,your,new
your,new,books
new,books,<\s>
<s>,no,<\s>
<s>,well,i've
well,i've,got
i've,got,your
got,your,cards
your,cards,<\s>
<s>,do,you
do,you,wanna
you,wanna,have
wanna,have,a
have,a,look
a,look,at
look,at,these
at,these,ones
these,ones,<\s>
<s>,yeah,<\s>
<s>,oh,lady_muck
oh,lady_muck,<\s>
<s>,you,get
you,get,them
get,them,out
them,out,then
out,then,<\s>
<s>,wow,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,wow,<\s>
<s>,what,are
what,are,you
are,you,doing
you,doing,<\s>
<s>,are,you
are,you,making
you,making,a
making,a,big
a,big,mess
big,mess,<\s>
<s>,you're,sitting
you're,sitting,on
sitting,on,a
on,a,little
a,little,saucepan
little,saucepan,<\s>
<s>,put,it
put,it,back
it,back,<\s>
<s>,you,know
you,know,i
know,i,think
i,think,paddington_bear
think,paddington_bear,wants
paddington_bear,wants,to
wants,to,go
to,go,for
go,for,a
for,a,walk
a,walk,<\s>
<s>,do,you
do,you,think
you,think,he
think,he,does
he,does,<\s>
<s>,are,you
are,you,gonna
you,gonna,going
gonna,going,to
going,to,take
to,take,paddington
take,paddington,for
paddington,for,a
for,a,walk
a,walk,<\s>
<s>,whoops,<\s>
<s>,what,a
what,a,mess
a,mess,<\s>
<s>,what,a
what,a,mess
a,mess,<\s>
<s>,www,<\s>
<s>,is,that
is,that,on
that,on,your
on,your,toes
your,toes,<\s>
<s>,is,it
is,it,stuck
it,stuck,to
stuck,to,your
to,your,toes
your,toes,<\s>
<s>,pardon,<\s>
<s>,they're,all
they're,all,on
all,on,the
on,the,floor
the,floor,<\s>
<s>,what's,the
what's,the,matter
the,matter,<\s>
<s>,cupboard,<\s>
<s>,what're,you
what're,you,looking
you,looking,for
looking,for,<\s>
<s>,the,fish
the,fish,<\s>
<s>,oh,<\s>
<s>,i,can
i,can,see
can,see,a
see,a,fish
a,fish,<\s>
<s>,there,he
there,he,is
he,is,<\s>
<s>,there's,the
there's,the,fish
the,fish,<\s>
<s>,i,tell
i,tell,you
tell,you,what
you,what,<\s>
<s>,shall,we
shall,we,put
we,put,them
put,them,in
them,in,the
in,the,bag
the,bag,<\s>
<s>,we,can
we,can,put
can,put,the
put,the,fish
the,fish,in
fish,in,the
in,the,bag
the,bag,<\s>
<s>,oh,<\s>
<s>,there,we
there,we,go
we,go,<\s>
<s>,whoops,<\s>
<s>,hang,on
hang,on,<\s>
<s>,let's,latch
let's,latch,it
latch,it,on
it,on,<\s>
<s>,there,you
there,you,go
you,go,<\s>
<s>,oh,you
oh,you,don't
you,don't,want
don't,want,it
want,it,latched
it,latched,on
latched,on,<\s>
<s>,it's,stuck
it's,stuck,is
stuck,is,it
is,it,<\s>
<s>,oh,no
oh,no,<\s>
<s>,who've,you
who've,you,got
you,got,there
got,there,<\s>
<s>,who,<\s>
<s>,are,you_all
are,you_all,right
you_all,right,<\s>
<s>,can,you
can,you,manage
you,manage,<\s>
<s>,i'm,gonna
i'm,gonna,going
gonna,going,to
going,to,have
to,have,this
have,this,one
this,one,then
one,then,<\s>
<s>,is,he
is,he,gonna
he,gonna,going
gonna,going,to
going,to,come
to,come,and
come,and,get
and,get,your
get,your,toes
your,toes,<\s>
<s>,he's,coming
he's,coming,to
coming,to,get
to,get,your
get,your,toes
your,toes,<\s>
<s>,is,he
is,he,<\s>
<s>,biting,<\s>
<s>,fighting,<\s>
<s>,www,<\s>
<s>,pardon,<\s>
<s>,what's,the
what's,the,matter
the,matter,<\s>
<s>,i'm,coming
i'm,coming,to
coming,to,get
to,get,your
get,your,toes
your,toes,<\s>
<s>,i've,got
i've,got,them
got,them,both
them,both,now
both,now,<\s>
<s>,here,they
here,they,come
they,come,<\s>
<s>,here,they
here,they,come
they,come,<\s>
<s>,they're,coming
they're,coming,<\s>
<s>,they're,coming
they're,coming,<\s>
<s>,are,you
are,you,gonna
you,gonna,going
gonna,going,to
going,to,hide
to,hide,<\s>
<s>,are,you
are,you,gonna
you,gonna,going
gonna,going,to
going,to,hide
to,hide,<\s>
<s>,peepbo,peekaboo
peepbo,peekaboo,<\s>
<s>,here,they
here,they,come
they,come,<\s>
<s>,here,they
here,they,come
they,come,<\s>
<s>,where,are
where,are,they
are,they,going
they,going,<\s>
<s>,you,want
you,want,a
want,a,cuddle
a,cuddle,<\s>
<s>,you,don't
you,don't,want
don't,want,them
want,them,to
them,to,chase
to,chase,you
chase,you,<\s>
<s>,oh,you
oh,you,weedy
you,weedy,thing
weedy,thing,<\s>
<s>,pardon,<\s>
<s>,your,juice
your,juice,has
juice,has,gone
has,gone,<\s>
<s>,shall,i
shall,i,<\s>
<s>,shall,i
shall,i,get
i,get,you
get,you,some
you,some,more
some,more,juice
more,juice,<\s>
<s>,no,<\s>
<s>,you,don't
you,don't,want
don't,want,any
want,any,more
any,more,juice
more,juice,<\s>
<s>,you,want
you,want,something
want,something,else
something,else,from
else,from,there
from,there,<\s>
<s>,what,do
what,do,you
do,you,want
you,want,<\s>
<s>,hm,<\s>
<s>,well,come
