0,1,2
<s>,is,it
is,it,too
it,too,big
wanna,put,them
put,them,on
them,on,this
or,put,them
put,them,on
them,on,this
mummy,push,her
push,her,<\s>
<s>,push,her
push,her,then
her,then,<\s>
<s>,what's,she
what's,she,doing
she,doing,<\s>
<s>,what's,she
what's,she,doing
she,doing,<\s>
<s>,what's,she
what's,she,doing
she,doing,<\s>
<s>,is,it
is,it,<\s>
who,do,you
do,you,think
you,think,it
you,think,it
think,it,is
it,is,<\s>
<s>,put,them
put,them,on
them,on,the
<s>,then,they
then,they,willn't
they,willn't,get
lost,will,they
will,they,<\s>
<s>,what're,you
what're,you,gonna
you,gonna,going
<s>,have,her
have,her,hair
her,hair,brushed
to,see,you
see,you,on
you,on,the
to,see,you
see,you,on
you,on,the
<s>,can,you
can,you,remember
you,remember,<\s>
<s>,is,it
is,it,big
it,big,<\s>
to,see,you
see,you,<\s>
<s>,can,you
can,you,remember
you,remember,<\s>
well,tip,them
tip,them,on
them,on,here
<s>,there,he
there,he,is
he,is,look
<s>,i,like
i,like,cheese
what,about,you
about,you,<\s>
what,is,it
is,it,<\s>
<s>,here,he
here,he,comes
he,comes,<\s>
<s>,is,he
is,he,gonna
he,gonna,going
<s>,like,it
like,it,<\s>
<s>,is,it
is,it,a
it,a,boat
<s>,it,willn't
it,willn't,fit
fit,will,it
will,it,<\s>
<s>,sweep,it
sweep,it,<\s>
<s>,i,bet
i,bet,this
cars,wouldn't,he
wouldn't,he,<\s>
<s>,if,we
if,we,could
we,could,find
big,isn't,it
isn't,it,<\s>
big,is,it
is,it,<\s>
bath,isn't,it
isn't,it,<\s>
it's,where,you
where,you,clean
you,clean,your
teeth,isn't,it
isn't,it,<\s>
<s>,are,you
are,you,putting
you,putting,them
you,putting,them
putting,them,away
them,away,<\s>
<s>,have,you
have,you,had
you,had,enough
those,have,you
have,you,<\s>
<s>,do,you
do,you,want
you,want,me
you,want,me
want,me,to
me,to,help
to,help,you
help,you,<\s>
<s>,is,it
is,it,<\s>
<s>,i,thought
i,thought,it
i,thought,it
thought,it,was
it,was,a
what,are,you
are,you,doing
you,doing,<\s>
<s>,i,like
i,like,strawberrys
<s>,have,you
have,you,got
you,got,a
<s>,are,you
are,you,going
you,going,to
to,give,him
give,him,one
him,one,then
<s>,eat,it
eat,it,<\s>
<s>,what's,he
what's,he,eating
he,eating,<\s>
<s>,is,it
is,it,going
it,going,in
<s>,shall,we
shall,we,put
we,put,them
we,put,them
put,them,all
them,all,away
in,will,it
will,it,<\s>
what,do,you
do,you,do
you,do,with
what,do,you
do,you,do
you,do,with
do,with,it
with,it,<\s>
one,for,you
for,you,teeth
you,teeth,<\s>
<s>,are,you
are,you,going
you,going,to
<s>,are,you
are,you,putting
you,putting,them
you,putting,them
putting,them,away
them,away,again
what,is,it
is,it,<\s>
<s>,do,you
do,you,know
you,know,<\s>
<s>,you,put
you,put,them
you,put,them
put,them,all
them,all,away
<s>,dropped,it
dropped,it,<\s>
<s>,have,i
have,i,got
i,got,to
<s>,do,you
do,you,wanna
you,wanna,have
<s>,do,you
do,you,wanna
you,wanna,have
<s>,you,get
you,get,them
you,get,them
get,them,out
them,out,then
what,are,you
are,you,doing
you,doing,<\s>
<s>,are,you
are,you,making
you,making,a
<s>,put,it
put,it,back
it,back,<\s>
<s>,you,know
you,know,i
you,know,i
know,i,think
i,think,paddington_bear
<s>,do,you
do,you,think
you,think,he
you,think,he
think,he,does
he,does,<\s>
<s>,are,you
are,you,gonna
you,gonna,going
<s>,is,it
is,it,stuck
it,stuck,to
<s>,what're,you
what're,you,looking
you,looking,for
<s>,i,can
i,can,see
<s>,there,he
there,he,is
