0,1
xxx,it
it,<\s>
<s>,it
it,fit
there,it
it,goes
<s>,i
i,sweep
sweep,it
it,<\s>
<s>,i
i,find
find,it
it,<\s>
<s>,i
i,xxx
here,you
you,are
eat,it
it,<\s>
look,it
it,<\s>
<s>,i
i,dropped
dropped,it
it,<\s>
drop,it
it,<\s>
break,them
them,<\s>
open,it
it,<\s>
open,it
it,<\s>
<s>,it
it,fit
<s>,her
her,clothes
<s>,it
it,is
open,it
it,<\s>
<s>,her
her,name
missed,it
it,<\s>
missed,it
it,<\s>
missed,it
it,<\s>
lost,it
it,<\s>
there,you
you,are
do,it
it,<\s>
wipe,it
it,please
here,you
you,are
got,it
it,<\s>
got,it
it,<\s>
tip,it
it,<\s>
<s>,i
i,got
got,it
it,<\s>
got,it
it,<\s>
do,it
it,<\s>
see,it
it,anne
look,it
it,<\s>
look,it
it,<\s>
look,it
it,<\s>
here,we
we,are
push,it
it,<\s>
pushed,it
it,<\s>
push,it
it,<\s>
xxx,it
it,<\s>
move,it
it,<\s>
move,it
it,<\s>
help,me
me,<\s>
<s>,i
i,do
done,it
it,<\s>
do,it
it,<\s>
<s>,i
i,write
write,you
you,<\s>
<s>,i
i,write
write,you
you,<\s>
<s>,i
i,write
write,you
you,<\s>
<s>,i
i,write
<s>,i
i,am
<s>,i
i,am
<s>,i
i,am
<s>,i
i,read
read,it
it,<\s>
<s>,she
she,crying
funny,you
you,<\s>
<s>,i
i,find
find,it
it,<\s>
<s>,she
she,sleepy
<s>,she
she,sleepy
<s>,she
she,funny
<s>,she
she,sleepy
<s>,she
she,sleepy
<s>,she
she,sleepy
<s>,she
she,sleepy
<s>,she
she,sleepy
find,it
it,<\s>
there,it
it,is
like,it
it,<\s>
<s>,i
i,lost
lost,him
him,<\s>
<s>,i
i,lost
lost,him
him,<\s>
<s>,i
i,lost
lost,him
him,<\s>
<s>,i
i,lost
lost,him
him,<\s>
do,it
it,<\s>
<s>,i
i,want
fit,it
it,<\s>
can,you
you,fit
fit,it
it,<\s>
do,it
it,<\s>
<s>,i
i,fit
<s>,i
i,fit
fit,it
it,<\s>
<s>,they
they,driving
here,you
you,are
here,you
you,are
<s>,i
i,bite
bite,it
it,<\s>
open,it
it,<\s>
open,it
it,<\s>
is,it
it,melon
<s>,me
me,<\s>
is,it
it,xxx
bite,it
it,<\s>
bite,it
it,<\s>
bite,it
it,<\s>
<s>,i
i,carry
carry,you
you,<\s>
there,we
we,are
<s>,she
she,moving
carry,it
it,<\s>
carry,it
it,<\s>
move,it
it,<\s>
get,it
it,<\s>
get,it
it,<\s>
<s>,you
you,do
do,it
it,<\s>
where's,it
it,go
where's,it
it,go
do,it
it,<\s>
leave,it
it,down
give,him
him,wash
do,it
it,<\s>
chase,me
me,<\s>
tuck,her
her,in
<s>,they
they,knife
<s>,i
i,show
show,it
it,<\s>
show,it
it,<\s>
<s>,i
i,put
put,it
it,<\s>
<s>,i
i,show
show,it
it,<\s>
<s>,i
i,show
show,it
it,<\s>
there,they
they,are
do,it
it,<\s>
<s>,he
he,fit
<s>,i
i,find
<s>,he
he,pinch
tickle,you
you,<\s>
<s>,i
i,big
<s>,i
i,am
<s>,i
i,sleeping
<s>,i
i,up
there,you
you,are
find,it
it,<\s>
find,it
it,<\s>
do,it
it,<\s>
do,it
it,<\s>
do,it
it,<\s>
<s>,we
we,have
do,it
it,<\s>
<s>,we
we,get
get,it
it,down
do,it
it,<\s>
do,it
it,<\s>
<s>,i
i,am
<s>,it
it,morning
there,you
you,go
<s>,it
it,hot
<s>,her
her,bib
<s>,her
her,bib
<s>,her
her,dress
do,it
it,head
do,it
it,<\s>
<s>,it
it,coming
eat,it
it,up
<s>,i
i,find
find,you
you,one
move,it
it,down
find,you
you,here
<s>,it
it,is
<s>,it
it,is
<s>,i
i,get
get,it
it,<\s>
get,it
it,out
do,it
it,<\s>
<s>,it
it,in
find,it
it,<\s>
cook,it
it,up
<s>,i
i,spill
spill,it
it,<\s>
see,it
it,<\s>
cut,it
it,up
spill,it
it,<\s>
<s>,i
i,spilt
catch,it
it,<\s>
<s>,i
i,have
got,it
it,<\s>
<s>,i
i,catch
catch,it
it,<\s>
catch,it
it,<\s>
<s>,me
me,<\s>
throw,them
them,at
get,it
it,<\s>
do,it
it,<\s>
tell,you
you,what
here,it
it,is
<s>,i
i,do
do,it
it,<\s>
throw,it
it,toilet
wash,it
it,up
<s>,i
i,go
throw,it
it,out
done,it
it,<\s>
throw,it
it,<\s>
there,you
you,go
like,it
it,that
help,it
it,down
fit,it
it,out
there,you
you,go
see,you
you,xxx
bite,it
it,<\s>
a,i
i,cry
put,it
it,<\s>
do,it
it,<\s>
cook,it
it,up
cook,it
it,up
cook,it
it,up
leave,her
her,<\s>
leave,her
her,<\s>
leave,her
her,<\s>
leave,it
it,<\s>
leave,it
it,<\s>
leave,it
it,<\s>
leave,it
it,<\s>
<s>,i
i,do
do,it
it,<\s>
leave,it
it,there
found,it
it,<\s>
do,it
it,<\s>
do,it
it,<\s>
put,it
it,<\s>
over,it
it,goes
over,it
it,go
there,it
it,is
have,it
it,<\s>
like,it
it,that
<s>,i
i,like
have,it
it,<\s>
<s>,you
you,stand
see,it
it,<\s>
do,it
it,<\s>
shall,we
we,xxx
that's,it
it,<\s>
goodness,me
me,<\s>
goodness,me
me,<\s>
goodness,me
me,<\s>
goodness,me
me,<\s>
splash,it
it,<\s>
spill,it
it,<\s>
eat,it
it,<\s>
tip,it
it,down
<s>,he
he,washing
do,it
it,<\s>
wasn't,it
it,<\s>
carry,it
it,please
put,it
it,down
put,it
it,<\s>
broke,it
it,<\s>
press,it
it,<\s>
do,it
it,<\s>
to,me
me,<\s>
cuddle,me
me,<\s>
did,you
you,do
got,it
it,<\s>
do,it
it,<\s>
reach,it
it,<\s>
do,it
it,<\s>
put,it
it,away
put,it
it,right
hold,it
it,<\s>
see,you
you,up
see,it
it,<\s>
pop,him
him,in
leave,it
it,<\s>
broke,it
it,<\s>
got,it
it,<\s>
drink,it
it,up
is,it
it,<\s>
there,you
you,go
open,it
it,please
see,you
you,<\s>
throw,it
it,<\s>
throw,it
it,<\s>
do,it
it,<\s>
<s>,i
i,do
leave,it
it,<\s>
write,it
it,name
there,you
you,are
<s>,i
i,am
color,it
it,out
want,it
it,name
<s>,i
i,no
cut,it
it,up
<s>,i
i,want
get,it
it,out
see,it
it,<\s>
get,it
it,<\s>
<s>,i
i,see
<s>,i
i,see
shall,we
we,go
there,you
you,are
cut,it
it,<\s>
cut,it
it,up
cut,it
it,up
cut,it
it,up
cut,it
it,up
cuddle,me
me,mummy
do,it
it,<\s>
done,it
it,<\s>
<s>,i
i,do
write,her
her,name
here,you
you,are
holding,her
her,<\s>
wash,them
them,<\s>
spill,it
it,<\s>
wipe,it
it,up
wipe,it
it,up
wipe,it
it,up
wipe,it
it,up
wipe,it
it,up
is,it
it,<\s>
do,it
it,then
<s>,i
i,stand
<s>,i
i,stand
make,it
it,higher
hold,it
it,<\s>
do,it
it,again
<s>,i
i,do
do,it
it,<\s>
throw,them
them,a
<s>,you
you,drive
get,it
it,out
take,them
them,out
get,it
it,off
<s>,we
we,are
do,it
it,<\s>
fit,you
you,doll
mend,it
it,<\s>
mend,it
it,<\s>
<s>,i
i,get
get,it
it,xxx
do,it
it,again
get,it
it,off
<s>,i
i,drink
pinch,it
it,<\s>
<s>,i
i,come
broke,it
it,<\s>
help,me
me,anne's
leave,them
them,keys
do,it
it,<\s>
<s>,i
i,lost
kiss,you
you,<\s>
kiss,you
you,<\s>
kiss,you
you,<\s>
kiss,you
you,<\s>
get,them
them,out
yes,it
it,is
do,it
it,<\s>
cuddle,me
me,<\s>
get,you
you,<\s>
leave,it
it,<\s>
<s>,i
i,i
i,box
do,it
it,<\s>
<s>,you
you,left
xxx,you
you,<\s>
put,it
it,back
do,it
it,<\s>
seen,it
it,<\s>
<s>,it
it,fit
throw,them
them,<\s>
put,him
him,back
put,him
him,back
put,it
it,back
finds,you
you,<\s>
put,it
it,down
put,it
it,down
brush,it
it,down
xxx,it
it,<\s>
brush,it
it,<\s>
cut,it
it,<\s>
leave,it
it,<\s>
brush,it
it,<\s>
brush,it
it,<\s>
brush,it
it,<\s>
take,it
it,off
get,it
it,off
get,it
it,off
do,it
it,<\s>
do,it
it,<\s>
stand,it
it,<\s>
get,it
it,please
want,it
it,<\s>
<s>,she
she,want
<s>,i
i,have
stroke,her
her,<\s>
<s>,you
you,stroke
stroke,it
it,<\s>
stroke,it
it,<\s>
do,it
it,<\s>
<s>,you
you,help
get,it
it,off
<s>,i
i,go
lick,it
it,up
lick,it
it,up
<s>,i
i,sweeping
<s>,i
i,sweeping
<s>,i
i,sweeping
<s>,i
i,see
put,it
it,in
<s>,i
i,xxx
put,it
it,in
like,it
it,<\s>
hold,it
it,<\s>
hold,it
it,<\s>
here,you
you,go
here,you
you,go
drink,it
it,<\s>
there,he
he,is
there,he
he,is
there,he
he,is
what,you
you,doing
done,it
it,<\s>
knock,it
it,over
knock,it
it,over
get,it
it,out
get,it
it,<\s>
<s>,i
i,turn
<s>,it
it,standing
<s>,he
he,right
broke,it
it,<\s>
mend,it
it,soon
throw,it
it,in
do,it
it,<\s>
read,it
it,here
tore,it
it,<\s>
tore,it
it,<\s>
do,it
it,<\s>
<s>,i
i,want
want,it
it,<\s>
want,it
it,<\s>
weed,it
it,<\s>
<s>,you
you,push
push,me
me,<\s>
there,we
we,go
there,we
we,go
put,them
them,in
broke,it
it,<\s>
broke,it
it,<\s>
<s>,you
you,want
<s>,you
