0,1,2
<s>,xxx,it
xxx,it,<\s>
<s>,it,fit
it,fit,<\s>
<s>,there,it
there,it,goes
it,goes,<\s>
<s>,i,sweep
i,sweep,it
i,sweep,it
sweep,it,<\s>
<s>,i,find
i,find,it
i,find,it
find,it,<\s>
<s>,i,xxx
i,xxx,<\s>
<s>,here,you
here,you,are
you,are,<\s>
<s>,eat,it
eat,it,<\s>
a,look,it
look,it,<\s>
<s>,i,dropped
i,dropped,it
i,dropped,it
dropped,it,<\s>
<s>,drop,it
drop,it,<\s>
don't,break,them
break,them,<\s>
<s>,open,it
open,it,<\s>
<s>,open,it
open,it,<\s>
<s>,it,fit
it,fit,there
<s>,her,clothes
her,clothes,<\s>
<s>,it,is
it,is,stuck
<s>,open,it
open,it,<\s>
<s>,her,name
her,name,xxx
<s>,missed,it
missed,it,<\s>
<s>,missed,it
missed,it,<\s>
<s>,missed,it
missed,it,<\s>
um,lost,it
lost,it,<\s>
<s>,there,you
there,you,are
you,are,<\s>
anne,do,it
do,it,<\s>
<s>,wipe,it
wipe,it,please
it,please,<\s>
<s>,here,you
here,you,are
you,are,<\s>
<s>,got,it
got,it,<\s>
<s>,got,it
got,it,<\s>
<s>,tip,it
tip,it,<\s>
<s>,i,got
i,got,it
i,got,it
got,it,<\s>
xxx,got,it
got,it,<\s>
<s>,do,it
do,it,<\s>
see,see,it
see,it,anne
it,anne,<\s>
just,look,it
look,it,<\s>
just,look,it
look,it,<\s>
anne,look,it
look,it,<\s>
<s>,here,we
here,we,are
we,are,<\s>
<s>,push,it
push,it,<\s>
<s>,pushed,it
pushed,it,<\s>
<s>,push,it
push,it,<\s>
<s>,xxx,it
xxx,it,<\s>
xxx,move,it
move,it,<\s>
xxx,move,it
move,it,<\s>
<s>,help,me
help,me,<\s>
<s>,i,do
i,do,humpty
<s>,done,it
done,it,<\s>
<s>,do,it
do,it,<\s>
<s>,i,write
i,write,you
i,write,you
write,you,<\s>
<s>,i,write
i,write,you
i,write,you
write,you,<\s>
<s>,i,write
i,write,you
i,write,you
write,you,<\s>
<s>,i,write
i,write,mummie
<s>,i,am
i,am,comfy
<s>,i,am
i,am,writing
<s>,i,am
i,am,writing
<s>,i,read
i,read,it
i,read,it
read,it,<\s>
<s>,she,crying
she,crying,<\s>
oh,funny,you
funny,you,<\s>
<s>,i,find
i,find,it
i,find,it
find,it,<\s>
<s>,she,sleepy
she,sleepy,<\s>
<s>,she,sleepy
she,sleepy,<\s>
<s>,she,funny
she,funny,<\s>
<s>,she,sleepy
she,sleepy,<\s>
<s>,she,sleepy
she,sleepy,<\s>
<s>,she,sleepy
she,sleepy,<\s>
<s>,she,sleepy
she,sleepy,<\s>
<s>,she,sleepy
she,sleepy,<\s>
anne's,find,it
find,it,<\s>
<s>,there,it
there,it,is
it,is,<\s>
anne,like,it
like,it,<\s>
<s>,i,lost
i,lost,him
i,lost,him
lost,him,<\s>
<s>,i,lost
i,lost,him
i,lost,him
lost,him,<\s>
<s>,i,lost
i,lost,him
i,lost,him
lost,him,<\s>
<s>,i,lost
i,lost,him
i,lost,him
lost,him,<\s>
<s>,do,it
do,it,<\s>
<s>,i,want
i,want,xxx
more,fit,it
fit,it,<\s>
<s>,can,you
can,you,fit
you,fit,it
you,fit,it
fit,it,<\s>
<s>,do,it
do,it,<\s>
<s>,i,fit
i,fit,this
<s>,i,fit
i,fit,it
i,fit,it
fit,it,<\s>
<s>,they,driving
they,driving,<\s>
<s>,here,you
here,you,are
you,are,<\s>
<s>,here,you
here,you,are
you,are,<\s>
<s>,i,bite
i,bite,it
i,bite,it
bite,it,<\s>
<s>,open,it
open,it,<\s>
<s>,open,it
open,it,<\s>
<s>,is,it
is,it,melon
it,melon,<\s>
<s>,me,<\s>
<s>,is,it
is,it,xxx
it,xxx,<\s>
<s>,bite,it
bite,it,<\s>
<s>,bite,it
bite,it,<\s>
<s>,bite,it
bite,it,<\s>
<s>,i,carry
i,carry,<\s>
<s>,carry,you
carry,you,<\s>
<s>,there,we
there,we,are
we,are,<\s>
<s>,she,moving
she,moving,<\s>
a,carry,it
carry,it,<\s>
<s>,carry,it
carry,it,<\s>
<s>,move,it
move,it,<\s>
<s>,get,it
get,it,<\s>
a,get,it
get,it,<\s>
<s>,you,do
you,do,it
you,do,it
do,it,<\s>
<s>,where's,it
where's,it,go
it,go,<\s>
<s>,where's,it
where's,it,go
it,go,<\s>
anne,do,it
do,it,<\s>
<s>,leave,it
leave,it,down
it,down,<\s>
<s>,give,him
give,him,wash
him,wash,<\s>
anne,do,it
do,it,<\s>
<s>,chase,me
chase,me,<\s>
<s>,tuck,her
tuck,her,in
her,in,<\s>
<s>,they,knife
they,knife,<\s>
<s>,i,show
i,show,it
i,show,it
show,it,<\s>
<s>,show,it
show,it,<\s>
<s>,i,put
i,put,it
i,put,it
put,it,<\s>
<s>,i,show
i,show,it
i,show,it
show,it,<\s>
<s>,i,show
i,show,it
i,show,it
show,it,<\s>
<s>,there,they
there,they,are
they,are,<\s>
anne,do,it
do,it,<\s>
<s>,he,fit
he,fit,down
<s>,i,find
i,find,more
<s>,he,pinch
he,pinch,that
<s>,tickle,you
tickle,you,<\s>
<s>,i,big
i,big,baby
<s>,i,am
i,am,sleeping
<s>,i,sleeping
i,sleeping,<\s>
<s>,i,up
i,up,<\s>
<s>,there,you
there,you,are
you,are,<\s>
<s>,find,it
find,it,<\s>
<s>,find,it
find,it,<\s>
a,do,it
do,it,<\s>
mummy,do,it
do,it,<\s>
anne,do,it
do,it,<\s>
<s>,we,have
we,have,done
anne,do,it
do,it,<\s>
<s>,we,get
we,get,it
we,get,it
get,it,down
it,down,<\s>
anne,do,it
do,it,<\s>
anne,do,it
do,it,<\s>
<s>,i,am
i,am,sleepy
<s>,it,morning
it,morning,<\s>
<s>,there,you
there,you,go
you,go,<\s>
<s>,it,hot
it,hot,<\s>
<s>,her,bib
her,bib,on
<s>,her,bib
her,bib,on
<s>,her,dress
her,dress,on
<s>,do,it
do,it,head
it,head,<\s>
mummy,do,it
do,it,<\s>
<s>,it,coming
it,coming,<\s>
cats,eat,it
eat,it,up
it,up,<\s>
<s>,i,find
i,find,you
i,find,you
find,you,one
you,one,<\s>
<s>,move,it
move,it,down
it,down,<\s>
<s>,find,you
find,you,here
you,here,<\s>
<s>,it,is
it,is,<\s>
<s>,it,is
it,is,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,get,it
get,it,out
