0,1
have,you
you,got
have,you
you,got
are,you
you,going
tell,me
me,<\s>
is,it
it,<\s>
here,you
you,are
isn't,it
it,<\s>
is,it
it,<\s>
is,it
it,<\s>
do,you
you,wanna
isn't,it
it,<\s>
what's,he
he,got
have,you
you,<\s>
are,you
you,going
is,it
it,<\s>
are,you
you,doing
are,we
we,going
are,we
we,going
are,we
we,going
did,you
you,do
are,you
you,going
are,you
you,going
is,it
it,<\s>
are,you
you,building
put,it
it,on
isn't,it
it,<\s>
no,we
we,don't
do,we
we,<\s>
are,you
you,building
is,it
it,a
is,it
it,<\s>
haven't,you
you,<\s>
put,it
it,on
doesn't,it
it,<\s>
is,it
it,<\s>
are,we
we,going
are,you
you,going
isn't,it
it,<\s>
<s>,it
it,goes
does,it
it,<\s>
does,it
it,go
shall,we
we,make
shall,we
we,make
is,it
it,<\s>
does,it
it,work
doesn't,it
it,work
oh,you
you,can
can't,you
you,<\s>
can't,they
they,<\s>
<s>,you
you,can
to,it
it,<\s>
haven't,you
you,<\s>
here,you
you,are
isn't,it
it,<\s>
aren't,they
they,<\s>
aren't,they
they,<\s>
aren't,they
they,<\s>
are,they
they,going
are,they
they,going
are,they
they,bringing
here,you
you,are
is,it
it,coming
hasn't,it
it,<\s>
is,it
it,<\s>
is,she
she,<\s>
than,i
i,am
here,you
you,are
<s>,i
i,don't
think,i
i,don't
think,you
you,can
put,him
him,on
can,you
you,<\s>
<s>,we
we,can
did,we
we,do
<s>,we
we,went
didn't,we
we,<\s>
did,we
we,give
give,it
it,to
when,we
we,got
did,we
we,go
isn't,it
it,<\s>
what's,he
he,saying
is,it
it,<\s>
isn't,it
it,<\s>
is,it
it,a
can,i
i,have
can,i
i,<\s>
<s>,i
i,wanna
can,i
i,have
can,i
i,<\s>
are,we
we,<\s>
are,you
you,going
are,you
you,<\s>
do,it
it,isn't
isn't,it
it,<\s>
isn't,it
it,<\s>
does,it
it,do
are,we
we,going
with,it
it,<\s>
yes,we
we,play
with,it
it,in
don't,we
we,<\s>
what's,it
it,doing
what's,it
it,doing
<s>,we
we,went
didn't,we
we,<\s>
didn't,we
we,<\s>
<s>,we
we,saw
didn't,we
we,<\s>
<s>,it
it,went
didn't,it
it,<\s>
<s>,it
it,went
didn't,it
it,<\s>
wasn't,it
it,<\s>
<s>,we
we,walked
and,we
we,saw
didn't,we
we,<\s>
banged,it
it,didn't
didn't,he
he,<\s>
didn't,it
it,<\s>
are,you
you,<\s>
are,you
you,sitting
is,it
it,<\s>
doesn't,she
she,<\s>
are,you
you,going
at,it
it,<\s>
isn't,it
it,<\s>
isn't,he
he,<\s>
are,you
you,going
how,you
you,can
do,it
it,<\s>
take,them
them,out
don't,we
we,<\s>
are,you
you,going
put,them
them,in
isn't,it
it,<\s>
isn't,he
he,<\s>
isn't,it
it,<\s>
is,it
it,<\s>
isn't,it
it,<\s>
put,it
it,through
there,you
you,are
<s>,you
you,try
for,it
it,to
there,you
you,are
