0,1,2
what,have,you
have,you,got
you,got,here
what,have,you
have,you,got
you,got,<\s>
<s>,are,you
are,you,going
you,going,to
to,tell,me
tell,me,<\s>
what,is,it
is,it,<\s>
<s>,here,you
here,you,are
you,are,<\s>
ball,isn't,it
isn't,it,<\s>
what,is,it
is,it,<\s>
what,is,it
is,it,<\s>
<s>,do,you
do,you,wanna
you,wanna,look
elephant,isn't,it
isn't,it,<\s>
<s>,what's,he
what's,he,got
he,got,here
money,have,you
have,you,<\s>
<s>,are,you
are,you,going
you,going,to
what,is,it
is,it,<\s>
what,are,you
are,you,doing
you,doing,<\s>
what,are,we
are,we,going
we,going,to
<s>,are,we
are,we,going
we,going,to
<s>,are,we
are,we,going
we,going,to
what,did,you
did,you,do
you,do,to
<s>,are,you
are,you,going
you,going,to
what,are,you
are,you,going
you,going,to
color,is,it
is,it,<\s>
what,are,you
are,you,building
you,building,<\s>
<s>,put,it
put,it,on
it,on,<\s>
train,isn't,it
isn't,it,<\s>
<s>,no,we
no,we,don't
we,don't,bang
bang,do,we
do,we,<\s>
what,are,you
are,you,building
you,building,<\s>
<s>,is,it
is,it,a
it,a,house
<s>,is,it
is,it,<\s>
hard,haven't,you
haven't,you,<\s>
<s>,put,it
put,it,on
it,on,straight
same,doesn't,it
doesn't,it,<\s>
what,is,it
is,it,<\s>
<s>,are,we
are,we,going
we,going,to
<s>,are,you
are,you,going
you,going,to
top,isn't,it
isn't,it,<\s>
<s>,it,goes
it,goes,there
there,does,it
does,it,<\s>
<s>,does,it
does,it,go
it,go,on
<s>,shall,we
shall,we,make
we,make,a
<s>,shall,we
shall,we,make
we,make,a
what,is,it
is,it,<\s>
<s>,does,it
does,it,work
it,work,<\s>
or,doesn't,it
doesn't,it,work
it,work,<\s>
<s>,oh,you
oh,you,can
you,can,put
site,can't,you
can't,you,<\s>
bridge,can't,they
can't,they,<\s>
<s>,you,can
you,can,take
tractor,to,it
to,it,<\s>
somewhere,haven't,you
haven't,you,<\s>
<s>,here,you
here,you,are
you,are,<\s>
bridge,isn't,it
isn't,it,<\s>
trucks,aren't,they
aren't,they,<\s>
vans,aren't,they
aren't,they,<\s>
here,aren't,they
aren't,they,<\s>
<s>,are,they
are,they,going
they,going,to
what,are,they
are,they,going
they,going,to
what,are,they
are,they,bringing
they,bringing,to
<s>,here,you
here,you,are
you,are,<\s>
<s>,is,it
is,it,coming
it,coming,along
supermarket,hasn't,it
hasn't,it,<\s>
truck,is,it
is,it,<\s>
lego,is,she
is,she,<\s>
better,than,i
than,i,am
i,am,<\s>
<s>,here,you
here,you,are
you,are,<\s>
<s>,i,don't
i,don't,think
don't,think,i
think,i,don't
i,don't,think
don't,think,you
think,you,can
you,can,put
can,put,him
put,him,on
him,on,a
balloon,can,you
can,you,<\s>
<s>,we,can
we,can,do
what,did,we
did,we,do
we,do,yesterday
<s>,we,went
we,went,on
bus,didn't,we
didn't,we,<\s>
who,did,we
did,we,give
we,give,the
<s>,give,it
give,it,to
it,to,the
happened,when,we
when,we,got
we,got,into
<s>,did,we
did,we,go
we,go,to
bird,isn't,it
isn't,it,<\s>
<s>,what's,he
what's,he,saying
he,saying,<\s>
what,is,it
is,it,<\s>
butterfly,isn't,it
isn't,it,<\s>
<s>,is,it
is,it,a
it,a,foot
<s>,can,i
can,i,have
i,have,some
<s>,can,i
can,i,<\s>
<s>,i,wanna
i,wanna,go
<s>,can,i
can,i,have
i,have,some
<s>,can,i
can,i,<\s>
down,are,we
are,we,<\s>
<s>,are,you
are,you,going
you,going,to
<s>,are,you
are,you,<\s>
to,do,it
do,it,isn't
it,isn't,it
isn't,it,<\s>
tractor,isn't,it
isn't,it,<\s>
what,does,it
does,it,do
it,do,<\s>
what,are,we
are,we,going
we,going,to
do,with,it
with,it,<\s>
<s>,yes,we
yes,we,play
we,play,with
play,with,it
with,it,in
it,in,the
sometimes,don't,we
don't,we,<\s>
and,what's,it
what's,it,doing
it,doing,<\s>
<s>,what's,it
what's,it,doing
it,doing,to
<s>,we,went
we,went,to
park,didn't,we
didn't,we,<\s>
grass,didn't,we
didn't,we,<\s>
<s>,we,saw
we,saw,the
tractor,didn't,we
didn't,we,<\s>
<s>,it,went
it,went,to
sleep,didn't,it
didn't,it,<\s>
<s>,it,went
it,went,into
while,didn't,it
didn't,it,<\s>
park,wasn't,it
wasn't,it,<\s>
<s>,we,walked
we,walked,round
round,and,we
and,we,saw
we,saw,the
tractor,didn't,we
didn't,we,<\s>
driver,banged,it
banged,it,didn't
it,didn't,he
it,didn't,he
didn't,he,<\s>
front,didn't,it
didn't,it,<\s>
that,are,you
are,you,<\s>
<s>,are,you
are,you,sitting
you,sitting,in
what,is,it
is,it,<\s>
that,doesn't,she
doesn't,she,<\s>
<s>,are,you
are,you,going
you,going,to
look,at,it
at,it,<\s>
snake,isn't,it
isn't,it,<\s>
shirt,isn't,he
isn't,he,<\s>
<s>,are,you
are,you,going
you,going,to
mummy,how,you
how,you,can
you,can,do
can,do,it
do,it,<\s>
<s>,take,them
take,them,out
them,out,first
first,don't,we
don't,we,<\s>
<s>,are,you
are,you,going
you,going,to
to,put,them
put,them,in
them,in,<\s>
grandma's,isn't,it
isn't,it,<\s>
sorter,isn't,he
isn't,he,<\s>
one,isn't,it
isn't,it,<\s>
color,is,it
is,it,<\s>
<s>,isn't,it
isn't,it,<\s>
to,put,it
put,it,through
it,through,the
<s>,there,you
there,you,are
you,are,<\s>
<s>,you,try
you,try,and
hole,for,it
for,it,to
it,to,go
<s>,there,you
there,you,are
you,are,<\s>
boy,isn't,it
isn't,it,<\s>
<s>,are,you
are,you,going
you,going,to
<s>,shall,we
shall,we,take
we,take,them
we,take,them
