0,1,2
<s>,i,got
i,got,<\s>
<s>,it,big
it,big,<\s>
<s>,it,my
it,my,<\s>
<s>,it,bang
it,bang,bang
<s>,it,bang
it,bang,bang
<s>,it,it
it,it,train
it,train,<\s>
<s>,i,want
i,want,hat
<s>,bite,it
bite,it,<\s>
<s>,i,bite
i,bite,it
i,bite,it
bite,it,<\s>
<s>,it,hole
it,hole,<\s>
<s>,it,stuck
it,stuck,<\s>
<s>,i,got
i,got,hat
<s>,it,gone
it,gone,carpet
<s>,it,gone
it,gone,<\s>
<s>,i,got
i,got,<\s>
<s>,i,want
i,want,rat
<s>,it,red
it,red,<\s>
<s>,climb,it
climb,it,<\s>
<s>,i,kick
i,kick,<\s>
<s>,me,going
me,going,there
<s>,here,you
here,you,are
you,are,<\s>
<s>,i,want
i,want,that
<s>,i,need
i,need,book
<s>,have,you
have,you,polished
you,polished,it
you,polished,it
polished,it,all
it,all,<\s>
<s>,it,grass
it,grass,<\s>
<s>,it,the
it,the,grass
<s>,it,the
it,the,grass
<s>,it,the
it,the,grass
<s>,it,grass
it,grass,<\s>
<s>,it,grass
it,grass,<\s>
<s>,i,pull
i,pull,<\s>
<s>,it,rocks
it,rocks,<\s>
<s>,oh,me
oh,me,<\s>
what,is,it
is,it,<\s>
<s>,i,want
i,want,mummy
<s>,me,play
me,play,<\s>
<s>,i,fall
i,fall,<\s>
<s>,i,need
i,need,it
i,need,it
need,it,<\s>
<s>,i,need
i,need,this
<s>,i,won't
i,won't,willn't
<s>,it,a
it,a,xxx
<s>,no,me
no,me,<\s>
<s>,i,want
i,want,toys
eve,bought,me
bought,me,<\s>
eve,bought,them
bought,them,<\s>
<s>,i,ride
i,ride,<\s>
<s>,i,want
i,want,park
<s>,it,bang
it,bang,<\s>
<s>,it,toy
it,toy,<\s>
<s>,i,get
i,get,the
<s>,it,a
it,a,spoon
<s>,it,queen
it,queen,<\s>
<s>,it,crying
it,crying,<\s>
<s>,it,tip
it,tip,there
<s>,i,want
i,want,digger
<s>,i,throw
i,throw,<\s>
<s>,i,want
i,want,<\s>
<s>,i,get
i,get,down
<s>,i,want
i,want,down
<s>,train,it
train,it,was
it,was,dark
<s>,it,turn
it,turn,back
<s>,it,bang
it,bang,<\s>
<s>,it,bang
it,bang,<\s>
<s>,it,a
it,a,digger
<s>,i,got
i,got,big
<s>,me,<\s>
<s>,me,<\s>
<s>,that,me
that,me,<\s>
<s>,it,break
it,break,<\s>
<s>,it,break
it,break,<\s>
<s>,it,a
it,a,that
<s>,it,that
it,that,<\s>
<s>,a,it
a,it,light
it,light,<\s>
<s>,there,we
there,we,are
we,are,<\s>
<s>,i,want
i,want,tea
<s>,i,get
i,get,tea
<s>,it,hot
it,hot,<\s>
<s>,it,hot
it,hot,<\s>
<s>,it,gone
it,gone,<\s>
<s>,here,you
here,you,are
you,are,<\s>
<s>,it,gone
it,gone,<\s>
<s>,it,gone
it,gone,<\s>
<s>,i,not
i,not,<\s>
<s>,it,gone
it,gone,<\s>
<s>,it,gone
it,gone,<\s>
<s>,it,on
it,on,<\s>
<s>,it,on
it,on,<\s>
<s>,it,it
it,it,stop
it,stop,<\s>
<s>,knick,it
knick,it,knick
it,knick,<\s>
<s>,he,gone
he,gone,<\s>
<s>,i,kiss
i,kiss,<\s>
<s>,it,shoe
it,shoe,<\s>
<s>,it,shoe
it,shoe,<\s>
<s>,i,want
i,want,<\s>
<s>,i,walk
i,walk,<\s>
<s>,i,nearly
i,nearly,done
<s>,get,it
get,it,<\s>
<s>,i,got
i,got,fly
<s>,it,got
it,got,there
<s>,i,wipe
i,wipe,it
i,wipe,it
wipe,it,<\s>
