0,1,2
<s>,more,cookie
more,cookie,<\s>
<s>,more,cookie
more,cookie,<\s>
<s>,more,juice
more,juice,<\s>
<s>,fraser,<\s>
<s>,fraser,<\s>
<s>,fraser,<\s>
<s>,fraser,<\s>
<s>,yeah,<\s>
<s>,xxx,<\s>
<s>,a,fly
a,fly,<\s>
<s>,fly,<\s>
<s>,mommy,telephone
mommy,telephone,<\s>
<s>,my,telephone
my,telephone,<\s>
<s>,xxx,<\s>
<s>,mommy,<\s>
<s>,no,<\s>
<s>,man,man
man,man,<\s>
<s>,xxx,<\s>
<s>,more,cookie
more,cookie,<\s>
<s>,block,broke
block,broke,<\s>
<s>,there,<\s>
<s>,i,did
i,did,it
did,it,<\s>
<s>,there,<\s>
<s>,there,fraser
there,fraser,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,baby,<\s>
<s>,mommy,read
mommy,read,<\s>
<s>,a,stool
a,stool,<\s>
<s>,fraser,<\s>
<s>,fraser,<\s>
<s>,more,cookie
more,cookie,<\s>
<s>,more,cookie
more,cookie,<\s>
<s>,little,little
little,little,little
little,little,little
little,little,<\s>
<s>,milk,<\s>
<s>,milk,milk
milk,milk,milk
milk,milk,<\s>
<s>,that,<\s>
<s>,fraser,water
fraser,water,<\s>
<s>,oh,fraser
oh,fraser,<\s>
<s>,bye,<\s>
<s>,xxx,water
xxx,water,<\s>
<s>,fraser,water
fraser,water,<\s>
<s>,fraser,water
fraser,water,<\s>
<s>,that,<\s>
<s>,coffee,<\s>
<s>,xxx,fraser
xxx,fraser,coffee
fraser,coffee,<\s>
<s>,down,down
down,down,<\s>
<s>,cookie,<\s>
<s>,mommy,<\s>
<s>,mommy,<\s>
<s>,a,fly
a,fly,<\s>
<s>,read,the
read,the,puzzle
the,puzzle,<\s>
<s>,read,the
read,the,puzzle
the,puzzle,<\s>
<s>,read,the
read,the,puzzle
the,puzzle,<\s>
<s>,read,the
read,the,puzzle
the,puzzle,<\s>
<s>,read,the
read,the,puzzle
the,puzzle,read
puzzle,read,the
read,the,puzzle
the,puzzle,read
puzzle,read,the
read,the,puzzle
the,puzzle,<\s>
<s>,racketyboom,<\s>
<s>,hat,<\s>
<s>,xxx,<\s>
<s>,m,<\s>
<s>,water,xxx
water,xxx,<\s>
<s>,bottle,<\s>
<s>,water,<\s>
<s>,there,<\s>
<s>,fraser,hat
fraser,hat,<\s>
<s>,oh,fraser
oh,fraser,hat
fraser,hat,<\s>
<s>,oh,fraser
oh,fraser,hat
fraser,hat,oh
hat,oh,fraser
oh,fraser,hat
fraser,hat,<\s>
<s>,fraser,hat
fraser,hat,<\s>
<s>,no,<\s>
<s>,eye,<\s>
<s>,that,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,that,<\s>
<s>,soldier,<\s>
<s>,soldier,<\s>
<s>,that,that
that,that,<\s>
<s>,fraser,hat
fraser,hat,<\s>
<s>,eve,find
eve,find,it
find,it,<\s>
<s>,that,that
that,that,<\s>
<s>,xxx,man
xxx,man,<\s>
<s>,eve,<\s>
<s>,down,<\s>
<s>,that,<\s>
<s>,busy,<\s>
<s>,busy,<\s>
<s>,man,a
man,a,pencil
a,pencil,<\s>
<s>,man,a
man,a,pencil
a,pencil,<\s>
<s>,xxx,man
xxx,man,<\s>
<s>,pencil,<\s>
<s>,eve,pencil
eve,pencil,<\s>
<s>,eve,pencil
eve,pencil,<\s>
<s>,eve,pencil
eve,pencil,<\s>
<s>,man,a
man,a,pencil
a,pencil,<\s>
<s>,pencil,<\s>
<s>,man,<\s>
<s>,xxx,see
xxx,see,ya
see,ya,<\s>
<s>,xxx,read
xxx,read,<\s>
<s>,read,<\s>
<s>,clip_clop,<\s>
<s>,shoe,shoe
shoe,shoe,<\s>
