0,1,2
<s>,you,v
you,v,more
v,more,cookies
more,cookies,<\s>
<s>,how_about,another
how_about,another,graham
another,graham,<\s>
<s>,would,that
would,that,do
that,do,just
do,just,as_well
just,as_well,<\s>
<s>,here,<\s>
<s>,here,you
here,you,go
you,go,<\s>
<s>,you,have
you,have,another
have,another,cookie
another,cookie,right
cookie,right,on
right,on,the
on,the,table
the,table,<\s>
<s>,more,juice
more,juice,<\s>
<s>,would,you
would,you,like
you,like,more
like,more,grape
more,grape,juice
grape,juice,<\s>
<s>,where's,your
where's,your,cup
your,cup,<\s>
<s>,oh,i
oh,i,took
i,took,it
took,it,<\s>
<s>,i,think
i,think,that
think,that,was
that,was,fraser
was,fraser,<\s>
<s>,i'm,not
i'm,not,sure
not,sure,<\s>
<s>,what,<\s>
<s>,are,you
are,you,saying
you,saying,fraser
saying,fraser,<\s>
<s>,mr,fraser
mr,fraser,<\s>
<s>,yes,that's
yes,that's,much
that's,much,better
much,better,<\s>
<s>,mr,fraser
mr,fraser,<\s>
<s>,what,is
what,is,that
is,that,<\s>
<s>,huh,<\s>
<s>,what,is
what,is,that
is,that,<\s>
<s>,yes,a
yes,a,fly
a,fly,<\s>
<s>,why,don't
why,don't,you
don't,you,go
you,go,in
go,in,the
in,the,room
the,room,and
room,and,kill
and,kill,a
kill,a,fly
a,fly,<\s>
<s>,you,go
you,go,in
go,in,the
in,the,room
the,room,and
room,and,kill
and,kill,a
kill,a,fly
a,fly,<\s>
<s>,yes,you
yes,you,get
you,get,a
get,a,fly
a,fly,<\s>
<s>,you,get
you,get,one
get,one,<\s>
<s>,are,you
are,you,finished
you,finished,with
finished,with,your
with,your,juice
your,juice,<\s>
<s>,well,go
well,go,and
go,and,get
and,get,your
get,your,telephone
your,telephone,<\s>
<s>,yes,he
yes,he,gave
he,gave,you
gave,you,your
you,your,telephone
your,telephone,<\s>
<s>,who,are
who,are,you
are,you,calling
you,calling,eve
calling,eve,<\s>
<s>,who,<\s>
<s>,eve,why
eve,why,don't
why,don't,you
don't,you,call
you,call,grandma
call,grandma,<\s>
<s>,call,grandma
call,grandma,and
grandma,and,talk
and,talk,<\s>
<s>,oh,you
oh,you,don't
you,don't,wanna
don't,wanna,talk
wanna,talk,to
talk,to,grandma
to,grandma,<\s>
<s>,alright,<\s>
<s>,alright,<\s>
<s>,i,just
i,just,thought
just,thought,she
thought,she,might
she,might,like
might,like,to
like,to,hear
to,hear,from
hear,from,you
from,you,<\s>
<s>,uhhuh,<\s>
<s>,what's,the
