0,1,2
<s>,you,v
you,v,more
<s>,here,you
here,you,go
you,go,<\s>
<s>,you,have
you,have,another
<s>,would,you
would,you,like
you,like,more
<s>,oh,i
oh,i,took
i,took,it
i,took,it
took,it,<\s>
<s>,i,think
i,think,that
<s>,are,you
are,you,saying
you,saying,fraser
why,don't,you
don't,you,go
you,go,in
<s>,you,go
you,go,in
<s>,yes,you
yes,you,get
you,get,a
<s>,you,get
you,get,one
<s>,are,you
are,you,finished
you,finished,with
<s>,yes,he
yes,he,gave
he,gave,you
he,gave,you
gave,you,your
you,your,telephone
who,are,you
are,you,calling
you,calling,eve
why,don't,you
don't,you,call
you,call,grandma
<s>,oh,you
oh,you,don't
you,don't,wanna
<s>,i,just
i,just,thought
just,thought,she
thought,she,might
she,might,like
hear,from,you
from,you,<\s>
<s>,you,wan
you,wan,a
<s>,you,read
you,read,the
<s>,you,want
you,want,to
<s>,did,you
did,you,eat
you,eat,it
you,eat,it
eat,it,<\s>
<s>,yes,you
yes,you,ate
you,ate,it
you,ate,it
ate,it,<\s>
i'll,give,you
give,you,another
you,another,<\s>
<s>,you,xxx
you,xxx,eat
<s>,no,you
no,you,don't
you,don't,want
<s>,no,i
no,i,don't
i,don't,think
where,are,you
are,you,going
you,going,<\s>
<s>,will,you
will,you,ask
you,ask,mr
<s>,i,don't
i,don't,think
<s>,you,want
you,want,down
<s>,there,you
there,you,go
you,go,<\s>
what,did,you
did,you,do
you,do,with
do,with,it
with,it,<\s>
<s>,think,she
think,she,would
she,would,<\s>
see,if,we
if,we,can
we,can,find
give,dolly,her
dolly,her,bottle
her,bottle,<\s>
what,are,you
are,you,doing
you,doing,<\s>
<s>,he,doesn't
he,doesn't,have
<s>,would,he
would,he,like
he,like,to
<s>,he,would
he,would,<\s>
see,if,he
if,he,would
he,would,like
to,have,it
have,it,on
it,on,<\s>
what,do,you
do,you,want
you,want,me
you,want,me
want,me,to
me,to,do
do,with,it
with,it,<\s>
what,do,you
do,you,want
you,want,me
you,want,me
want,me,to
me,to,do
do,with,it
with,it,<\s>
<s>,do,you
do,you,want
you,want,me
you,want,me
want,me,to
me,to,turn
to,turn,it
turn,it,for
it,for,you
it,for,you
for,you,<\s>
<s>,bring,it
bring,it,here
it,here,<\s>
<s>,he,doesn't
he,doesn't,have
gonna,find,it
find,it,<\s>
<s>,want,me
want,me,to
me,to,turn
to,turn,it
turn,it,<\s>
<s>,d,you
d,you,wanna
you,wanna,come
that'll,keep,you
keep,you,busy
you,busy,<\s>
<s>,there,you
