0,1
<s>,i
i,did
did,it
it,<\s>
find,it
it,<\s>
get,it
it,<\s>
have,it
it,<\s>
find,it
it,<\s>
find,it
it,<\s>
<s>,you
you,find
find,it
it,xxx
find,it
it,<\s>
find,it
it,<\s>
find,i
i,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
taste,it
it,<\s>
<s>,i
i,fall
do,it
it,<\s>
have,it
it,<\s>
bring,it
it,<\s>
bring,it
it,<\s>
pardon,me
me,<\s>
<s>,i
i,dance
get,her
her,<\s>
get,it
it,<\s>
<s>,i
i,see
see,it
it,<\s>
change,her
her,<\s>
change,her
her,<\s>
change,her
her,<\s>
change,her
her,<\s>
have,it
it,<\s>
find,it
it,<\s>
find,it
it,<\s>
<s>,you
you,find
find,it
it,<\s>
<s>,you
you,find
find,it
it,<\s>
find,it
it,<\s>
find,it
it,<\s>
fix,it
it,<\s>
find,it
it,<\s>
bring,it
it,<\s>
bring,it
it,<\s>
have,it
it,<\s>
have,it
it,<\s>
have,it
it,<\s>
have,it
it,<\s>
eat,it
it,<\s>
have,it
it,<\s>
have,it
it,<\s>
have,it
it,<\s>
<s>,it
it,break
oh,it
it,break
<s>,it
it,break
xxx,i
i,cider
show,me
me,book
show,me
me,book
show,me
me,book
<s>,me
me,book
show,me
me,book
show,me
me,book
mommy,you
you,read
<s>,i
i,kick
see,it
it,<\s>
<s>,i
i,can
<s>,i
i,was
change,her
her,<\s>
pardon,me
me,<\s>
pardon,me
me,<\s>
pardon,me
me,<\s>
<s>,i
i,want
stir,it
it,<\s>
<s>,i
i,see
<s>,i
i,fell
get,it
it,<\s>
show,me
me,<\s>
mommy,you
you,read
<s>,i
i,get
<s>,you
you,read
read,it
it,<\s>
hold,it
it,<\s>
<s>,i
i,see
<s>,i
i,help
<s>,i
i,help
find,it
it,<\s>
<s>,you
you,write
<s>,i
i,xxx
get,it
it,<\s>
at,me
me,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
by,you
you,<\s>
by,you
you,<\s>
<s>,i
i,drop
<s>,i
i,drop
<s>,i
i,write
see,it
it,paper
drop,it
it,<\s>
<s>,i
i,see
have,it
it,<\s>
<s>,i
i,sock
lick,it
it,<\s>
<s>,i
i,see
<s>,you
you,climb
<s>,you
you,fraser
have,it
it,<\s>
<s>,i
i,crack
<s>,i
i,want
get,it
it,<\s>
spill,it
it,<\s>
look,it
it,<\s>
<s>,i
i,dance
xxx,i
i,banging
<s>,i
i,banging
help,me
me,<\s>
get,it
it,<\s>
<s>,i
i,seed
saw,it
it,<\s>
op,it
it,bouillon
see,it
it,<\s>
see,it
it,<\s>
by,me
me,<\s>
<s>,you
you,sugar
<s>,me
me,<\s>
see,it
it,<\s>
have,it
it,<\s>
<s>,it
it,drop
<s>,they
they,building
did,it
it,go
<s>,it
it,go
tore,it
it,<\s>
<s>,he
he,doing
<s>,it
it,sway
see,me
me,see
see,me
me,see
see,me
me,see
see,me
me,see
see,me
me,see
see,me
me,see
see,me
me,<\s>
<s>,i
i,see
see,me
me,<\s>
<s>,i
i,see
see,me
me,xxx
see,me
me,<\s>
see,me
me,<\s>
see,me
me,<\s>
see,me
me,<\s>
see,me
me,<\s>
see,me
me,<\s>
see,me
me,<\s>
see,me
me,<\s>
see,me
me,<\s>
see,me
me,<\s>
see,me
me,<\s>
see,you
