0,1,2
<s>,i,did
i,did,it
i,did,it
did,it,<\s>
eve,find,it
find,it,<\s>
<s>,get,it
get,it,<\s>
man,have,it
have,it,<\s>
xxx,find,it
find,it,<\s>
xxx,find,it
find,it,<\s>
<s>,you,find
you,find,it
you,find,it
find,it,xxx
it,xxx,find
xxx,find,it
find,it,<\s>
<s>,find,it
find,it,<\s>
xxx,find,i
find,i,<\s>
man,taste,it
taste,it,<\s>
man,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
<s>,taste,it
taste,it,<\s>
xxx,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
<s>,taste,it
taste,it,<\s>
xxx,taste,it
taste,it,<\s>
<s>,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
no,taste,it
taste,it,<\s>
<s>,i,fall
i,fall,<\s>
xxx,do,it
do,it,<\s>
xxx,have,it
have,it,<\s>
<s>,bring,it
bring,it,<\s>
<s>,bring,it
bring,it,<\s>
<s>,pardon,me
pardon,me,<\s>
<s>,i,dance
i,dance,<\s>
<s>,get,her
get,her,<\s>
<s>,get,it
get,it,<\s>
<s>,i,see
i,see,it
i,see,it
see,it,<\s>
oh,change,her
change,her,<\s>
oh,change,her
change,her,<\s>
oh,change,her
change,her,<\s>
<s>,change,her
change,her,<\s>
<s>,have,it
have,it,<\s>
xxx,find,it
find,it,<\s>
<s>,find,it
find,it,<\s>
<s>,you,find
you,find,it
you,find,it
find,it,<\s>
<s>,you,find
you,find,it
you,find,it
find,it,<\s>
<s>,find,it
find,it,<\s>
<s>,find,it
find,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,find,it
find,it,<\s>
<s>,bring,it
bring,it,<\s>
<s>,bring,it
bring,it,<\s>
<s>,have,it
have,it,<\s>
papa,have,it
have,it,<\s>
<s>,have,it
have,it,<\s>
<s>,have,it
have,it,<\s>
<s>,eat,it
eat,it,<\s>
mommy,have,it
have,it,<\s>
<s>,have,it
have,it,<\s>
<s>,have,it
have,it,<\s>
<s>,it,break
it,break,<\s>
<s>,oh,it
oh,it,break
it,break,<\s>
<s>,it,break
it,break,<\s>
<s>,xxx,i
xxx,i,cider
i,cider,xxx
<s>,show,me
show,me,book
me,book,<\s>
<s>,show,me
show,me,book
me,book,<\s>
<s>,show,me
show,me,book
me,book,<\s>
<s>,me,book
me,book,<\s>
<s>,show,me
show,me,book
me,book,<\s>
<s>,show,me
show,me,book
me,book,<\s>
<s>,mommy,you
mommy,you,read
you,read,<\s>
<s>,i,kick
i,kick,the
<s>,see,it
see,it,<\s>
<s>,i,can
i,can,<\s>
<s>,i,was
i,was,xxx
<s>,change,her
change,her,<\s>
<s>,pardon,me
pardon,me,<\s>
<s>,pardon,me
pardon,me,<\s>
<s>,pardon,me
pardon,me,<\s>
<s>,i,want
i,want,mommy
then,stir,it
stir,it,<\s>
<s>,i,see
i,see,<\s>
<s>,i,fell
i,fell,<\s>
<s>,get,it
get,it,<\s>
<s>,show,me
show,me,<\s>
a,mommy,you
mommy,you,read
you,read,<\s>
<s>,i,get
i,get,paper
<s>,you,read
you,read,it
you,read,it
read,it,<\s>
<s>,hold,it
hold,it,<\s>
<s>,i,see
i,see,<\s>
<s>,i,help
i,help,stool
<s>,i,help
i,help,stool
mommy,find,it
find,it,<\s>
<s>,you,write
you,write,a
<s>,i,xxx
i,xxx,get
xxx,get,it
get,it,<\s>
look,at,me
at,me,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
sit,by,you
by,you,<\s>
man,by,you
by,you,<\s>
<s>,i,drop
i,drop,pencil
<s>,i,drop
i,drop,xxx
<s>,i,write
i,write,this
<s>,see,it
see,it,paper
it,paper,<\s>
careful,drop,it
drop,it,<\s>
<s>,i,see
i,see,eve
<s>,have,it
have,it,<\s>
<s>,i,sock
i,sock,put
<s>,lick,it
lick,it,<\s>
<s>,i,see
i,see,<\s>
<s>,you,climb
you,climb,in
<s>,you,fraser
you,fraser,<\s>
xxx,have,it
have,it,<\s>
<s>,i,crack
i,crack,nut
<s>,i,want
i,want,<\s>
xxx,get,it
get,it,<\s>
<s>,spill,it
spill,it,<\s>
<s>,look,it
look,it,<\s>
<s>,i,dance
i,dance,<\s>
<s>,xxx,i
xxx,i,banging
i,banging,pencil
<s>,i,banging
i,banging,<\s>
<s>,help,me
help,me,<\s>
<s>,get,it
get,it,<\s>
<s>,i,seed
i,seed,saw
seed,saw,it
saw,it,<\s>
<s>,op,it
op,it,bouillon
it,bouillon,cube
<s>,see,it
see,it,<\s>
xxx,see,it
see,it,<\s>
<s>,by,me
by,me,<\s>
<s>,you,sugar
you,sugar,bowl
<s>,me,<\s>
<s>,see,it
see,it,<\s>
eve,have,it
have,it,<\s>
<s>,it,drop
it,drop,<\s>
<s>,they,building
they,building,here
where,did,it
did,it,go
it,go,<\s>
<s>,it,go
it,go,<\s>
tored,tore,it
tore,it,<\s>
<s>,he,doing
he,doing,what
<s>,it,sway
it,sway,<\s>
<s>,see,me
see,me,see
me,see,me
see,me,see
me,see,me
see,me,see
me,see,me
see,me,see
me,see,me
see,me,see
me,see,me
see,me,see
me,see,me
see,me,<\s>
<s>,i,see
i,see,fraser
<s>,see,me
see,me,<\s>
<s>,i,see
i,see,me
i,see,me
see,me,xxx
me,xxx,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
<s>,see,me
see,me,<\s>
let,see,you
see,you,<\s>
xxx,see,you
see,you,jump
you,jump,down
fraser,do,it
do,it,eve
it,eve,<\s>
<s>,you,jump
you,jump,<\s>
<s>,i,sit
i,sit,mommy
<s>,i,bet
i,bet,policeman
<s>,he,sell
he,sell,ice
<s>,kiss,it
kiss,it,<\s>
<s>,you,wipe
you,wipe,off
<s>,i,see
i,see,fire
<s>,you,do
you,do,<\s>
fraser,do,it
do,it,<\s>
<s>,him,writing
him,writing,<\s>
papa,change,her
change,her,<\s>
<s>,you,penny
you,penny,<\s>
<s>,you,penny
you,penny,<\s>
please,move,him
move,him,<\s>
please,move,him
move,him,<\s>
<s>,put,him
put,him,put
him,put,him
put,him,lion
him,lion,turtle
fraser,get,it
get,it,<\s>
<s>,you,<\s>
<s>,do,it
do,it,again
it,again,<\s>
<s>,do,it
do,it,again
it,again,<\s>
<s>,it,drop
it,drop,<\s>
hab,have,it
have,it,<\s>
<s>,i,two
i,two,<\s>
<s>,i,<\s>
<s>,yeah,i
yeah,i,swimming
i,swimming,<\s>
mommy,fix,it
fix,it,<\s>
<s>,it,broken
it,broken,<\s>
<s>,i,write
i,write,eve
<s>,i,write
i,write,sto
write,sto,i
sto,i,write
i,write,stool
<s>,i,write
i,write,door
<s>,i,write
i,write,study
<s>,i,write
i,write,study
<s>,you,write
you,write,pencil
<s>,you,write
you,write,a
<s>,you,pencil
you,pencil,<\s>
write,on,it
on,it,<\s>
must,find,it
find,it,<\s>
<s>,you,gonna
you,gonna,make
<s>,i,making
i,making,eve
<s>,i,sit
i,sit,<\s>
<s>,rinse,it
rinse,it,out
it,out,<\s>
<s>,i,put
i,put,xxx
<s>,i,put
i,put,in
xxx,peel,it
peel,it,first
it,first,<\s>
xxx,peel,it
peel,it,first
it,first,<\s>
<s>,you,on
you,on,my
<s>,you,writing
you,writing,too
<s>,i,fall
i,fall,down
<s>,i,put
i,put,sugar
<s>,it,doing
it,doing,dancing
<s>,i,brushing
i,brushing,<\s>
<s>,i,banging
i,banging,fraser
fraser,put,it
put,it,in
it,in,<\s>
<s>,you,read
you,read,lassie
<s>,i,sit
i,sit,sit
<s>,she,goin
she,goin,burp
<s>,she,goin
she,goin,burp
<s>,go,her
go,her,tummy
her,tummy,<\s>
<s>,i,fall
i,fall,down
<s>,i,try
i,try,<\s>
<s>,i,try
i,try,<\s>
<s>,i,try
i,try,it
i,try,it
try,it,again
it,again,<\s>
<s>,i,drinking
i,drinking,baby
so,can,she
can,she,<\s>
<s>,i,slip
i,slip,<\s>
xxx,have,it
have,it,<\s>
eve,have,it
have,it,have
it,have,it
have,it,<\s>
eve,have,it
have,it,<\s>
<s>,i,see
i,see,<\s>
eve,have,it
have,it,<\s>
<s>,he,drink
he,drink,coffee
fraser,drink,it
drink,it,<\s>
<s>,i,drinking
i,drinking,<\s>
<s>,i,drinking
i,drinking,<\s>
<s>,i,making
i,making,i
making,i,making
i,making,making
<s>,i,see
i,see,you
i,see,you
see,you,<\s>
<s>,i,see
i,see,you
i,see,you
see,you,<\s>
<s>,there,he
there,he,is
he,is,<\s>
<s>,let,me
let,me,have
me,have,it
me,have,it
have,it,<\s>
<s>,put,it
put,it,<\s>
put,xxx,it
xxx,it,<\s>
<s>,it,xxx
it,xxx,fall
<s>,he,giving
he,giving,hay
<s>,i,like
i,like,ice
<s>,drop,it
drop,it,drop
it,drop,<\s>
<s>,i,see
i,see,fraser
<s>,i,see
i,see,you
i,see,you
see,you,<\s>
<s>,i,cut
i,cut,<\s>
<s>,i,cut
i,cut,scissor
<s>,you,cut
you,cut,cut
<s>,i,ride
i,ride,a
<s>,i,no
i,no,mommy
<s>,she,drink
she,drink,out
<s>,stir,it
stir,it,<\s>
eve,read,it
read,it,<\s>
fraser,read,it
read,it,<\s>
eve,read,it
