0,1,2
<s>,xxx,<\s>
<s>,a,<\s>
<s>,ha,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,up,ba
up,ba,bay
ba,bay,<\s>
<s>,xxx,<\s>
<s>,ow,<\s>
<s>,ah,ah
ah,ah,ah
ah,ah,ah
ah,ah,<\s>
<s>,um,um
um,um,ah
um,ah,ow
ah,ow,ow
ow,ow,<\s>
<s>,ow,ow
ow,ow,<\s>
<s>,moo,<\s>
<s>,moo,moo
moo,moo,<\s>
<s>,xxx,<\s>
<s>,kit,<\s>
<s>,ba,ah
ba,ah,ah
ah,ah,<\s>
<s>,ow,ow
ow,ow,ow
ow,ow,<\s>
<s>,kit,kit
kit,kit,kit
kit,kit,<\s>
<s>,dere,there
dere,there,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,um,<\s>
<s>,xxx,<\s>
<s>,me,me
me,me,yyy
me,yyy,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,ah,<\s>
<s>,ah,<\s>
<s>,ah,<\s>
<s>,ow,<\s>
<s>,o,<\s>
<s>,moo,moo
moo,moo,me
moo,me,me
me,me,me
me,me,<\s>
<s>,oh,<\s>
<s>,ow,nany
ow,nany,<\s>
<s>,oh,<\s>
<s>,ow,<\s>
<s>,hm,<\s>
<s>,eh,<\s>
<s>,eh,eh
eh,eh,eh
eh,eh,<\s>
<s>,eh,eh
eh,eh,<\s>
<s>,dey,dey
dey,dey,they
dey,they,done
they,done,<\s>
<s>,dey,they
dey,they,done
they,done,<\s>
<s>,whoo,<\s>
<s>,whoo,woo
whoo,woo,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,dey,they
dey,they,<\s>
<s>,who,<\s>
<s>,horsie,<\s>
<s>,horsie,<\s>
<s>,eueueu,<\s>
<s>,ahu,<\s>
<s>,ahu,<\s>
<s>,ahu,<\s>
<s>,ahuhuhu,<\s>
<s>,piggie,<\s>
<s>,piggie,<\s>
<s>,piggie,<\s>
<s>,oug,oug
oug,oug,<\s>
<s>,chickie,<\s>
<s>,oig,oig
oig,oig,oig
oig,oig,gu
oig,gu,<\s>
<s>,peep,peep
peep,peep,<\s>
<s>,oig,ag
oig,ag,oig
ag,oig,oig
oig,oig,oig
oig,oig,oig
oig,oig,<\s>
<s>,oig,oig
oig,oig,oig
oig,oig,yyy
oig,yyy,<\s>
<s>,do,<\s>
<s>,yyy,oig
yyy,oig,oig
oig,oig,<\s>
<s>,hat,ha
hat,ha,<\s>
<s>,hutch,<\s>
<s>,cow,<\s>
<s>,moo,moo
moo,moo,<\s>
<s>,moo,moo
moo,moo,<\s>
<s>,baby,<\s>
<s>,mommy,<\s>
<s>,daddy,<\s>
<s>,boy,<\s>
<s>,gir,<\s>
<s>,girl,<\s>
<s>,yyy,hm
yyy,hm,<\s>
<s>,w,woo
w,woo,woo
woo,woo,<\s>
<s>,yyy,<\s>
<s>,a,oig
a,oig,a
oig,a,a
a,a,a
a,a,oig
a,oig,oig
oig,oig,<\s>
<s>,xxx,<\s>
<s>,moo,<\s>
<s>,maw,<\s>
<s>,yyy,<\s>
<s>,daddy,<\s>
<s>,daddy,<\s>
<s>,daddy,<\s>
<s>,doggie,<\s>
<s>,that's,a
that's,a,baby
a,baby,<\s>
<s>,mommy,<\s>
<s>,daddy,<\s>
<s>,dadda,<\s>
<s>,xxx,<\s>
<s>,down,<\s>
<s>,me,down
me,down,up
down,up,<\s>
<s>,up,down
up,down,<\s>
<s>,down,<\s>
<s>,woo,<\s>
<s>,woo,<\s>
<s>,woo,woo
woo,woo,<\s>
<s>,oig,oig
oig,oig,ye
oig,ye,<\s>
<s>,yyy,<\s>
<s>,baby,<\s>
<s>,baby,<\s>
<s>,baby,baby
baby,baby,<\s>
<s>,hat,<\s>
<s>,hut,<\s>
<s>,look,<\s>
<s>,look,<\s>
<s>,look,<\s>
<s>,doodie,<\s>
<s>,see,<\s>
<s>,uh,uh
uh,uh,yyy
uh,yyy,<\s>
<s>,xxx,<\s>
<s>,footie,<\s>
<s>,doodie,<\s>
<s>,toydee,toy
toydee,toy,<\s>
<s>,yes,<\s>
<s>,mine,<\s>
<s>,footie,rock
footie,rock,<\s>
<s>,book,<\s>
<s>,how,oh
how,oh,<\s>
<s>,book,<\s>
<s>,gun,<\s>
<s>,cone,<\s>
<s>,lala,<\s>
<s>,gaga,<\s>
<s>,gala,<\s>
<s>,gaga,<\s>
<s>,yyy,<\s>
<s>,book,<\s>
<s>,yyy,<\s>
<s>,towel,towel
towel,towel,towe
towel,towe,yyy
towe,yyy,<\s>
<s>,yyy,<\s>
<s>,o,uh
o,uh,<\s>
<s>,o,uh
o,uh,<\s>
<s>,ah,<\s>
<s>,yyy,<\s>
<s>,xxx,yyy
xxx,yyy,yyy
yyy,yyy,<\s>
<s>,yyy,no
yyy,no,o
no,o,<\s>
<s>,no,<\s>
<s>,eggies,<\s>
<s>,cheese,<\s>
<s>,cheese,<\s>
<s>,cheese,<\s>
<s>,car,<\s>
<s>,ah,<\s>
<s>,car,<\s>
<s>,car,car
car,car,car
car,car,<\s>
<s>,daddy,<\s>
<s>,o,uh
o,uh,ugh
uh,ugh,<\s>
<s>,mommy,<\s>
<s>,daddy,<\s>
<s>,daddy,daddy
daddy,daddy,<\s>
<s>,daddy,haha
daddy,haha,haha
haha,haha,<\s>
<s>,boy,big
boy,big,big
big,big,big
big,big,<\s>
<s>,mommy,<\s>
<s>,daddy,<\s>
<s>,book,<\s>
<s>,xxx,<\s>
<s>,goo,<\s>
<s>,night,<\s>
<s>,night,<\s>
<s>,goo,<\s>
<s>,night,<\s>
<s>,nana,<\s>
<s>,yyy,<\s>
<s>,ah,<\s>
<s>,yyy,ah
yyy,ah,<\s>
<s>,eh,ah
eh,ah,<\s>
<s>,eh,ah
eh,ah,eh
ah,eh,ah
eh,ah,<\s>
<s>,eh,ah
eh,ah,ah
ah,ah,o
ah,o,<\s>
<s>,xxx,baby
xxx,baby,<\s>
<s>,baby,<\s>
<s>,baby,duck
baby,duck,duck
duck,duck,<\s>
<s>,duck,<\s>
<s>,duck,<\s>
<s>,duck,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,how,how
how,how,<\s>
<s>,how,how
how,how,<\s>
<s>,how,house
how,house,hou
house,hou,hou
hou,hou,<\s>
<s>,xxx,yyy
xxx,yyy,<\s>
<s>,yyy,<\s>
<s>,yyy,<\s>
<s>,xxx,<\s>
<s>,look,<\s>
<s>,xxx,<\s>
<s>,yyy,<\s>
<s>,boy,<\s>
<s>,goldie,<\s>
<s>,daddy,<\s>
<s>,daddy,<\s>
<s>,cookie,<\s>
<s>,doggie,<\s>
<s>,tea,<\s>
<s>,eh,<\s>
<s>,turn,<\s>
<s>,xxx,<\s>
<s>,yyy,<\s>
<s>,flower,<\s>
<s>,how,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,horse,<\s>
<s>,mm,<\s>
<s>,mm,<\s>
<s>,piggie,<\s>
<s>,horsie,<\s>
<s>,yyy,ah
yyy,ah,<\s>
<s>,down,<\s>
<s>,how,big
how,big,is
big,is,<\s>
<s>,pretty,big
pretty,big,<\s>
<s>,mou,mou
mou,mou,<\s>
<s>,hou,<\s>
<s>,hou,hou
hou,hou,<\s>
<s>,hou,<\s>
<s>,bit,but
bit,but,<\s>
<s>,hou,<\s>
<s>,boa,<\s>
<s>,book,<\s>
<s>,baby,<\s>
<s>,flowe,<\s>
<s>,yyy,<\s>
<s>,yyy,<\s>
<s>,rabbit,rabbit
rabbit,rabbit,<\s>
<s>,yyy,<\s>
<s>,yyy,<\s>
<s>,yyy,<\s>
<s>,fish,<\s>
<s>,boa,<\s>
<s>,i,yyy
i,yyy,<\s>
<s>,birdie,<\s>
<s>,birdie,<\s>
<s>,yyy,<\s>
<s>,eye,<\s>
<s>,ea,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,payn,<\s>
<s>,shoe,<\s>
<s>,shoe,<\s>
<s>,shoe,<\s>
<s>,shingle,<\s>
<s>,chic,<\s>
<s>,t,yyy
t,yyy,daddy
yyy,daddy,<\s>
<s>,daddy,play
daddy,play,<\s>
<s>,yyy,<\s>
<s>,sipper,slipper
sipper,slipper,<\s>
<s>,yyy,<\s>
<s>,yyy,<\s>
<s>,see,mommy
see,mommy,<\s>
<s>,moon,<\s>
<s>,o,up
o,up,yyy
up,yyy,<\s>
<s>,ah,ah
ah,ah,ah
ah,ah,ah
ah,ah,ah
ah,ah,<\s>
<s>,yyy,<\s>
<s>,ha,<\s>
<s>,get,down
get,down,<\s>
<s>,mou,<\s>
<s>,ah,<\s>
<s>,ball,<\s>
<s>,a,ball
a,ball,<\s>
<s>,yyy,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,diaper,<\s>
<s>,get,dat
get,dat,that
dat,that,ball
that,ball,<\s>
<s>,get,dat
get,dat,that
dat,that,ball
that,ball,<\s>
<s>,get,dat
get,dat,that
dat,that,ball
that,ball,<\s>
<s>,he,dat
he,dat,that
dat,that,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,mou,<\s>
<s>,doggie,<\s>
<s>,goldie,<\s>
<s>,goldie,<\s>
<s>,mou,<\s>
<s>,doggie,<\s>
<s>,xxx,<\s>
<s>,mommy,<\s>
<s>,there,you
there,you,boogie
you,boogie,<\s>
<s>,box,<\s>
<s>,fits,<\s>
<s>,up,<\s>
<s>,blue,<\s>
<s>,o,<\s>
<s>,doggie,<\s>
<s>,piggie,<\s>
<s>,yyy,<\s>
<s>,kitty,<\s>
<s>,cookie,<\s>
<s>,money,<\s>
<s>,money,<\s>
<s>,it's,money
it's,money,<\s>
<s>,xxx,<\s>
<s>,o,<\s>
<s>,o,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,read,a
read,a,book
a,book,<\s>
<s>,read,a
read,a,book
a,book,<\s>
<s>,ah,o
ah,o,night_night
o,night_night,<\s>
<s>,daddy,<\s>
<s>,doggie,<\s>
<s>,doggie,<\s>
<s>,monkey,<\s>
<s>,bear,<\s>
<s>,night_night,<\s>
<s>,xxx,daddy
xxx,daddy,<\s>
<s>,mommy,<\s>
<s>,baby,<\s>
<s>,bye,bye
bye,bye,<\s>
<s>,xxx,<\s>
<s>,mommy,<\s>
<s>,night_night,<\s>
<s>,he,a
he,a,pottie
a,pottie,<\s>
<s>,oh,<\s>
<s>,blan,<\s>
<s>,pillow,<\s>
<s>,daddy,<\s>
<s>,daddy,<\s>
<s>,daddy,<\s>
<s>,daddy,<\s>
<s>,daddy,<\s>
<s>,xxx,<\s>
<s>,yyy,<\s>
<s>,yyy,<\s>
<s>,yyy,<\s>
<s>,yyy,<\s>
<s>,daddy,<\s>
<s>,daddy,<\s>
<s>,daddy,doggie
daddy,doggie,<\s>
<s>,doggie,xxx
doggie,xxx,<\s>
<s>,baby,<\s>
<s>,baby,<\s>
<s>,baby,<\s>
<s>,doctor,<\s>
<s>,mou,<\s>
<s>,ah,o
ah,o,baby
o,baby,<\s>
<s>,baby,<\s>
<s>,dat,that
dat,that,<\s>
<s>,baby,<\s>
<s>,broken,<\s>
<s>,broken,<\s>
<s>,say,yeah
