0,1
<s>,kitty
kitty,that's
that's,right
right,kitty
kitty,<\s>
<s>,kitty
kitty,say
say,it
it,again
again,love
love,kitty
kitty,<\s>
<s>,yyy
yyy,<\s>
<s>,what's
what's,that
that,<\s>
<s>,what's
what's,that
that,<\s>
<s>,kitty
kitty,<\s>
<s>,yyy
yyy,do
do,you
you,want
want,more
more,milk
milk,honey
honey,<\s>
<s>,no
no,okay
okay,<\s>
<s>,oh
oh,look
look,lovey
lovey,<\s>
<s>,bird
bird,<\s>
<s>,birdie
birdie,<\s>
<s>,kitty
kitty,kitty
kitty,doggie
doggie,<\s>
<s>,doggie
doggie,dog
dog,<\s>
<s>,doggie
doggie,<\s>
<s>,nom
nom,what
what,does
does,the
the,doggie
doggie,say
say,<\s>
<s>,what
what,does
does,the
the,doggie
doggie,say
say,<\s>
<s>,woof
woof,woof
woof,<\s>
<s>,woof
woof,woof
woof,<\s>
<s>,woof
woof,woof
woof,<\s>
<s>,woof
woof,woof
woof,<\s>
<s>,woof
woof,say
say,woof
woof,woof
woof,<\s>
<s>,woof
woof,woof
woof,<\s>
<s>,doggie
doggie,<\s>
<s>,doggie
doggie,see
see,camel
camel,<\s>
<s>,camel
camel,<\s>
<s>,little
little,baby
baby,birdie
birdie,<\s>
<s>,baby
baby,birdie
birdie,<\s>
<s>,you
you,don't
don't,like
like,that
that,one
one,<\s>
<s>,okay
okay,<\s>
<s>,okay
okay,<\s>
<s>,mommy
mommy,take
take,thi
thi,ou
ou,<\s>
<s>,okay
okay,mommy
mommy,take
take,this
this,out
out,<\s>
<s>,cow
cow,<\s>
<s>,the
the,cow
cow,says
says,moo
moo,moo
moo,<\s>
<s>,the
the,cow
cow,cow
cow,<\s>
<s>,you
you,don't
don't,like
like,that
that,one
one,either
either,<\s>
<s>,you
you,want
want,to
to,give
give,that
that,one
one,to
to,me
me,<\s>
<s>,okay
okay,<\s>
<s>,i'll
i'll,take
take,him
him,<\s>
<s>,take
take,him
him,<\s>
<s>,big
big,cow
cow,<\s>
<s>,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,moo
moo,<\s>
<s>,what
what,does
does,the
the,cow
cow,say
say,nomi
nomi,<\s>
<s>,moo
moo,<\s>
<s>,moo
moo,moo
moo,<\s>
<s>,what's
what's,that
that,nomi
nomi,<\s>
<s>,what's
what's,that
that,<\s>
<s>,kitty
kitty,<\s>
<s>,kitty
kitty,<\s>
<s>,meow
meow,meow
meow,meow
meow,says
says,that
that,kitty
kitty,<\s>
<s>,okay
okay,are
are,you
you,done
done,with
with,looking
looking,at
at,the
the,pictures
pictures,<\s>
<s>,are
are,you
you,going
going,to
to,give
give,them
them,to
to,me
me,<\s>
<s>,okay
okay,you
you,can
can,give
give,them
them,to
to,me
me,<\s>
<s>,i'll
i'll,show
show,them
them,to
to,you
you,another
another,time
time,<\s>
<s>,okay
okay,<\s>
<s>,take
take,away
away,all
all,the
the,horsies
horsies,and
and,all
all,the
the,kitties
kitties,<\s>
<s>,and
and,all
all,the
the,birdies
birdies,<\s>
<s>,okay
okay,<\s>
<s>,she's
she's,got
got,her
her,feet
feet,on
on,the
the,table
table,<\s>
<s>,she's
she's,got
got,her
her,feet
feet,<\s>
<s>,come
come,on
on,don't
don't,put
put,the
the,popsicle
popsicle,on
on,your
your,foot
foot,sweetie
sweetie,<\s>
<s>,yuck
yuck,<\s>
<s>,do
do,you
you,want
want,to
to,give
give,mommy
mommy,the
the,popsicle
popsicle,<\s>
<s>,um
um,<\s>
<s>,are
are,you
you,finished
finished,with
with,it
it,<\s>
<s>,popsicle
popsicle,<\s>
<s>,no
no,<\s>
<s>,no
no,<\s>
<s>,doggie
doggie,doggie
doggie,<\s>
<s>,doggie
doggie,<\s>
<s>,no
no,i
i,don't
don't,think
think,you
you,want
want,any
any,apple
apple,juice
juice,now
now,<\s>
<s>,i
i,don't
don't,think
think,so
so,<\s>
<s>,i
i,think
think,you
you,had
had,better
better,finish
finish,your
your,popsicle
popsicle,<\s>
<s>,no
no,<\s>
