0,1,2
<s>,kitty,that's
kitty,that's,right
that's,right,kitty
right,kitty,<\s>
<s>,kitty,say
kitty,say,it
say,it,again
it,again,love
again,love,kitty
love,kitty,<\s>
<s>,yyy,<\s>
<s>,what's,that
what's,that,<\s>
<s>,what's,that
what's,that,<\s>
<s>,kitty,<\s>
<s>,yyy,do
yyy,do,you
do,you,want
you,want,more
want,more,milk
more,milk,honey
milk,honey,<\s>
<s>,no,okay
no,okay,<\s>
<s>,oh,look
oh,look,lovey
look,lovey,<\s>
<s>,bird,<\s>
<s>,birdie,<\s>
<s>,kitty,kitty
kitty,kitty,doggie
kitty,doggie,<\s>
<s>,doggie,dog
doggie,dog,<\s>
<s>,doggie,<\s>
<s>,nom,what
nom,what,does
what,does,the
does,the,doggie
the,doggie,say
doggie,say,<\s>
<s>,what,does
what,does,the
does,the,doggie
the,doggie,say
doggie,say,<\s>
<s>,woof,woof
woof,woof,<\s>
<s>,woof,woof
woof,woof,<\s>
<s>,woof,woof
woof,woof,<\s>
<s>,woof,woof
woof,woof,<\s>
<s>,woof,say
woof,say,woof
say,woof,woof
woof,woof,<\s>
<s>,woof,woof
woof,woof,<\s>
<s>,doggie,<\s>
<s>,doggie,see
doggie,see,camel
see,camel,<\s>
<s>,camel,<\s>
<s>,little,baby
little,baby,birdie
baby,birdie,<\s>
<s>,baby,birdie
baby,birdie,<\s>
<s>,you,don't
you,don't,like
don't,like,that
like,that,one
that,one,<\s>
<s>,okay,<\s>
<s>,okay,<\s>
<s>,mommy,take
mommy,take,thi
take,thi,ou
thi,ou,<\s>
<s>,okay,mommy
okay,mommy,take
mommy,take,this
take,this,out
this,out,<\s>
<s>,cow,<\s>
<s>,the,cow
the,cow,says
cow,says,moo
says,moo,moo
moo,moo,<\s>
<s>,the,cow
the,cow,cow
cow,cow,<\s>
<s>,you,don't
you,don't,like
don't,like,that
like,that,one
that,one,either
one,either,<\s>
<s>,you,want
you,want,to
want,to,give
to,give,that
give,that,one
that,one,to
one,to,me
to,me,<\s>
<s>,okay,<\s>
<s>,i'll,take
i'll,take,him
take,him,<\s>
<s>,take,him
take,him,<\s>
<s>,big,cow
big,cow,<\s>
<s>,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,moo
moo,moo,<\s>
<s>,what,does
what,does,the
does,the,cow
the,cow,say
cow,say,nomi
say,nomi,<\s>
<s>,moo,<\s>
<s>,moo,moo
moo,moo,<\s>
<s>,what's,that
what's,that,nomi
that,nomi,<\s>
<s>,what's,that
what's,that,<\s>
<s>,kitty,<\s>
<s>,kitty,<\s>
<s>,meow,meow
meow,meow,meow
meow,meow,says
meow,says,that
says,that,kitty
that,kitty,<\s>
<s>,okay,are
okay,are,you
are,you,done
you,done,with
done,with,looking
with,looking,at
looking,at,the
at,the,pictures
the,pictures,<\s>
<s>,are,you
are,you,going
you,going,to
going,to,give
to,give,them
give,them,to
them,to,me
to,me,<\s>
<s>,okay,you
okay,you,can
you,can,give
can,give,them
give,them,to
them,to,me
to,me,<\s>
<s>,i'll,show
i'll,show,them
show,them,to
them,to,you
to,you,another
you,another,time
another,time,<\s>
<s>,okay,<\s>
<s>,take,away
take,away,all
away,all,the
all,the,horsies
the,horsies,and
horsies,and,all
and,all,the
all,the,kitties
the,kitties,<\s>
<s>,and,all
and,all,the
all,the,birdies
the,birdies,<\s>
<s>,okay,<\s>
<s>,she's,got
she's,got,her
got,her,feet
her,feet,on
feet,on,the
on,the,table
the,table,<\s>
<s>,she's,got
she's,got,her
got,her,feet
her,feet,<\s>
<s>,come,on
come,on,don't
on,don't,put
don't,put,the
put,the,popsicle
the,popsicle,on
popsicle,on,your
on,your,foot
your,foot,sweetie
foot,sweetie,<\s>
<s>,yuck,<\s>
<s>,do,you
do,you,want
you,want,to
want,to,give
to,give,mommy
give,mommy,the
mommy,the,popsicle
the,popsicle,<\s>
<s>,um,<\s>
<s>,are,you
are,you,finished
you,finished,with
finished,with,it
with,it,<\s>
<s>,popsicle,<\s>
<s>,no,<\s>
<s>,no,<\s>
<s>,doggie,doggie
doggie,doggie,<\s>
<s>,doggie,<\s>
<s>,no,i
no,i,don't
i,don't,think
don't,think,you
think,you,want
you,want,any
want,any,apple
any,apple,juice
apple,juice,now
juice,now,<\s>
<s>,i,don't
i,don't,think
don't,think,so
think,so,<\s>
<s>,i,think
i,think,you
think,you,had
you,had,better
had,better,finish
better,finish,your
finish,your,popsicle
your,popsicle,<\s>
<s>,no,<\s>
<s>,yes,yes
yes,yes,yes
yes,yes,yes
yes,yes,yes
yes,yes,<\s>
<s>,nomi,what
nomi,what,does
what,does,a
does,a,kitty
a,kitty,say
kitty,say,<\s>
<s>,kitty,<\s>
<s>,what,does
what,does,a
does,a,kitty
a,kitty,say
kitty,say,<\s>
<s>,kitty,says
kitty,says,meow
says,meow,<\s>
<s>,meow,meow
meow,meow,meow
meow,meow,<\s>
<s>,hi,<\s>
<s>,hi,<\s>
<s>,hi,<\s>
<s>,dripping,isn't
dripping,isn't,it
isn't,it,<\s>
<s>,dripping,<\s>
<s>,drip,drip
drip,drip,drip
drip,drip,<\s>
<s>,whoopsie,<\s>
<s>,it,fell
it,fell,right
fell,right,off
right,off,didn't
off,didn't,it
didn't,it,<\s>
<s>,it,fell
it,fell,right
fell,right,off
right,off,<\s>
<s>,don't,you
don't,you,put
you,put,that
put,that,on
that,on,my
on,my,hair
my,hair,you
hair,you,<\s>
<s>,no,don't
no,don't,you
don't,you,put
you,put,that
put,that,on
that,on,my
on,my,hair
my,hair,<\s>
<s>,yeah,<\s>
<s>,you,finish
you,finish,it
finish,it,up
it,up,<\s>
<s>,oh,all_gone
oh,all_gone,<\s>
<s>,all_gone,<\s>
<s>,all_gone,<\s>
<s>,all_gone,<\s>
<s>,wash,your
wash,your,hands
your,hands,off
hands,off,<\s>
<s>,sticky,<\s>
<s>,come,here
come,here,and
here,and,look
and,look,at
look,at,the
at,the,book
the,book,with
book,with,mommy
with,mommy,<\s>
<s>,come,look
come,look,at
look,at,the
at,the,picture
the,picture,of
picture,of,the
of,the,horse
the,horse,<\s>
<s>,what's,that
what's,that,honey
that,honey,<\s>
<s>,what's,that
what's,that,<\s>
<s>,hm,what's
hm,what's,that
what's,that,<\s>
<s>,remember,<\s>
<s>,who,<\s>
<s>,remember,<\s>
<s>,hunm,horsie
hunm,horsie,horsie
horsie,horsie,<\s>
<s>,that's,horsie
that's,horsie,<\s>
<s>,and,what
and,what,does
what,does,the
does,the,horsie
the,horsie,say
horsie,say,<\s>
<s>,do,you
do,you,remember
you,remember,what
remember,what,the
what,the,horsie
the,horsie,says
horsie,says,<\s>
<s>,no,horsie
no,horsie,says
horsie,says,eheeheeheehee
says,eheeheeheehee,<\s>
<s>,try,it
try,it,honey
it,honey,heeheeheeheeheehee
honey,heeheeheeheeheehee,<\s>
<s>,yes,that
yes,that,is
that,is,what
is,what,the
what,the,horsie
the,horsie,says
horsie,says,<\s>
<s>,neheeheeheeheehee,<\s>
<s>,and,what
and,what,is
what,is,this
is,this,a
this,a,piggie
a,piggie,<\s>
<s>,piggie,right
piggie,right,<\s>
<s>,what's,a
what's,a,piggie
a,piggie,say
piggie,say,<\s>
<s>,what,does
what,does,the
does,the,piggie
the,piggie,say
piggie,say,<\s>
<s>,piggie,says
piggie,says,oink
says,oink,oink
oink,oink,<\s>
<s>,yes,and
yes,and,these
and,these,are
these,are,chickies
are,chickies,<\s>
<s>,and,what
and,what,does
what,does,a
does,a,chickie
a,chickie,say
chickie,say,<\s>
<s>,what,does
what,does,the
does,the,chickie
the,chickie,say
chickie,say,sweetie
say,sweetie,<\s>
<s>,no,the
no,the,chickie
the,chickie,says
chickie,says,peep
says,peep,peep
peep,peep,peep
peep,peep,<\s>
<s>,right,<\s>
<s>,peep,peep
peep,peep,<\s>
<s>,that's,what
that's,what,the
what,the,piggie
the,piggie,says
piggie,says,oink
says,oink,oink
oink,oink,yeah
oink,yeah,<\s>
<s>,these,are
these,are,flowers
are,flowers,<\s>
<s>,flowers,smell
flowers,smell,the
smell,the,flowers
the,flowers,<\s>
<s>,oh,do
oh,do,they
do,they,smell
they,smell,nice
smell,nice,<\s>
<s>,do,they
do,they,smell
they,smell,pretty
smell,pretty,<\s>
<s>,here's,the
here's,the,horsie
the,horsie,<\s>
<s>,oink,oink
oink,oink,here's
oink,here's,a
here's,a,hat
a,hat,<\s>
<s>,hat,yes
hat,yes,<\s>
<s>,a,cow
a,cow,<\s>
<s>,ahhah,and
ahhah,and,a
and,a,cow
a,cow,says
cow,says,<\s>
<s>,that's,right
that's,right,moo
right,moo,<\s>
<s>,look,what
look,what,is
what,is,here
is,here,sweetie
here,sweetie,<\s>
<s>,a,house
a,house,<\s>
<s>,is,that
is,that,a
that,a,house
a,house,<\s>
<s>,that's,a
that's,a,house
a,house,<\s>
<s>,the,donkey
the,donkey,is
donkey,is,dancing
is,dancing,dancing
dancing,dancing,dancing
dancing,dancing,<\s>
<s>,see,the
see,the,baby
the,baby,<\s>
<s>,ahhah,baby
ahhah,baby,and
baby,and,there's
and,there's,a
there's,a,mommy
a,mommy,<\s>
<s>,mhm,mommy
mhm,mommy,and
mommy,and,a
and,a,daddy
a,daddy,<\s>
<s>,mhm,boy
mhm,boy,<\s>
<s>,mhm,and
mhm,and,girl
and,girl,<\s>
<s>,good,<\s>
<s>,girl,yes
girl,yes,<\s>
<s>,there's,a
there's,a,doggie
a,doggie,<\s>
<s>,what,does
what,does,the
does,the,doggie
the,doggie,say
doggie,say,<\s>
<s>,woof,woof
woof,woof,<\s>
<s>,yes,and
yes,and,here
and,here,is
here,is,a
is,a,kitty
a,kitty,<\s>
<s>,yes,yes
yes,yes,good
yes,good,girl
good,girl,<\s>
<s>,okay,sweetie
okay,sweetie,let's
sweetie,let's,look
let's,look,at
look,at,the
at,the,book
the,book,some
book,some,more
some,more,<\s>
<s>,do,you
do,you,want
you,want,to
want,to,look
to,look,at
look,at,the
at,the,book
the,book,some
book,some,more
some,more,<\s>
<s>,yes,good
yes,good,<\s>
<s>,what,is
what,is,it
is,it,<\s>
<s>,is,the
is,the,horsie
the,horsie,being
horsie,being,careful
being,careful,<\s>
<s>,careful,<\s>
<s>,down,<\s>
<s>,up,down
up,down,<\s>
<s>,up,down
up,down,<\s>
<s>,up,down
up,down,your
down,your,dancing
your,dancing,<\s>
<s>,are,you
are,you,dancing
you,dancing,nomi
dancing,nomi,<\s>
<s>,dancing,<\s>
<s>,want,to
want,to,give
to,give,mommy
