0,1
<s>,me
me,me
me,yyy
moo,me
me,me
me,me
me,<\s>
dey,they
they,done
dey,they
they,done
dey,they
they,<\s>
<s>,me
me,down
<s>,i
i,yyy
<s>,he
he,dat
there,you
you,boogie
<s>,he
he,a
<s>,you
you,<\s>
book,it
it,<\s>
<s>,me
me,down
<s>,me
me,down
lie,me
me,down
<s>,me
me,down
dey,they
they,<\s>
peek,it
it,<\s>
yyy,me
me,up
<s>,i
i,get
<s>,i
i,get
<s>,i
i,get
<s>,it
it,off
<s>,i
i,found
want,it
it,off
fix,it
it,<\s>
<s>,i
i,get
<s>,i
i,get
<s>,i
i,get
<s>,i
i,get
see,you
you,later
take,it
it,<\s>
take,it
it,<\s>
take,it
it,<\s>
take,it
it,<\s>
take,it
it,<\s>
zip,it
it,<\s>
op,it
it,<\s>
<s>,i
i,want
need,it
it,jacket
like,it
it,<\s>
like,it
it,<\s>
<s>,i
i,wan
<s>,i
i,can't
<s>,i
i,get
<s>,i
i,get
op,it
it,<\s>
get,it
it,<\s>
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
<s>,i
i,get
get,it
it,<\s>
get,it
it,<\s>
<s>,i
i,see
see,it
it,<\s>
<s>,i
i,see
see,it
it,<\s>
<s>,i
i,see
see,it
it,<\s>
<s>,i
i,see
see,it
it,<\s>
<s>,i
i,see
like,it
it,<\s>
<s>,i
i,need
need,it
it,<\s>
<s>,i
i,need
need,it
it,<\s>
<s>,i
i,need
need,it
it,<\s>
<s>,i
i,need
need,it
it,<\s>
<s>,i
i,need
need,it
it,<\s>
<s>,i
i,did
did,it
it,<\s>
get,it
it,<\s>
take,it
it,mouth
take,it
it,mouth
<s>,you
you,did
did,it
it,<\s>
<s>,i
i,want
want,it
it,<\s>
<s>,i
i,xxx
<s>,i
i,drop
drop,it
it,<\s>
