0,1,2
<s>,me,me
me,me,yyy
me,yyy,<\s>
moo,moo,me
moo,me,me
me,me,me
me,me,<\s>
dey,dey,they
dey,they,done
they,done,<\s>
<s>,dey,they
dey,they,done
they,done,<\s>
<s>,dey,they
dey,they,<\s>
<s>,me,down
me,down,up
<s>,i,yyy
i,yyy,<\s>
<s>,he,dat
he,dat,that
<s>,there,you
there,you,boogie
you,boogie,<\s>
<s>,he,a
he,a,pottie
<s>,you,<\s>
<s>,book,it
book,it,<\s>
<s>,me,down
me,down,<\s>
<s>,me,down
me,down,<\s>
<s>,lie,me
lie,me,down
me,down,<\s>
<s>,me,down
me,down,<\s>
<s>,dey,they
dey,they,<\s>
<s>,peek,it
peek,it,<\s>
<s>,yyy,me
yyy,me,up
me,up,<\s>
<s>,i,get
i,get,off
<s>,i,get
i,get,off
<s>,i,get
i,get,off
<s>,it,off
it,off,<\s>
<s>,i,found
i,found,the
<s>,want,it
want,it,off
it,off,<\s>
<s>,fix,it
fix,it,<\s>
<s>,i,get
i,get,<\s>
<s>,i,get
i,get,<\s>
<s>,i,get
i,get,<\s>
<s>,i,get
i,get,<\s>
<s>,see,you
see,you,later
you,later,<\s>
<s>,take,it
take,it,<\s>
<s>,take,it
take,it,<\s>
<s>,take,it
take,it,<\s>
<s>,take,it
take,it,<\s>
<s>,take,it
take,it,<\s>
<s>,zip,it
zip,it,<\s>
<s>,op,it
op,it,<\s>
<s>,i,want
i,want,shop
<s>,need,it
need,it,jacket
it,jacket,<\s>
<s>,like,it
like,it,<\s>
<s>,like,it
like,it,<\s>
<s>,i,wan
i,wan,ba
<s>,i,can't
i,can't,<\s>
<s>,i,get
i,get,down
<s>,i,get
i,get,down
<s>,op,it
op,it,<\s>
<s>,get,it
get,it,<\s>
<s>,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,i,get
i,get,it
i,get,it
get,it,<\s>
<s>,get,it
get,it,<\s>
<s>,i,see
i,see,it
i,see,it
see,it,<\s>
<s>,i,see
i,see,it
i,see,it
see,it,<\s>
<s>,i,see
i,see,it
i,see,it
see,it,<\s>
<s>,i,see
i,see,it
i,see,it
see,it,<\s>
<s>,i,see
i,see,birdie
<s>,like,it
like,it,<\s>
<s>,i,need
i,need,it
i,need,it
need,it,<\s>
<s>,i,need
i,need,it
i,need,it
need,it,<\s>
<s>,i,need
i,need,it
i,need,it
need,it,<\s>
<s>,i,need
i,need,it
i,need,it
need,it,<\s>
<s>,i,need
i,need,it
i,need,it
need,it,<\s>
<s>,i,did
i,did,it
i,did,it
did,it,<\s>
<s>,get,it
get,it,<\s>
<s>,take,it
take,it,mouth
it,mouth,<\s>
<s>,take,it
take,it,mouth
it,mouth,<\s>
<s>,you,did
you,did,it
you,did,it
did,it,<\s>
<s>,i,want
i,want,it
i,want,it
want,it,<\s>
<s>,i,xxx
i,xxx,<\s>
<s>,i,drop
i,drop,it
i,drop,it
drop,it,<\s>
<s>,i,drop
i,drop,it
i,drop,it
drop,it,xxx
it,xxx,<\s>
<s>,i,like
i,like,it
i,like,it
like,it,<\s>
<s>,like,it
like,it,<\s>
<s>,i,want
i,want,juice
<s>,want,it
want,it,<\s>
<s>,i,want
i,want,it
i,want,it
want,it,<\s>
<s>,i,want
i,want,it
i,want,it
want,it,<\s>
<s>,i,want
i,want,it
i,want,it
want,it,<\s>
<s>,i,want
i,want,it
i,want,it
want,it,<\s>
<s>,i,want
i,want,it
i,want,it
want,it,<\s>
<s>,i,want
i,want,it
i,want,it
want,it,<\s>
<s>,where,me
where,me,toast
me,toast,<\s>
<s>,where,me
where,me,toast
me,toast,<\s>
<s>,i,like
i,like,it
i,like,it
like,it,<\s>
<s>,like,it
like,it,<\s>
<s>,i,feel
i,feel,better
<s>,there,it
there,it,is
it,is,there
is,there,it
there,it,is
it,is,there
is,there,it
there,it,is
it,is,<\s>
<s>,leave,it
leave,it,<\s>
<s>,leave,it
leave,it,<\s>
<s>,leave,it
leave,it,<\s>
<s>,i,need
i,need,cook
<s>,i,need
i,need,it
i,need,it
need,it,<\s>
<s>,i,need
i,need,it
i,need,it
need,it,<\s>
<s>,leave,it
leave,it,<\s>
<s>,leave,it
leave,it,<\s>
<s>,leave,it
leave,it,<\s>
<s>,leave,it
leave,it,<\s>
<s>,leave,it
leave,it,alone
it,alone,<\s>
