0,1,2
<s>,rabbit,<\s>
<s>,yeah,<\s>
<s>,one,rabbit
one,rabbit,<\s>
<s>,hop,<\s>
<s>,cars,<\s>
<s>,peel,<\s>
<s>,banana,<\s>
<s>,hop,<\s>
<s>,hopping,<\s>
<s>,what's,that
what's,that,<\s>
<s>,a,stick
a,stick,<\s>
<s>,oh,that
oh,that,<\s>
<s>,look,at
look,at,rabbit
at,rabbit,<\s>
<s>,what's,that
what's,that,<\s>
<s>,big,<\s>
<s>,big,crocodile
big,crocodile,<\s>
<s>,rabbit,<\s>
<s>,little,rabbit
little,rabbit,<\s>
<s>,on,the
on,the,bicycle
the,bicycle,<\s>
<s>,yeah,<\s>
<s>,fall,down
fall,down,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,go,<\s>
<s>,teddy,bear
teddy,bear,<\s>
<s>,little,bear
little,bear,<\s>
<s>,big,bear
big,bear,<\s>
<s>,rabbit,<\s>
<s>,going,on
going,on,the
on,the,bicycle
the,bicycle,<\s>
<s>,oh,kitty
oh,kitty,cat
kitty,cat,<\s>
<s>,warm,<\s>
<s>,warm,kitty
warm,kitty,<\s>
<s>,eyes,<\s>
<s>,eyes,<\s>
<s>,nina,eyes
nina,eyes,<\s>
<s>,mommy,eyes
mommy,eyes,<\s>
<s>,eyes,<\s>
<s>,nose,<\s>
<s>,xxx,<\s>
<s>,fish,<\s>
<s>,fish,<\s>
<s>,fish,<\s>
<s>,fish,<\s>
<s>,here,<\s>
<s>,black,<\s>
<s>,rabbit,<\s>
<s>,rabbit,in
rabbit,in,a
in,a,boat
a,boat,<\s>
<s>,little,<\s>
<s>,little,kitty
little,kitty,cat
kitty,cat,<\s>
<s>,black,eyes
black,eyes,<\s>
<s>,white,<\s>
<s>,black,<\s>
<s>,little,feet
little,feet,<\s>
<s>,that's,feet
that's,feet,fish
feet,fish,<\s>
<s>,that's,feet
that's,feet,fish
feet,fish,<\s>
<s>,swim,<\s>
<s>,hop,<\s>
<s>,xxx,<\s>
<s>,mouse,<\s>
<s>,red,fish
red,fish,<\s>
<s>,red,<\s>
<s>,red,mouth
red,mouth,<\s>
<s>,oh,horsie
oh,horsie,<\s>
<s>,blap,blap
blap,blap,blap
blap,blap,<\s>
<s>,giddy,giddy
giddy,giddy,up
giddy,up,<\s>
<s>,doggy,doggy
doggy,doggy,<\s>
<s>,where,the
where,the,doggy
the,doggy,<\s>
<s>,doggy,on
doggy,on,the
on,the,ball
the,ball,<\s>
<s>,giraffe,<\s>
<s>,giraffe,<\s>
<s>,giraffe,<\s>
<s>,yeah,<\s>
<s>,rabbit,<\s>
<s>,more,rabbit
more,rabbit,<\s>
<s>,up,on
up,on,the
on,the,xxx
the,xxx,<\s>
<s>,ears,rabbit
ears,rabbit,<\s>
<s>,this,rabbit
this,rabbit,<\s>
<s>,kitty,<\s>
<s>,kitty,cat
kitty,cat,<\s>
<s>,big,bird
big,bird,<\s>
<s>,fly,<\s>
<s>,fly,<\s>
<s>,eyes,<\s>
<s>,eyes,<\s>
<s>,kitty,<\s>
<s>,big,kitty
big,kitty,cat
kitty,cat,<\s>
<s>,meow,<\s>
<s>,meow,meow
meow,meow,<\s>
<s>,meow,<\s>
<s>,pat,it
pat,it,<\s>
<s>,rabbit,<\s>
<s>,more,<\s>
<s>,more,rabbits
more,rabbits,<\s>
<s>,xxx,<\s>
<s>,oh,mousie
oh,mousie,<\s>
<s>,mousie,<\s>
<s>,hop,<\s>
<s>,xxx,<\s>
<s>,eating,xxx
eating,xxx,<\s>
<s>,a,bird
a,bird,<\s>
<s>,black,<\s>
<s>,red,ball
red,ball,<\s>
<s>,yeah,<\s>
<s>,climbing,leaf
climbing,leaf,<\s>
<s>,yeah,<\s>
<s>,little,bug
little,bug,<\s>
<s>,big,bug
big,bug,<\s>
<s>,big,mousie
big,mousie,<\s>
<s>,big,tiny
big,tiny,mousie
tiny,mousie,<\s>
<s>,tiny,tiny
tiny,tiny,big
tiny,big,kangaroo
big,kangaroo,<\s>
<s>,here,<\s>
<s>,rabbit,<\s>
<s>,yeah,<\s>
<s>,hi,baby
hi,baby,kangaroo
baby,kangaroo,<\s>
<s>,hi,baby
hi,baby,kangaroo
baby,kangaroo,<\s>
<s>,little,rabbit
little,rabbit,<\s>
<s>,little,rabbit
little,rabbit,<\s>
<s>,here,<\s>
<s>,big,kangaroo
big,kangaroo,<\s>
<s>,hop,<\s>
<s>,that,rabbit
that,rabbit,hops
rabbit,hops,<\s>
<s>,biting,<\s>
<s>,biting,<\s>
<s>,yeah,<\s>
<s>,more,<\s>
<s>,no,more
no,more,<\s>
<s>,no,more
no,more,<\s>
<s>,more,rabbits
more,rabbits,<\s>
<s>,hop,<\s>
<s>,oh,oh
oh,oh,teddy
oh,teddy,bear
teddy,bear,<\s>
<s>,panda,<\s>
<s>,yeah,<\s>
<s>,here,<\s>
<s>,big,feet
big,feet,<\s>
<s>,eyes,<\s>
<s>,eyes,<\s>
<s>,eyes,<\s>
<s>,big,bird
big,bird,<\s>
<s>,tiny,bird
tiny,bird,<\s>
<s>,tiny,rabbit
tiny,rabbit,<\s>
<s>,guitar,<\s>
<s>,xxx,<\s>
<s>,tiny,guitar
tiny,guitar,<\s>
<s>,guitar,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,yeah,<\s>
<s>,up,down
up,down,<\s>
<s>,up,down
up,down,<\s>
<s>,feet,feet
feet,feet,<\s>
<s>,red,feet
red,feet,<\s>
<s>,red,feet
red,feet,<\s>
<s>,leg,<\s>
<s>,leg,leg
leg,leg,bird
leg,bird,<\s>
<s>,leg,bird
leg,bird,<\s>
<s>,fly,<\s>
<s>,yeah,<\s>
<s>,on,leaf
on,leaf,<\s>
<s>,more,<\s>
<s>,more,<\s>
<s>,hop,<\s>
<s>,yeah,yeah
yeah,yeah,hop
yeah,hop,<\s>
<s>,hop,<\s>
<s>,this,lie
this,lie,down
lie,down,<\s>
<s>,this,lie
this,lie,down
lie,down,<\s>
<s>,this,hops
this,hops,<\s>
<s>,this,hops
this,hops,<\s>
<s>,rabbit,hops
rabbit,hops,down
hops,down,<\s>
<s>,this,hops
this,hops,down
hops,down,<\s>
<s>,here,<\s>
<s>,rabbit,hop
rabbit,hop,down
hop,down,<\s>
<s>,rabbit,hop
rabbit,hop,down
hop,down,<\s>
<s>,here,<\s>
<s>,he,hops
he,hops,<\s>
<s>,drinking,<\s>
<s>,read,<\s>
<s>,read,<\s>
<s>,read,<\s>
<s>,read,to
read,to,bunny
to,bunny,<\s>
<s>,read,to
read,to,bunny
to,bunny,<\s>
<s>,yeah,<\s>
<s>,fish,<\s>
<s>,fish,<\s>
<s>,turtle,<\s>
<s>,big,mouse
big,mouse,big
mouse,big,mouse
big,mouse,<\s>
<s>,seal,<\s>
<s>,big,black
big,black,seal
black,seal,<\s>
<s>,that's,a
that's,a,rabbit
a,rabbit,<\s>
<s>,rabbit,<\s>
<s>,big,rabbit
big,rabbit,<\s>
<s>,big,rabbit
big,rabbit,<\s>
<s>,honey,rabbit
honey,rabbit,<\s>
<s>,honey,rabbit
honey,rabbit,<\s>
<s>,honey,rabbit
honey,rabbit,<\s>
<s>,more,more
more,more,rabbit
more,rabbit,<\s>
<s>,more,rabbit
more,rabbit,<\s>
<s>,moo,<\s>
<s>,cow,<\s>
<s>,moo,<\s>
<s>,zebra,<\s>
<s>,zebra,<\s>
<s>,rabbit,<\s>
<s>,stick,<\s>
<s>,rabbit,<\s>
<s>,hopping,<\s>
<s>,open,that
open,that,<\s>
<s>,look,rabbit
look,rabbit,<\s>
<s>,mommy,rabbit
mommy,rabbit,big
rabbit,big,<\s>
<s>,tiny,rabbit
tiny,rabbit,<\s>
<s>,more,<\s>
<s>,open,<\s>
<s>,more,book
more,book,<\s>
<s>,more,book
more,book,<\s>
<s>,more,book
more,book,<\s>
<s>,more,book
more,book,<\s>
<s>,more,book
more,book,<\s>
<s>,more,books
more,books,<\s>
