0,1,2
what,do,you
do,you,see
you,see,in
<s>,is,he
is,he,hopping
he,hopping,<\s>
what,is,he
is,he,playing
he,playing,with
cars,isn't,he
isn't,he,<\s>
banana,that,you
that,you,were
you,were,eating
stick,isn't,he
isn't,he,<\s>
rabbit,isn't,it
isn't,it,<\s>
<s>,it,sure
it,sure,is
<s>,you,think
you,think,so
<s>,is,it
is,it,a
it,a,big
<s>,he,has
he,has,black
color,is,he
is,he,<\s>
<s>,is,he
is,he,black
he,black,or
<s>,isn't,he
isn't,he,<\s>
<s>,can,you
can,you,say
you,say,<\s>
eating,isn't,he
isn't,he,<\s>
a,bug,i
bug,i,think
i,think,<\s>
flower,isn't,he
isn't,he,<\s>
hops,doesn't,he
doesn't,he,<\s>
what,is,he
is,he,doing
he,doing,<\s>
<s>,do,you
do,you,like
you,like,the
<s>,does,he
does,he,have
he,have,big
music,doesn't,it
doesn't,it,<\s>
<s>,do,you
do,you,like
you,like,to
what,can,you
can,you,sing
you,sing,<\s>
what,can,you
can,you,sing
you,sing,<\s>
<s>,i,don't
i,don't,understand
down,isn't,he
isn't,he,<\s>
<s>,he,hops
he,hops,down
<s>,he,hops
he,hops,up
why,don't,you
don't,you,bring
you,bring,bunny
<s>,won't,you
won't,you,read
you,read,to
<s>,are,you
are,you,going
you,going,to
<s>,he,looks
he,looks,like
mouse,but,he
but,he,is
he,is,a
nice,rabbit,you
rabbit,you,mean
you,mean,<\s>
look,at,it
at,it,some
it,some,more
okay,do,you
do,you,want
you,want,to
<s>,do,you
do,you,see
you,see,more
<s>,do,you
do,you,want
you,want,to
rabbit,in,it
in,it,<\s>
<s>,do,you
do,you,like
you,like,to
<s>,do,you
do,you,like
you,like,to
when,do,you
do,you,eat
you,eat,eggs
when,do,you
do,you,eat
you,eat,eggs
<s>,do,you
do,you,eat
you,eat,eggs
<s>,do,you
do,you,eat
you,eat,eggs
<s>,do,you
do,you,want
you,want,to
what,is,he
is,he,doing
he,doing,<\s>
moon,isn't,he
isn't,he,<\s>
<s>,no,you
no,you,can't
you,can't,open
<s>,you,have_to
you,have_to,just
<s>,no,i
no,i,think
i,think,that
block,isn't,he
isn't,he,<\s>
he's,painting,it
painting,it,red
it,red,<\s>
what,are,they
are,they,<\s>
what,are,they
are,they,called
they,called,<\s>
<s>,are,they
are,they,<\s>
what,are,they
are,they,called
they,called,<\s>
what,are,they
are,they,called
they,called,<\s>
<s>,can,you
can,you,say
you,say,teeth
<s>,you,eat
you,eat,<\s>
do,eat,you
eat,you,with
you,with,<\s>
<s>,you,chew
you,chew,<\s>
<s>,do,you
do,you,like
you,like,kitty
<s>,you,like
you,like,kitty
<s>,you,like
you,like,him
you,like,him
like,him,<\s>
<s>,is,he
is,he,cute
he,cute,<\s>
what,are,you
are,you,doing
you,doing,<\s>
<s>,are,you
are,you,patting
you,patting,the
<s>,do,you
do,you,want
you,want,to
<s>,do,you
do,you,want
you,want,your
<s>,shall,we
shall,we,find
we,find,some
<s>,no,you
no,you,can't
you,can't,open
<s>,i,see
i,see,<\s>
<s>,if,you
if,you,do
you,do,that
<s>,are,you
are,you,going
you,going,to
what,do,you
do,you,want
you,want,to
<s>,is,it
is,it,hard
it,hard,to
<s>,you,try
you,try,it
you,try,it
try,it,<\s>
<s>,can,you
can,you,say
you,say,<\s>
<s>,i,don't
i,don't,see
<s>,can,you
can,you,show
you,show,me
you,show,me
show,me,where
me,where,there
<s>,she,has
she,has,a
<s>,i,don't
i,don't,see
<s>,can,you
can,you,put
you,put,the
<s>,he,hurts
he,hurts,too
nice,animals,you
animals,you,have
you,have,<\s>
<s>,can,you
can,you,tell
you,tell,me
you,tell,me
tell,me,<\s>
<s>,is,it
is,it,hard
it,hard,to
<s>,that's,it
that's,it,<\s>
<s>,it,fit
it,fit,didn't
fit,didn't,it
didn't,it,<\s>
see,if,you
if,you,can
you,can,fit
<s>,can,you
can,you,fit
you,fit,the
that's,right,you
right,you,fit
you,fit,the
<s>,did,he
did,he,fall
he,fall,down
<s>,he,fell
he,fell,down
poor,pig,he
pig,he,fell
he,fell,down
<s>,shall,we
shall,we,dress
we,dress,up
what,shall,we
shall,we,dress
we,dress,up
<s>,shall,we
shall,we,dress
we,dress,up
what,are,we
are,we,doing
we,doing,<\s>
<s>,is,she
is,she,fixing
she,fixing,up
what,shall,we
shall,we,put
we,put,on
<s>,is,it
is,it,a
it,a,nice
<s>,do,you
do,you,like
you,like,dolly's
<s>,can,you
can,you,give
you,give,dolly
what,are,you
are,you,doing
you,doing,<\s>
what,are,you
are,you,doing
you,doing,<\s>
what,are,you
are,you,doing
you,doing,<\s>
<s>,would,you
would,you,like
you,like,some
what,are,you
are,you,doing
you,doing,<\s>
<s>,are,you
are,you,eating
you,eating,a
<s>,is,it
is,it,a
it,a,good
oh,shall,we
shall,we,make
we,make,dolly
<s>,you,make
you,make,dolly
<s>,do,you
do,you,like
you,like,to
happened,to,you
to,you,pants
you,pants,<\s>
<s>,did,they
did,they,fall
they,fall,down
<s>,did,they
did,they,fall
they,fall,down
