0,1,2
<s>,pat,it
pat,it,<\s>
<s>,he,hops
he,hops,<\s>
<s>,read,it
read,it,<\s>
room,have,it
have,it,oh
it,oh,wee
<s>,have,it
have,it,place
it,place,<\s>
<s>,he,fall
he,fall,down
<s>,take,it
take,it,off
it,off,<\s>
<s>,it,hard
it,hard,<\s>
<s>,make,it
make,it,mommy
it,mommy,<\s>
<s>,make,it
make,it,<\s>
<s>,get,it
get,it,<\s>
<s>,on,it
on,it,<\s>
<s>,take,it
take,it,<\s>
<s>,get,it
get,it,<\s>
<s>,get,it
get,it,mommy
it,mommy,<\s>
<s>,get,it
get,it,<\s>
how,are,you
are,you,<\s>
<s>,get,it
get,it,<\s>
<s>,pat,it
pat,it,mommy
it,mommy,<\s>
<s>,pat,it
pat,it,my
it,my,mommy
<s>,you,go
you,go,get
<s>,get,him
get,him,<\s>
<s>,get,him
get,him,<\s>
<s>,get,him
get,him,<\s>
<s>,take,him
take,him,<\s>
<s>,you,make
you,make,duck
<s>,fix,it
fix,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,close,it
close,it,<\s>
<s>,close,it
close,it,<\s>
<s>,close,it
close,it,<\s>
my,close,it
close,it,<\s>
<s>,draw,it
draw,it,<\s>
<s>,i,want
i,want,see
want,see,it
see,it,<\s>
my,see,it
see,it,<\s>
<s>,her,holding
her,holding,a
<s>,i,look
i,look,ducks
<s>,get,it
get,it,<\s>
step,on,him
on,him,<\s>
<s>,step,him
step,him,<\s>
<s>,get,it
get,it,<\s>
<s>,no,he
no,he,bite
he,bite,my
<s>,eating,it
eating,it,<\s>
<s>,i,have
i,have,it
i,have,it
have,it,<\s>
<s>,i,have
i,have,it
i,have,it
have,it,<\s>
<s>,you,like
you,like,this
<s>,take,it
take,it,<\s>
<s>,read,it
read,it,<\s>
xxx,top,it
top,it,top
it,top,it
top,it,train
it,train,<\s>
<s>,push,him
push,him,<\s>
<s>,push,him
push,him,<\s>
noise,isn't,it
isn't,it,<\s>
my,get,it
get,it,<\s>
<s>,do,it
do,it,mommy
it,mommy,<\s>
<s>,get,it
get,it,<\s>
<s>,get,it
get,it,<\s>
<s>,eat,it
eat,it,<\s>
<s>,feed,him
feed,him,<\s>
<s>,feed,him
feed,him,<\s>
<s>,eat,it
eat,it,dolly
it,dolly,<\s>
<s>,me,<\s>
<s>,read,it
read,it,<\s>
my,eat,it
eat,it,<\s>
yeah,taste,it
taste,it,<\s>
<s>,taste,it
taste,it,mommy
it,mommy,<\s>
<s>,taste,it
taste,it,mommy
it,mommy,<\s>
<s>,feed,it
feed,it,<\s>
lady,rub,it
rub,it,<\s>
lady,rub,it
rub,it,<\s>
<s>,rub,it
rub,it,<\s>
<s>,place,it
place,it,backy
it,backy,back
<s>,kiss,him
kiss,him,<\s>
<s>,kiss,him
kiss,him,<\s>
<s>,him,<\s>
where,did,you
did,you,put
you,put,it
you,put,it
put,it,<\s>
my,need,her
need,her,<\s>
my,need,her
need,her,<\s>
my,need,her
need,her,<\s>
my,need,her
need,her,<\s>
my,need,her
need,her,<\s>
my,need,her
need,her,<\s>
my,need,her
need,her,<\s>
<s>,are,they
are,they,sleeping
they,sleeping,on
<s>,swing,it
swing,it,<\s>
my,take,it
take,it,<\s>
becca,take,it
take,it,<\s>
my,have,it
have,it,<\s>
<s>,take,it
take,it,nina
it,nina,away
<s>,take,it
take,it,<\s>
<s>,take,it
take,it,<\s>
<s>,put,it
put,it,in
it,in,<\s>
<s>,they,need
they,need,to
my,get,it
get,it,<\s>
my,get,it
get,it,<\s>
<s>,i,fall
i,fall,on
<s>,need,it
need,it,<\s>
my,need,it
need,it,<\s>
my,need,it
need,it,<\s>
my,have,it
have,it,<\s>
rachel,take,it
take,it,off
it,off,<\s>
becca,fix,it
fix,it,my
it,my,puzzle
rachel,take,it
take,it,<\s>
becca,take,it
take,it,<\s>
my,want,it
want,it,<\s>
<s>,shall,we
shall,we,fix
we,fix,the
my,have,it
have,it,<\s>
my,hold,it
hold,it,<\s>
<s>,i,turn
i,turn,door
my,take,it
take,it,<\s>
my,take,it
take,it,<\s>
my,xxx,it
xxx,it,<\s>
my,have,it
have,it,<\s>
linda,take,it
take,it,off
