0,1
<s>,he
he,wants
<s>,i
i,think
can,i
i,have
<s>,i
i,hafta
don't,they
they,<\s>
<s>,he
he,talks
does,she
she,have
is,she
she,gone
should,we
we,wipe
oh,i
i,see
<s>,i
i,don't
shall,i
i,wash
<s>,i
i,think
think,she
she,wants
can,we
we,fix
can,we
we,fix
when,they
they,come
up,he
he,needs
what,they
they,are
yes,they
they,are
and,he
he,says
there,we
we,don't
<s>,i
i,just
no,i
i,think
<s>,they
they,probably
xxx,we
we,drove
that,he
he,really
mouth,i
i,give
<s>,i
i,mean
when,they
they,come
<s>,i
i,think
no,he
he,busy
busy,he
he,has
<s>,i
i,don't
<s>,he
he,getting
lunch,i
i,mean
yeah,i
i,see
did,we
we,<\s>
well,they
they,brought
well,i
i,don't
and,they
they,really
oh,i
i,see
<s>,we
we,were
but,i
i,don't
<s>,i
i,thought
thought,he
he,said
night,i
i,was
<s>,he
he,said
sure,she
she,doesn't
that,i
i,know
know,i
i,don't
<s>,they
they,usually
group,they
they,always
whichever,he
he,wants
finished,i
i,finished
shall,we
we,take
what,she
she,plays
when,i
i,feed
her,she
her,she
she,won't
pete,i
i,just
<s>,i
i,don't
night,i
i,thought
since,they
they,were
well,they
they,have
where,they
they,live
peter,i
i,don't
idea,i
i,don't
pete,we
we,have
should,i
i,bring
should,i
i,bring
should,i
i,bring
should,i
i,bring
shall,i
i,bring
<s>,i
i,don't
<s>,i
i,see
if,we
we,were
peter,i
i,don't
so,we
we,won't
oh,i
i,see
<s>,i
i,put
shall,i
i,throw
shall,i
i,wait
hope,they
they,have
<s>,i
i,don't
are,they
they,<\s>
see,i
i,know
is,she
she,a
<s>,he
he,didn't
but,i
i,don't
<s>,he
he,forgot
shall,i
i,bring
no,i
i,didn't
well,i
i,will
no,she
she,doesn't
<s>,i
i,think
think,she
she,hasta
bend,she
she,can't
is,she
she,gonna
that,i
i,don't
here,we
we,go
here,we
we,go
afternoon,we
we,can
<s>,i
i,think
ride,she
she,doesn't
because,i
i,took
oh,i
i,think
<s>,i
i,don't
xxx,he
he,took
<s>,i
i,wouldn't
<s>,i
i,didn't
<s>,i
i,don't
think,she
she,does
honey,i
i,don't
think,she
she,wants
<s>,i
i,don't
honey,she
she,doesn't
when,i
i,put
am,i
i,in
if,i
i,move
<s>,i
i,don't
<s>,i
i,think
no,i
i,put
but,he
he,just
should,i
i,do
are,we
we,making
if,we
we,can
<s>,i
i,don't
mhm,he
he,loaned
<s>,i
i,live
<s>,i
i,don't
<s>,she
she,lives
<s>,he
he,took
<s>,he
he,ate
why's,he
he,crying
why's,he
he,crying
oh,i
i,thought
<s>,i
i,think
think,he
he,said
do,they
they,belong
<s>,i
i,said
<s>,i
i,asked
back,i
i,don't
how,they
they,go
<s>,i
i,haven't
do,they
they,go
do,they
they,go
can,i
i,try
do,they
they,go
<s>,i
i,won't
where're,they
they,gonna
when,they
they,go
where,we
we,usually
<s>,i
i,don't
door,i
i,just
when,she
she,comes
comes,she
she,can
<s>,i
i,think
<s>,he
he,went
oh,he
he,doesn't
when,we
we,went
and,i
i,gave
yeah,he
he,kept
are,they
they,over
were,they
they,eating
juice,they
they,wouldn't
so,we
we,can
<s>,i
i,don't
<s>,i
i,think
<s>,i
i,didn't
<s>,i
i,didn't
loi,they
they,probably
did,i
i,wash
<s>,he
he,didn't
where,i
i,found
where'd,i
i,find
peter,i
i,don't
then,they
they,can't
did,she
she,break
<s>,i
i,don't
think,she
she,broke
shall,we
we,do
dear,we
we,sadly
where,they
they,are
sh,i
i,put
<s>,i
i,thought
<s>,i
i,can't
<s>,i
i,see
<s>,i
i,see
<s>,i
i,think
<s>,we
we,don't
<s>,we
we,don't
shall,we
we,write
if,he
he,lies
can't,she
she,play
can't,she
she,play
here,we
we,go
<s>,i
i,think
think,they
they,need
than,they
they,need
there,we
we,go
there,we
we,go
what,i
i,said
was,he
he,trying
what're,we
we,gonna
group,they
they,pretend
fine,he
he,hasn't
no,i
i,meant
things,we
we,don't
where'd,they
they,come
how,she
she,did
<s>,she
she,caught
what,i
i,sposta
can,i
i,cry
shall,i
i,make
what,they
they,want
should,i
i,take
shall,i
i,put
quiet,we
we,don't
<s>,he
he,usually
<s>,i
i,know
<s>,she
she,stands
<s>,i
i,think
think,she
she,learned
<s>,we
we,can't
<s>,she
she,needs
<s>,i
i,don't
can,i
i,give
oh,i
i,see
<s>,i
i,see
are,they
they,<\s>
do,they
they,belong
do,they
they,belong
<s>,i
i,said
oh,i
i,see
oh,i
i,was
after,we
we,got
back,he
he,kept
did,he
he,put
remember,he
he,stuck
<s>,i
i,don't
<s>,i
i,wasn't
are,they
they,in
<s>,they
they,share
don't,they
they,<\s>
yesterday,i
i,told
him,we
him,we
we,were
and,he
he,said
and,i
i,said
and,i
i,said
and,he
he,said
aimee,she
she,just
<s>,i
i,think
mhm,we
we,hadta
<s>,i
i,don't
<s>,i
i,don't
<s>,i
i,see
maybe,we
we,should
think,we
we,should
well,he
he,has
is,she
she,doing
did,she
she,say
<s>,we
we,don't
<s>,i
i,gave
<s>,i
i,want
<s>,he
he,found
remember,we
we,took
what,i
i,kept
and,he
he,wouldn't
<s>,i
i,told
and,we
we,call
because,he
he,looks
when,we
we,went
when,we
we,went
and,he
he,had
and,he
he,got
<s>,i
i,don't
can,i
i,talk
yes,we
we,miss
<s>,she
she,wants
<s>,i
i,don't
and,i
i,put
well,i
i,don't
<s>,we
we,don't
there,we
we,go
second,i
i,wan
when,i
i,asked
shall,we
we,practice
did,we
we,pete
before,they
they,come
come,we
we,find
but,i
i,use
can,i
i,please
well,i
i,didn't
think,i
i,was
if,i
i,need
it,i
it,i
