0,1
let,ACC
ACC,wash
to,ACC
ACC,and
in,ACC
ACC,hand
let,ACC
ACC,wash
let,ACC
ACC,wash
want,ACC
ACC,to
want,ACC
ACC,to
wants,ACC
ACC,cup
leave,ACC
them,there
leave,ACC
them,in
help,ACC
ACC,put
zip,ACC
ACC,up
let,ACC
ACC,put
want,ACC
ACC,to
want,ACC
ACC,to
call,ACC
ACC,<\s>
call,ACC
ACC,sometimes
help,ACC
ACC,<\s>
help,ACC
them,put
take,ACC
them,out_of
take,ACC
them,out
put,ACC
them,in
take,ACC
them,out_of
see,ACC
ACC,<\s>
show,ACC
them,your
tell,ACC
ACC,what
of,ACC
them,and
want,ACC
ACC,to
on,ACC
ACC,<\s>
want,ACC
ACC,to
got,ACC
ACC,saying
to,ACC
ACC,<\s>
telling,ACC
ACC,not
giving,ACC
ACC,more
want,ACC
ACC,to
feed,ACC
ACC,she
ACC,she
to,ACC
ACC,<\s>
want,ACC
ACC,to
take,ACC
them,this
take,ACC
them,they're
take,ACC
them,home
with,ACC
them,honey
take,ACC
them,where
help,ACC
them,put
to,ACC
them,<\s>
tell,ACC
ACC,something
want,ACC
ACC,to
want,ACC
ACC,to
want,ACC
ACC,to
want,ACC
ACC,to
keep,ACC
them,here
want,ACC
ACC,to
want,ACC
ACC,to
that's,ACC
ACC,lunch
to,ACC
them,<\s>
give,ACC
ACC,the
give,ACC
ACC,the
to,ACC
ACC,<\s>
want,ACC
ACC,to
want,ACC
ACC,to
of,ACC
ACC,had
let,ACC
ACC,see
of,ACC
them,<\s>
want,ACC
ACC,to
watch,ACC
ACC,okay
put,ACC
ACC,right
watch,ACC
ACC,okay
makes,ACC
ACC,happy
bothering,ACC
ACC,<\s>
want,ACC
ACC,to
at,ACC
ACC,so
bend,ACC
ACC,<\s>
promise,ACC
ACC,you
ACC,you
took,ACC
ACC,off
<s>,ACC
ACC,<\s>
touching,ACC
ACC,<\s>
put,ACC
ACC,there
want,ACC
ACC,to
want,ACC
ACC,to
put,ACC
ACC,on
put,ACC
ACC,in
want,ACC
ACC,to
want,ACC
ACC,to
excuse,ACC
ACC,<\s>
in,ACC
ACC,hand
got,ACC
ACC,saying
put,ACC
them,back
put,ACC
them,back
for,ACC
ACC,<\s>
of,ACC
them,okay
give,ACC
them,to
to,ACC
ACC,<\s>
put,ACC
them,together
touch,ACC
them,<\s>
with,ACC
them,tomorrow
want,ACC
ACC,to
want,ACC
ACC,to
gave,ACC
ACC,a
grabbing,ACC
ACC,cookie
to,ACC
ACC,<\s>
for,ACC
ACC,<\s>
with,ACC
ACC,<\s>
break,ACC
them,<\s>
want,ACC
ACC,to
want,ACC
ACC,to
to,ACC
ACC,<\s>
want,ACC
ACC,to
got,ACC
ACC,all
got,ACC
ACC,<\s>
want,ACC
ACC,to
ask,ACC
them,what
ask,ACC
them,xxx
pass,ACC
ACC,your
<s>,ACC
ACC,not
from,ACC
ACC,brother
wan,ACC
them,<\s>
help,ACC
them,<\s>
for,ACC
ACC,hair
show,ACC
ACC,you're
to,ACC
ACC,<\s>
bring,ACC
them,back
tell,ACC
ACC,<\s>
who,ACC
ACC,<\s>
calling,ACC
ACC,nana
tell,ACC
them,about
share,ACC
them,with
told,ACC
ACC,we
ACC,we
make,ACC
ACC,cry
to,ACC
ACC,like
call,ACC
ACC,<\s>
take,ACC
them,out
ask,ACC
ACC,what
like,ACC
ACC,to
get,ACC
ACC,to
from,ACC
ACC,and
to,ACC
ACC,<\s>
with,ACC
ACC,notes
help,ACC
them,put
bring,ACC
them,back
with,ACC
them,<\s>
besides,ACC
ACC,<\s>
for,ACC
them,<\s>
for,ACC
them,<\s>
put,ACC
them,on
let,ACC
ACC,use
let,ACC
ACC,see
of,ACC
them,<\s>
want,ACC
ACC,to
want,ACC
ACC,to
by,ACC
ACC,and
lay,ACC
ACC,down
at,ACC
ACC,skirt
help,ACC
them,clean
help,ACC
them,clean
to,ACC
them,<\s>
to,ACC
them,we've
to,ACC
them,first
tell,ACC
them,all
that's,ACC
ACC,favorite
let,ACC
ACC,see
reminded,ACC
ACC,now
tell,ACC
ACC,when
keep,ACC
ACC,out
give,ACC
them,their
want,ACC
them,to
see,ACC
them,tomorrow
to,ACC
them,<\s>
tell,ACC
them,<\s>
want,ACC
ACC,to
make,ACC
ACC,late
<s>,ACC
ACC,eyes
show,ACC
ACC,<\s>
scare,ACC
ACC,peter
want,ACC
ACC,to
want,ACC
ACC,to
tie,ACC
them,together
around,ACC
ACC,isn't
see,ACC
them,<\s>
see,ACC
them,and
teach,ACC
ACC,not
gi,ACC
ACC,a
leave,ACC
ACC,<\s>
have,ACC
ACC,visit
stick,ACC
ACC,in
putting,ACC
them,in
around,ACC
ACC,face
see,ACC
ACC,just
check,ACC
ACC,<\s>
with,ACC
them,didn't
found,ACC
them,<\s>
take,ACC
ACC,out
at,ACC
ACC,<\s>
measured,ACC
ACC,for
for,ACC
ACC,age
for,ACC
ACC,age
show,ACC
them,your
show,ACC
them,the
not,ACC
ACC,huh
tell,ACC
them,about
with,ACC
them,sweetie
take,ACC
them,down
let,ACC
them,take
