0,1,2
<s>,open,it
open,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,saw,she
saw,she,saw
she,saw,<\s>
fix,fix,it
fix,it,fix
it,fix,it
fix,it,oh
it,oh,fix
oh,fix,it
fix,it,<\s>
xxx,fix,it
fix,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,pour,it
pour,it,pour
it,pour,it
pour,it,pour
it,pour,it
pour,it,pour
it,pour,it
pour,it,<\s>
<s>,turn,it
turn,it,<\s>
<s>,turn,it
turn,it,over
it,over,<\s>
<s>,there,it
there,it,is
it,is,<\s>
<s>,there,it
there,it,is
it,is,there
is,there,it
there,it,is
it,is,mm
xxx,do,it
do,it,do
it,do,it
do,it,do
it,do,it
do,it,do
it,do,it
do,it,<\s>
<s>,fix,it
fix,it,yyy
it,yyy,<\s>
<s>,you,<\s>
xxx,pull,it
pull,it,pull
it,pull,it
pull,it,<\s>
<s>,pull,it
pull,it,<\s>
<s>,turn,it
turn,it,xxx
it,xxx,<\s>
<s>,have,it
have,it,<\s>
xxx,turn,it
turn,it,turn
it,turn,it
turn,it,turn
it,turn,it
turn,it,<\s>
put,on,it
on,it,xxx
it,xxx,xxx
<s>,did,it
did,it,<\s>
<s>,did,it
did,it,did
it,did,it
did,it,<\s>
<s>,see,it
see,it,see
it,see,it
see,it,see
it,see,it
see,it,<\s>
xxx,see,it
see,it,<\s>
xxx,see,it
see,it,see
it,see,it
see,it,open
it,open,<\s>
<s>,see,it
see,it,<\s>
sleeping,see,it
see,it,open
it,open,<\s>
<s>,see,it
see,it,open
it,open,<\s>
<s>,see,it
see,it,<\s>
<s>,close,it
close,it,<\s>
<s>,pull,it
pull,it,<\s>
<s>,fix,it
fix,it,fix
it,fix,it
fix,it,fix
it,fix,it
fix,it,<\s>
xxx,on,it
on,it,xxx
it,xxx,on
xxx,on,it
on,it,xxx
it,xxx,<\s>
<s>,throw,it
throw,it,<\s>
<s>,kick,it
kick,it,<\s>
xxx,get,it
get,it,<\s>
<s>,close,it
close,it,<\s>
xxx,turn,it
turn,it,<\s>
<s>,push,it
push,it,<\s>
open,see,it
see,it,<\s>
<s>,see,it
see,it,<\s>
<s>,see,it
see,it,<\s>
light,see,it
see,it,<\s>
<s>,p,i
p,i,xxx
i,xxx,xxx
<s>,him,<\s>
<s>,pull,it
pull,it,xxx
it,xxx,<\s>
<s>,pull,it
pull,it,<\s>
<s>,pull,it
pull,it,pull
it,pull,it
pull,it,<\s>
<s>,pull,it
pull,it,pull
it,pull,it
pull,it,<\s>
xxx,open,it
open,it,open
it,open,my
<s>,see,it
see,it,fire
it,fire,truck
yyy,on,it
on,it,pont
it,pont,<\s>
comin,see,it
see,it,see
it,see,it
see,it,<\s>
<s>,on,it
on,it,<\s>
<s>,yyy,it
yyy,it,xxx
it,xxx,<\s>
<s>,it,<\s>
<s>,filling,it
filling,it,<\s>
<s>,on,it
on,it,<\s>
<s>,do,it
do,it,<\s>
do,with,it
with,it,<\s>
<s>,see,it
see,it,<\s>
<s>,turn,it
turn,it,<\s>
<s>,see,it
see,it,<\s>
<s>,i,do
i,do,it
i,do,it
do,it,<\s>
<s>,close,it
close,it,<\s>
<s>,oh,i
oh,i,do
i,do,it
i,do,it
do,it,<\s>
<s>,see,it
see,it,<\s>
<s>,here,it
here,it,is
it,is,<\s>
<s>,close,it
close,it,<\s>
<s>,close,it
close,it,<\s>
<s>,open,it
open,it,<\s>
<s>,close,it
close,it,<\s>
<s>,close,it
close,it,<\s>
<s>,see,it
see,it,<\s>
put,on,it
on,it,<\s>
put,on,it
on,it,<\s>
<s>,i,put
i,put,them
i,put,them
put,them,back
them,back,<\s>
<s>,find,it
find,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,fix,it
fix,it,<\s>
<s>,screw,it
screw,it,<\s>
<s>,screw,it
screw,it,screw
it,screw,it
screw,it,car
it,car,<\s>
xxx,screw,it
screw,it,open
it,open,open
a,screw,it
screw,it,uh
it,uh,screw
uh,screw,it
screw,it,oh
it,oh,gone
xxx,screw,it
screw,it,<\s>
<s>,close,it
close,it,<\s>
<s>,i,yyy
i,yyy,fix
yyy,fix,it
fix,it,<\s>
more,fix,it
fix,it,<\s>
a,put,it
put,it,put
