predictor,case
<s>,NOM
<s>,NOM
can,NOM
<s>,NOM
don't,NOM
<s>,NOM
does,NOM
is,NOM
should,NOM
oh,NOM
<s>,NOM
shall,NOM
<s>,NOM
think,NOM
can,NOM
can,NOM
when,NOM
up,NOM
what,NOM
yes,NOM
and,NOM
there,NOM
<s>,NOM
no,NOM
<s>,NOM
xxx,NOM
that,NOM
mouth,NOM
<s>,NOM
when,NOM
<s>,NOM
no,NOM
busy,NOM
<s>,NOM
<s>,NOM
lunch,NOM
yeah,NOM
did,NOM
well,NOM
well,NOM
and,NOM
oh,NOM
<s>,NOM
but,NOM
<s>,NOM
thought,NOM
night,NOM
<s>,NOM
sure,NOM
that,NOM
know,NOM
<s>,NOM
group,NOM
whichever,NOM
finished,NOM
shall,NOM
what,NOM
when,NOM
her,NOM
her,NOM
pete,NOM
<s>,NOM
night,NOM
since,NOM
well,NOM
where,NOM
peter,NOM
idea,NOM
pete,NOM
should,NOM
should,NOM
should,NOM
should,NOM
shall,NOM
<s>,NOM
<s>,NOM
if,NOM
peter,NOM
so,NOM
oh,NOM
<s>,NOM
shall,NOM
shall,NOM
hope,NOM
<s>,NOM
are,NOM
see,NOM
is,NOM
<s>,NOM
but,NOM
<s>,NOM
shall,NOM
no,NOM
well,NOM
no,NOM
<s>,NOM
think,NOM
bend,NOM
is,NOM
that,NOM
here,NOM
here,NOM
afternoon,NOM
<s>,NOM
ride,NOM
because,NOM
oh,NOM
<s>,NOM
xxx,NOM
<s>,NOM
<s>,NOM
<s>,NOM
think,NOM
honey,NOM
think,NOM
<s>,NOM
honey,NOM
when,NOM
am,NOM
if,NOM
<s>,NOM
<s>,NOM
no,NOM
but,NOM
should,NOM
are,NOM
if,NOM
<s>,NOM
mhm,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
why's,NOM
why's,NOM
oh,NOM
<s>,NOM
think,NOM
do,NOM
<s>,NOM
<s>,NOM
back,NOM
how,NOM
<s>,NOM
do,NOM
do,NOM
can,NOM
do,NOM
<s>,NOM
where're,NOM
when,NOM
where,NOM
<s>,NOM
door,NOM
when,NOM
comes,NOM
<s>,NOM
<s>,NOM
oh,NOM
when,NOM
and,NOM
yeah,NOM
are,NOM
were,NOM
juice,NOM
so,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
loi,NOM
did,NOM
<s>,NOM
where,NOM
where'd,NOM
peter,NOM
then,NOM
did,NOM
<s>,NOM
think,NOM
shall,NOM
dear,NOM
where,NOM
sh,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
shall,NOM
if,NOM
can't,NOM
can't,NOM
here,NOM
<s>,NOM
think,NOM
than,NOM
there,NOM
there,NOM
what,NOM
was,NOM
what're,NOM
group,NOM
fine,NOM
no,NOM
things,NOM
where'd,NOM
how,NOM
<s>,NOM
what,NOM
can,NOM
shall,NOM
what,NOM
should,NOM
shall,NOM
quiet,NOM
<s>,NOM
<s>,NOM
<s>,NOM
<s>,NOM
think,NOM
<s>,NOM
<s>,NOM
<s>,NOM
can,NOM
oh,NOM
<s>,NOM
are,NOM
do,NOM
do,NOM
<s>,NOM
oh,NOM
