0,1,2
<s>,hm,<\s>
<s>,kaka,car_car
kaka,car_car,<\s>
<s>,xxx,<\s>
<s>,truck,<\s>
<s>,yyy,<\s>
<s>,xxx,aka
xxx,aka,<\s>
<s>,aka,<\s>
<s>,xxx,aka
xxx,aka,xxx
aka,xxx,<\s>
<s>,xxx,aka
xxx,aka,xxx
aka,xxx,turn
xxx,turn,<\s>
<s>,turn,<\s>
<s>,hm,<\s>
<s>,xxx,<\s>
<s>,turtle,<\s>
<s>,turtle,<\s>
<s>,xxx,<\s>
<s>,hello,tv
hello,tv,<\s>
<s>,uh,<\s>
<s>,hello,<\s>
<s>,tape,recorder
tape,recorder,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,hm,hm
hm,hm,<\s>
<s>,xxx,<\s>
<s>,hm,<\s>
<s>,boom,<\s>
<s>,hm,<\s>
<s>,xxx,yyy
xxx,yyy,yyy
yyy,yyy,<\s>
<s>,xxx,<\s>
<s>,xxx,xxx
xxx,xxx,<\s>
<s>,hm,<\s>
<s>,yyy,<\s>
<s>,lamb,xxx
lamb,xxx,<\s>
<s>,train,<\s>
<s>,choo_choo,train
choo_choo,train,train
train,train,xxx
train,xxx,train
xxx,train,xxx
train,xxx,train
xxx,train,xxx
train,xxx,<\s>
<s>,yyy,<\s>
<s>,zoom,<\s>
<s>,zoom,xxx
zoom,xxx,kaka
xxx,kaka,car_car
kaka,car_car,beep
car_car,beep,beep
beep,beep,beep
beep,beep,mama
beep,mama,<\s>
<s>,mama,beep
mama,beep,beep
beep,beep,beep
beep,beep,<\s>
<s>,xxx,xxx
xxx,xxx,brrmm
xxx,brrmm,beep
brrmm,beep,brrmm
beep,brrmm,<\s>
<s>,hm,<\s>
<s>,hm,<\s>
<s>,xxx,<\s>
<s>,seesaw,xxx
seesaw,xxx,xxx
xxx,xxx,<\s>
<s>,xxx,<\s>
<s>,bus,<\s>
<s>,car,<\s>
<s>,train,<\s>
<s>,aka,aka
aka,aka,<\s>
<s>,seesaw,see
seesaw,see,seesaw
see,seesaw,seesaw
seesaw,seesaw,<\s>
<s>,chair,<\s>
<s>,tv,<\s>
<s>,tv,tv
tv,tv,tv
tv,tv,xxx
tv,xxx,<\s>
<s>,xxx,xxx
xxx,xxx,<\s>
<s>,tape,recorder
tape,recorder,<\s>
<s>,xxx,open
xxx,open,open
open,open,open
open,open,<\s>
<s>,open,it
open,it,<\s>
<s>,tape,recorder
tape,recorder,<\s>
<s>,hm,hm
hm,hm,<\s>
<s>,suitcase,suitcase
suitcase,suitcase,suitcase
suitcase,suitcase,<\s>
<s>,xxx,<\s>
<s>,toys,<\s>
<s>,seesaw,<\s>
<s>,seesaw,<\s>
<s>,seesaw,<\s>
<s>,xxx,<\s>
<s>,hm,<\s>
<s>,seesaw,seesaw
seesaw,seesaw,xxx
seesaw,xxx,<\s>
<s>,hm,<\s>
<s>,xxx,<\s>
<s>,go,<\s>
<s>,hm,hm
hm,hm,<\s>
<s>,xxx,<\s>
<s>,open,close
open,close,xxx
close,xxx,close
xxx,close,close
close,close,close
close,close,<\s>
<s>,close,<\s>
<s>,hm,<\s>
<s>,close,<\s>
<s>,hm,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,suitcase,<\s>
<s>,huh,<\s>
<s>,toys,<\s>
<s>,huh,<\s>
<s>,empty,<\s>
<s>,woo,woo
woo,woo,<\s>
<s>,bridge,<\s>
<s>,bridge,truck
bridge,truck,xxx
truck,xxx,<\s>
<s>,zoom,zoom
zoom,zoom,zoom
zoom,zoom,woo
zoom,woo,woo
woo,woo,brrmm
woo,brrmm,xxx
brrmm,xxx,brrmm
xxx,brrmm,<\s>
<s>,more,<\s>
<s>,more,<\s>
<s>,trains,<\s>
<s>,hm,<\s>
<s>,hm,<\s>
<s>,hm,<\s>
<s>,heavy,<\s>
<s>,crash,<\s>
<s>,zoom,zoom
zoom,zoom,woo
zoom,woo,woo
woo,woo,zoom
woo,zoom,zoom
zoom,zoom,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,hm,<\s>
<s>,seesaw,<\s>
<s>,seesaw,<\s>
<s>,xxx,xxx
xxx,xxx,xxx
xxx,xxx,<\s>
<s>,xxx,<\s>
<s>,blocks,blocks
blocks,blocks,<\s>
<s>,huh,<\s>
<s>,blocks,blocks
blocks,blocks,<\s>
<s>,house,<\s>
<s>,xxx,xxx
xxx,xxx,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
<s>,house,house
house,house,<\s>
<s>,hm,<\s>
<s>,house,<\s>
<s>,uh,<\s>
<s>,house,house
house,house,<\s>
<s>,xxx,<\s>
<s>,chimney,<\s>
<s>,more,<\s>
<s>,house,<\s>
<s>,xxx,<\s>
<s>,house,<\s>
<s>,tumble,<\s>
<s>,xxx,<\s>
<s>,broke,broke
broke,broke,<\s>
<s>,fix,<\s>
<s>,huh,<\s>
<s>,huh,<\s>
<s>,hm,bracelet
hm,bracelet,bracelet
bracelet,bracelet,<\s>
<s>,bracelet,bracelet
bracelet,bracelet,bracelet
bracelet,bracelet,bracelet
bracelet,bracelet,<\s>
<s>,fix,it
fix,it,<\s>
<s>,xxx,<\s>
<s>,pliers,<\s>
<s>,oops,<\s>
<s>,huh,<\s>
<s>,huh,<\s>
<s>,open,train
open,train,<\s>
<s>,yyy,train
yyy,train,<\s>
<s>,ah,<\s>
<s>,hm,<\s>
<s>,broke,broke
broke,broke,fix
broke,fix,<\s>
<s>,broken,<\s>
<s>,fix,it
fix,it,<\s>
<s>,huh,train
huh,train,<\s>
<s>,xxx,xxx
xxx,xxx,<\s>
<s>,yyy,saw
yyy,saw,<\s>
<s>,xxx,<\s>
<s>,aka,<\s>
<s>,zoom,zoom
zoom,zoom,brrmm
zoom,brrmm,<\s>
<s>,house,<\s>
<s>,xxx,house
xxx,house,house
house,house,<\s>
<s>,house,<\s>
<s>,xxx,<\s>
<s>,house,<\s>
<s>,xxx,tall
xxx,tall,house
tall,house,xxx
house,xxx,<\s>
<s>,xxx,<\s>
<s>,heavy,<\s>
<s>,xxx,<\s>
<s>,blocks,<\s>
<s>,house,<\s>
<s>,xxx,<\s>
<s>,up,up
up,up,<\s>
<s>,tape,recorder
tape,recorder,<\s>
<s>,tape,recorder
tape,recorder,<\s>
<s>,turn,<\s>
<s>,pretty,<\s>
<s>,pliers,<\s>
<s>,xxx,<\s>
<s>,button,<\s>
<s>,button,<\s>
<s>,hm,<\s>
<s>,xxx,<\s>
<s>,buttons,<\s>
<s>,hm,<\s>
<s>,mm,xxx
mm,xxx,<\s>
<s>,shoes,<\s>
<s>,huh,<\s>
<s>,hm,<\s>
<s>,hm,<\s>
<s>,xxx,<\s>
<s>,pliers,pliers
pliers,pliers,<\s>
<s>,hm,<\s>
<s>,hm,<\s>
<s>,ch_ch_ch,<\s>
<s>,xxx,<\s>
<s>,broken,<\s>
<s>,mama,<\s>
<s>,kitchen,<\s>
<s>,hm,<\s>
<s>,xxx,<\s>
<s>,xxx,<\s>
