0,1,2
<s>,stand,up
stand,up,peter
up,peter,<\s>
<s>,peter,<\s>
<s>,you,wan
you,wan,ta
wan,ta,get
ta,get,up
get,up,<\s>
<s>,well,i'm
well,i'm,sitting
i'm,sitting,here
sitting,here,<\s>
<s>,penny,<\s>
<s>,did,you
did,you,see
you,see,the
see,the,dog
the,dog,outside
dog,outside,<\s>
<s>,did,you
did,you,see
you,see,the
see,the,dog
the,dog,outside
dog,outside,<\s>
<s>,the,dog
the,dog,that
dog,that,was
that,was,barking
was,barking,<\s>
<s>,he,wants
he,wants,to
wants,to,get
to,get,down
get,down,<\s>
<s>,that's,a
that's,a,pen
a,pen,is
pen,is,that
is,that,a
that,a,pen
a,pen,you
pen,you,said
you,said,it
said,it,was
it,was,a
was,a,penny
a,penny,<\s>
<s>,i,think
i,think,it's
think,it's,a
it's,a,pen
a,pen,<\s>
<s>,pen,penny
pen,penny,are
penny,are,you
are,you,gonna
you,gonna,write
gonna,write,on
write,on,the
on,the,paper
the,paper,<\s>
<s>,go,out
go,out,in
out,in,the
in,the,living
the,living,room
living,room,and
room,and,write
and,write,on
write,on,the
on,the,paper
the,paper,<\s>
<s>,you,get
you,get,in
get,in,your
in,your,seat
your,seat,you
seat,you,get
you,get,in
get,in,your
in,your,seat
your,seat,you
seat,you,get
you,get,in
get,in,your
in,your,seat
your,seat,<\s>
<s>,sit,in
sit,in,your
in,your,seat
your,seat,sit
seat,sit,sit
sit,sit,sit
sit,sit,sit
sit,sit,<\s>
<s>,peter,you
peter,you,wanna
you,wanna,sit
wanna,sit,in
sit,in,the
in,the,other
the,other,room
other,room,<\s>
<s>,let's,go
let's,go,sit
go,sit,at
sit,at,the
at,the,table
the,table,okay
table,okay,<\s>
<s>,let's,go
let's,go,sit
go,sit,at
sit,at,the
at,the,table
the,table,<\s>
<s>,yeah,<\s>
<s>,table,yes
table,yes,<\s>
<s>,here's,some
here's,some,mashed
some,mashed,potatoes
mashed,potatoes,here's
potatoes,here's,your
here's,your,spoon
your,spoon,<\s>
<s>,is,it
is,it,hot
it,hot,<\s>
<s>,put,some
put,some,xxx
some,xxx,<\s>
<s>,it's,pretty
it's,pretty,hot
pretty,hot,<\s>
<s>,is,that
is,that,still
that,still,hot
still,hot,<\s>
<s>,you,want
you,want,some
want,some,more
some,more,hamburger
more,hamburger,<\s>
<s>,would,you
would,you,like
you,like,some
like,some,more
some,more,hamburger
more,hamburger,<\s>
<s>,you,xxx
you,xxx,<\s>
<s>,you,want
you,want,some
want,some,<\s>
<s>,are,you
are,you,finished
you,finished,<\s>
<s>,no,well
no,well,why
well,why,are
why,are,you
are,you,pushing
you,pushing,the
pushing,the,food
the,food,away
food,away,<\s>
<s>,nobody's,putting
nobody's,putting,their
putting,their,hands
their,hands,on
hands,on,arms
on,arms,on
arms,on,the
on,the,table
the,table,<\s>
<s>,you,gonna
you,gonna,eat
gonna,eat,some
eat,some,of
some,of,that
of,that,<\s>
<s>,you,can
you,can,finish
can,finish,that
finish,that,<\s>
<s>,greased,up
greased,up,<\s>
<s>,think,you
think,you,can
you,can,use
can,use,a
use,a,napkin
a,napkin,for
napkin,for,your
for,your,hands
your,hands,<\s>
<s>,hey,c
hey,c,on
c,on,<\s>
<s>,no,<\s>
<s>,you,finished
you,finished,<\s>
<s>,you,want
you,want,any
want,any,more
any,more,<\s>
<s>,why,don't
why,don't,you
don't,you,take
you,take,another
take,another,bite
another,bite,of
bite,of,that
of,that,<\s>
<s>,you,wanna
you,wanna,take
wanna,take,this
take,this,off
this,off,<\s>
<s>,okay,let
okay,let,me
let,me,wash
me,wash,<\s>
<s>,wipe,your
wipe,your,face
your,face,<\s>
<s>,you,hit
you,hit,your
hit,your,head
your,head,did
head,did,this
did,this,chair
this,chair,hit
chair,hit,you
hit,you,<\s>
<s>,how,finishing
how,finishing,your
finishing,your,milk
your,milk,<\s>
<s>,what's,the
what's,the,problem
the,problem,peter
problem,peter,<\s>
<s>,xxx,the
xxx,the,ball
the,ball,<\s>
<s>,do,you
do,you,have
you,have,some
have,some,money
some,money,peter
money,peter,<\s>
<s>,can,i
can,i,have
i,have,some
have,some,money
some,money,<\s>
<s>,i,hafta
i,hafta,put
hafta,put,the
put,the,wash
the,wash,in
wash,in,the
in,the,dryer
the,dryer,<\s>
<s>,no,<\s>
<s>,could,you
could,you,just
you,just,give
just,give,it
give,it,to
it,to,me
to,me,and
me,and,then
and,then,i'll
then,i'll,put
i'll,put,it
put,it,away
it,away,for
away,for,awhile
for,awhile,okay
awhile,okay,<\s>
<s>,awoh,<\s>
<s>,one,<\s>
<s>,your,shoe's
your,shoe's,coming
shoe's,coming,undone
coming,undone,<\s>
<s>,that's,a
that's,a,drill
a,drill,<\s>
<s>,drill,noise
drill,noise,<\s>
<s>,yeah,it's
yeah,it's,broken
it's,broken,isn't
broken,isn't,it
isn't,it,<\s>
<s>,you,gonna
you,gonna,read
gonna,read,the
read,the,book
the,book,you
book,you,gonna
you,gonna,read
gonna,read,the
read,the,book
the,book,<\s>
<s>,pat,the
pat,the,bunny
the,bunny,<\s>
<s>,yeah,<\s>
<s>,are,you
are,you,gonna
you,gonna,pat
gonna,pat,the
pat,the,bunny
the,bunny,<\s>
<s>,judy,and
judy,and,paul
and,paul,pat
paul,pat,the
pat,the,bunny
the,bunny,don't
bunny,don't,they
don't,they,<\s>
<s>,bye,yeah
bye,yeah,they're
yeah,they're,waving
they're,waving,bye
waving,bye,to
bye,to,you
to,you,that's
you,that's,right
that's,right,<\s>
<s>,what,are
what,are,those
are,those,<\s>
<s>,peek,you
peek,you,like
you,like,to
like,to,play
to,play,peekaboo
play,peekaboo,<\s>
<s>,byebye,what
byebye,what,about
what,about,the
about,the,what
the,what,about
what,about,the
about,the,mirror
the,mirror,<\s>
<s>,you,gonna
you,gonna,look
gonna,look,at
look,at,that
at,that,one
that,one,<\s>
<s>,find,that
find,that,page
that,page,<\s>
<s>,what's,that
what's,that,<\s>
<s>,face,right
face,right,<\s>
<s>,scratchy,face
scratchy,face,<\s>
<s>,ouch,<\s>
<s>,did,you
did,you,find
you,find,the
find,the,ring
the,ring,<\s>
<s>,where's,mommy's
where's,mommy's,ring
mommy's,ring,<\s>
<s>,can,you
can,you,stick
you,stick,your
stick,your,finger
your,finger,through
finger,through,there
through,there,<\s>
<s>,is,that
is,that,judy's
that,judy's,little
judy's,little,book
little,book,<\s>
<s>,yeah,<\s>
<s>,doesn't,taste
doesn't,taste,very
taste,very,good
very,good,does
good,does,it
does,it,<\s>
<s>,what's,the
what's,the,matter
the,matter,<\s>
<s>,that's,a
that's,a,much
a,much,better
much,better,idea
better,idea,xxx
idea,xxx,<\s>
<s>,he,talks
he,talks,to
talks,to,himself
to,himself,<\s>
<s>,what,are
what,are,you
are,you,looking
you,looking,at
looking,at,<\s>
<s>,at,<\s>
<s>,what's,that
what's,that,peter
that,peter,<\s>
<s>,what,does
what,does,she
does,she,have
she,have,in
have,in,her
in,her,hand
her,hand,<\s>
<s>,frisbee,<\s>
<s>,no,more
no,more,pennies
more,pennies,you
pennies,you,don't
you,don't,have
don't,have,any
have,any,in
any,in,your
in,your,pocket
your,pocket,all_gone
pocket,all_gone,<\s>
<s>,where's,the
where's,the,lady
the,lady,<\s>
<s>,is,she
is,she,gone
she,gone,<\s>
<s>,what,happened
what,happened,to
happened,to,the
to,the,lady
the,lady,<\s>
<s>,are,you
are,you,playing
you,playing,with
playing,with,my
with,my,feet
my,feet,<\s>
<s>,seat,<\s>
<s>,get,out
get,out,<\s>
<s>,down,<\s>
<s>,down,<\s>
<s>,should,we
should,we,wipe
we,wipe,your
wipe,your,mouth
your,mouth,first
mouth,first,<\s>
<s>,not,your
not,your,tongue
your,tongue,your
tongue,your,mouth
your,mouth,you
mouth,you,gonna
you,gonna,stick
gonna,stick,out
stick,out,your
out,your,tongue
your,tongue,<\s>
<s>,wash,this
wash,this,out
this,out,<\s>
<s>,what,<\s>
<s>,there's,no
there's,no,more
no,more,milk
more,milk,<\s>
<s>,why,don't
why,don't,you
don't,you,let
you,let,me
let,me,wash
me,wash,out
wash,out,the
out,the,cup
the,cup,do
cup,do,you
do,you,wanna
you,wanna,wash
wanna,wash,out
wash,out,the
out,the,cup
the,cup,<\s>
<s>,cup,wash
cup,wash,out
wash,out,the
out,the,cup
the,cup,<\s>
<s>,here,let
here,let,me
let,me,wash
me,wash,out
wash,out,the
out,the,cup
the,cup,<\s>
<s>,there,is
there,is,no
is,no,more
no,more,want
more,want,some
want,some,juice
some,juice,<\s>
<s>,milk,is
milk,is,yyy
is,yyy,<\s>
<s>,do,you
do,you,want
you,want,some
want,some,juice
some,juice,now
juice,now,<\s>
<s>,xxx,<\s>
<s>,yeah,<\s>
<s>,what,<\s>
<s>,what,<\s>
<s>,you,finished
you,finished,<\s>
<s>,you,want
you,want,more
want,more,<\s>
<s>,don't,spill
don't,spill,it
spill,it,you
it,you,want
you,want,more
want,more,<\s>
<s>,put,your
put,your,cup
your,cup,down
cup,down,do
down,do,you
do,you,want
you,want,more
want,more,<\s>
<s>,do,you
do,you,want
you,want,more
want,more,<\s>
<s>,put,your
put,your,cup
your,cup,down
cup,down,<\s>
<s>,i'm,not
i'm,not,gonna
