age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
29	10	10	4.669014504014504	1412	194	139	1	261	258	84	0.26819876208260796	80	16	34	13	5	0	0	18	0	0	7	21	776	83	34	0	117	113	42	35	19	5	183	29	0.09844192634560907	0.007194244604316547	0.1848441926345609	0.18271954674220964	0.2988505747126437	0.059490084985835696	0.04381443298969072	0.15077319587628865	0.14561855670103094	0.05412371134020619
30	126	126	5.100852306404332	4377	526	310	3	774	748	203	0.26970967677052576	191	44	139	20	4	0	0	35	1	5	10	77	1887	247	91	0	271	232	104	161	87	31	408	30	0.07082476582133881	0.00967741935483871	0.1768334475668266	0.17089330591729496	0.4728682170542636	0.046378798263650906	0.04822469528351881	0.14361420243773185	0.12294647588765235	0.05511393746687864
31	140	140	5.97554813266774	5149	698	496	3	814	641	191	0.20003045453817192	316	37	111	7	29	0	3	73	4	11	16	91	3150	444	190	0	458	361	164	136	68	7	535	31	0.09632938434647505	0.006048387096774193	0.15808894931054573	0.12449019227034376	0.34275184275184273	0.03709458147213051	0.06031746031746032	0.14539682539682539	0.11460317460317461	0.05206349206349206
32	159	159	6.500380048155315	4847	672	480	3	701	586	180	0.20905008799362354	326	46	107	11	14	1	5	23	0	17	37	85	2778	403	135	0	394	317	153	136	63	10	429	32	0.09903032803796162	0.00625	0.14462554157210647	0.12089952547967815	0.3880171184022825	0.03713637301423561	0.04859611231101512	0.1418286537077034	0.11411087113030957	0.0550755939524838
33	268	268	7.241253681623233	6205	943	646	2	1041	804	258	0.20692885208019673	484	60	183	9	12	2	7	31	0	21	20	114	3028	435	141	0	440	401	133	231	92	20	606	33	0.10410958904109589	0.0030959752321981426	0.167767929089444	0.12957292506043513	0.41786743515850144	0.041579371474617245	0.046565389696169086	0.1453104359313078	0.13243064729194187	0.04392338177014531
34	425	425	6.881998578092033	8504	1333	898	5	1401	1095	430	0.1988447539603481	648	68	257	13	5	2	11	100	4	28	19	178	4351	599	224	0	614	553	250	289	106	24	876	34	0.10559736594543744	0.005567928730512249	0.16474600188146754	0.1287629350893697	0.3747323340471092	0.05056444026340546	0.05148241783498046	0.14111698460124109	0.127097219030108	0.05745805561939784
35	412	412	6.373542157017775	8770	1299	822	2	1543	1081	480	0.18817995939454996	532	87	292	38	16	1	7	71	2	42	26	185	7447	1019	422	0	1018	922	429	355	158	36	836	35	0.09372862029646523	0.0024330900243309003	0.1759407069555302	0.12326111744583808	0.458198314970836	0.05473204104903079	0.05666711427420438	0.13669934201691958	0.12380824493084464	0.05760709010339734
36	290	290	7.085261859167517	4521	595	366	6	782	524	233	0.21090998853078782	252	36	115	22	6	0	13	12	1	12	12	114	2096	317	126	0	327	222	94	151	101	30	399	36	0.0809555408095554	0.01639344262295082	0.1729705817297058	0.1159035611590356	0.489769820971867	0.051537270515372706	0.060114503816793896	0.15601145038167938	0.10591603053435114	0.04484732824427481
37	516	516	8.247019158006028	7946	1024	630	11	1264	909	417	0.21407691195758777	366	73	207	15	6	1	21	88	4	44	12	187	2039	252	117	0	276	262	113	372	106	32	648	37	0.07928517493078278	0.01746031746031746	0.15907374779763403	0.11439718097155802	0.4873417721518987	0.052479234835137174	0.057381069151544874	0.13536047081902894	0.12849435998038253	0.055419323197645906
38	580	580	8.35305795913322	7931	1028	601	3	1288	824	359	0.19204240153352112	391	53	213	15	8	1	9	99	4	16	5	214	3090	442	177	0	473	346	152	296	116	47	713	38	0.07577859034169714	0.004991680532445923	0.1624007060900265	0.1038961038961039	0.44642857142857145	0.04526541419745303	0.05728155339805825	0.15307443365695794	0.11197411003236246	0.04919093851132686
