age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
30	0	0	4.724845995893224	2241	382	254	1	348	282	137	0.13262752646775747	134	5	33	28	7	15	3	49	0	12	1	95	926	118	48	0	132	122	58	99	33	10	206	30	0.11334225792057118	0.003937007874015748	0.15528781793842034	0.12583668005354753	0.40804597701149425	0.06113342257920571	0.05183585313174946	0.14254859611231102	0.13174946004319654	0.06263498920086392
31	3	3	6.026424859339432	3312	427	298	1	518	434	186	0.15422447201328943	185	15	36	21	13	2	1	27	3	26	5	93	0	0	0	0	0	0	0	173	114	20	211	31	0.08997584541062802	0.003355704697986577	0.15640096618357488	0.13103864734299517	0.5926640926640927	0.05615942028985507				
32	12	12	5.196358030135259	3218	436	344	2	529	442	159	0.18646229577928286	214	27	27	46	13	9	12	6	0	14	3	65	12	2	1	0	3	1	0	156	132	29	212	32	0.10689869484151647	0.005813953488372093	0.16438781852082038	0.13735239279055314	0.5992438563327032	0.049409571162212555	0.08333333333333333	0.25	0.08333333333333333	0.0
33	6	6	7.235807860262009	1513	206	151	0	250	208	65	0.17375886524822695	81	6	29	22	2	6	16	7	1	7	3	26	0	0	0	0	0	0	0	49	61	4	136	33	0.09980171844018507	0.0	0.16523463317911435	0.13747521480502314	0.456	0.04296100462656973				
34	15	15	6.7788290410385255	2521	332	207	2	340	381	104	0.17674813291313235	143	21	73	14	1	3	0	17	0	7	1	52	0	0	0	0	0	0	0	72	48	13	207	34	0.08211027370091234	0.00966183574879227	0.13486711622372075	0.1511305037683459	0.3911764705882353	0.041253470844902815				
35	19	19	6.379829518014103	2455	307	208	2	336	327	142	0.1810217461563322	154	17	70	9	6	2	4	7	1	7	1	29	0	0	0	0	0	0	0	77	31	4	224	35	0.08472505091649694	0.009615384615384616	0.13686354378818738	0.13319755600814664	0.3333333333333333	0.05784114052953157				
36	23	23	6.379341264981193	2753	379	254	0	385	451	164	0.1640240839620407	121	21	58	38	7	11	9	23	2	17	5	67	0	0	0	0	0	0	0	158	57	9	161	36	0.09226298583363603	0.0	0.13984743915728295	0.16382128586996003	0.5818181818181818	0.05957137667998547				
37	27	27	6.83916650922602	3440	465	311	2	484	414	167	0.16245924268090411	199	28	54	15	5	23	7	21	1	11	1	100	79	12	4	0	9	5	1	130	85	33	236	37	0.09040697674418605	0.006430868167202572	0.14069767441860465	0.12034883720930233	0.512396694214876	0.04854651162790698	0.05063291139240506	0.11392405063291139	0.06329113924050633	0.012658227848101266
38	15	15	6.2926829268292686	1299	156	101	1	146	209	40	0.16729259132809832	63	11	24	5	5	2	0	9	0	5	1	31	0	0	0	0	0	0	0	41	15	7	83	38	0.07775211701308699	0.009900990099009901	0.11239414934565051	0.1608929946112394	0.4315068493150685	0.030792917628945343				
39	33	33	7.454568697198756	3200	408	239	1	433	430	135	0.16842371399212747	146	22	89	18	6	9	13	19	0	2	4	80	0	0	0	0	0	0	0	115	75	17	226	39	0.0746875	0.0041841004184100415	0.1353125	0.134375	0.4780600461893764	0.0421875				
40	18	18	9.378109452736318	1759	245	175	2	244	219	92	0.1721556886227545	75	25	22	25	6	4	10	20	0	10	0	48	0	0	0	0	0	0	0	86	31	8	119	40	0.09948834565093803	0.011428571428571429	0.13871517907902217	0.1245025582717453	0.5122950819672131	0.05230244457077885				
51	19	19	5.5911330049261085	1094	126	80	0	154	144	55	0.17443523019731194	32	18	24	4	0	4	3	13	0	6	0	22	0	0	0	0	0	0	0	40	18	5	91	51	0.07312614259597806	0.0	0.14076782449725778	0.1316270566727605	0.4090909090909091	0.050274223034734916				
52	41	41	6.8806270863137815	2538	274	183	0	386	364	151	0.19647791645488005	73	15	38	22	5	27	10	26	0	4	1	53	0	0	0	0	0	0	0	71	116	11	188	52	0.07210401891252956	0.0	0.1520882584712372	0.1434200157604413	0.5129533678756477	0.059495665878644605				
54	22	22	6.087719298245614	982	124	89	0	133	123	46	0.22715404699738906	38	16	21	12	2	5	4	8	3	1	0	14	0	0	0	0	0	0	0	71	27	10	25	54	0.09063136456211812	0.0	0.1354378818737271	0.12525458248472504	0.8120300751879699	0.04684317718940937				
