age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
21	185	185	2.5899642958436515	1373	128	74	0	213	290	19	0.32757233846047645	44	19	12	5	1	0	1	4	0	0	0	42	2848	264	98	0	340	374	159	29	20	6	158	21	0.053896576839038604	0.0	0.1551347414420976	0.2112163146394756	0.25821596244131456	0.013838310269482883	0.03441011235955056	0.11938202247191011	0.13132022471910113	0.055828651685393256
23	396	396	2.753985780582255	2438	212	141	1	298	309	34	0.2626879006475669	85	31	15	9	3	2	5	2	0	4	0	56	4704	551	185	0	606	531	230	37	33	10	218	23	0.05783429040196883	0.0070921985815602835	0.12223133716160788	0.12674323215750616	0.2684563758389262	0.01394585726004922	0.03932823129251701	0.1288265306122449	0.11288265306122448	0.04889455782312925
24	522	522	2.9500231339640113	2385	289	197	3	341	289	30	0.2724328598975643	158	24	22	8	0	2	1	3	0	0	1	70	3778	485	151	0	474	440	159	32	29	8	272	24	0.08259958071278826	0.015228426395939087	0.1429769392033543	0.12117400419287212	0.20234604105571846	0.012578616352201259	0.03996823716251985	0.1254632080465855	0.11646373742721017	0.042085759661196404
25	393	393	2.7561034973966003	874	118	87	1	114	86	12	0.3276549050961633	49	28	10	8	2	0	0	0	0	0	0	21	1733	230	85	0	233	176	72	7	6	0	101	25	0.09954233409610984	0.011494252873563218	0.13043478260869565	0.09839816933638444	0.11403508771929824	0.013729977116704805	0.04904789382573572	0.13444893248701673	0.10155799192152337	0.0415464512406232
26	975	975	3.2953407719074637	3059	405	295	1	408	373	58	0.3004971319847867	189	59	57	10	2	3	0	22	1	5	4	53	4757	527	218	0	550	500	181	67	36	15	290	26	0.09643674403399805	0.003389830508474576	0.13337692056227526	0.12193527296502125	0.28921568627450983	0.01896044458973521	0.04582720201807862	0.1156190876602901	0.10510826150935464	0.03804919066638638
27	1633	1633	3.0150360561506413	6563	655	488	6	751	829	96	0.3056723732900854	328	85	72	9	4	19	8	24	2	5	4	95	10169	1267	507	3	1280	1054	421	147	87	27	490	27	0.07435623952460765	0.012295081967213115	0.11442937680938595	0.12631418558586013	0.34753661784287615	0.014627456955660522	0.04985740977480578	0.12587275051627494	0.10364834300324516	0.041400334349493556
28	506	506	3.2206838199197207	1821	229	163	0	247	177	35	0.2529005365652631	118	18	27	5	1	2	2	9	1	3	4	39	2689	345	139	0	354	289	120	37	18	4	188	28	0.08951125755079627	0.0	0.1356397583745195	0.09719934102141681	0.2388663967611336	0.019220208676551345	0.05169207883971737	0.13164745258460395	0.1074748977314987	0.044626255113425065
29	645	645	2.7424073027499216	2374	271	202	0	240	238	40	0.30321269439558884	141	23	23	13	4	17	0	3	1	0	0	46	2348	304	110	0	297	277	113	28	24	4	184	29	0.08508845829823083	0.0	0.10109519797809605	0.10025273799494525	0.23333333333333334	0.016849199663016005	0.046848381601362864	0.12649063032367971	0.11797274275979557	0.04812606473594549
30	916	916	3.2378835227272726	2195	280	217	2	286	279	65	0.33941762025438904	110	53	40	16	1	21	5	6	1	2	2	23	1967	233	95	3	229	208	73	59	28	17	182	30	0.0988610478359909	0.009216589861751152	0.13029612756264236	0.12710706150341686	0.36363636363636365	0.029612756264236904	0.04829689883070666	0.11642094560244026	0.10574478901881038	0.03711235383833249
31	729	729	3.901100456383992	2263	288	216	2	296	278	87	0.2804627235947659	111	20	29	10	1	50	15	4	0	2	3	43	3240	387	176	1	416	373	151	80	47	16	153	31	0.09544851966416261	0.009259259259259259	0.1307998232434821	0.12284577993813522	0.4831081081081081	0.03844454264250994	0.05432098765432099	0.12839506172839507	0.11512345679012345	0.04660493827160494
