age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
26	42	42	3.1512758620230183	7049	592	441	20	916	1588	634	0.09390917822185725	162	26	100	92	59	3	87	5	0	0	7	51	14723	1829	827	7	1840	2199	1209	77	176	16	647	26	0.06256206554121152	0.045351473922902494	0.12994751028514684	0.22528018158604057	0.29366812227074235	0.08994183572137891	0.05617061740134483	0.12497452964749033	0.1493581471167561	0.08211641649120424
27	42	42	4.007554294810535	6340	532	367	8	818	1292	598	0.09340700233499727	160	65	127	29	30	0	62	7	0	6	8	38	11665	1496	730	9	1449	1699	957	49	170	19	580	27	0.057886435331230286	0.021798365122615803	0.12902208201892745	0.20378548895899054	0.29095354523227385	0.0943217665615142	0.06258036862408915	0.12421774539219889	0.14564937848264037	0.08204029147021002
28	70	70	3.754108699780177	6562	693	450	5	916	1273	569	0.11438440482824612	276	50	129	29	42	1	33	11	0	5	3	114	13103	1623	709	10	1671	2034	1051	39	105	22	750	28	0.06857665345931119	0.011111111111111112	0.139591587930509	0.1939957330082292	0.1812227074235808	0.08671136848521792	0.054109745859726784	0.12752804701213463	0.1552316263451118	0.08021063878501107
29	41	41	3.5256302983595726	2734	283	187	0	330	501	205	0.12201603073823555	112	25	42	11	14	0	5	4	0	7	9	54	6153	836	295	4	821	859	420	17	54	7	252	29	0.06839795171909291	0.0	0.12070226773957571	0.18324798829553768	0.23636363636363636	0.07498171177761521	0.047944092312693	0.13343084674142694	0.13960669592068908	0.06825938566552901
30	120	120	4.1117775128764915	10778	1192	976	57	1380	1910	929	0.10455319166672179	366	79	101	117	78	9	215	15	3	63	31	115	21096	2733	1456	23	2510	3069	1536	173	242	35	930	30	0.09055483392095008	0.0584016393442623	0.12803859714232696	0.1772128409723511	0.32608695652173914	0.0861940990907404	0.06901782328403488	0.1189799014031096	0.1454778156996587	0.07281001137656427
33	27	27	4.287330316742081	1961	173	120	1	220	312	140	0.11061594779563902	25	14	38	12	5	10	18	11	1	12	12	15	4322	656	302	4	572	532	273	44	61	6	109	33	0.06119326874043855	0.008333333333333333	0.11218765935747067	0.15910249872514023	0.5045454545454545	0.07139214686384497	0.06987505784359092	0.13234613604812587	0.12309116149930588	0.06316520129569644
34	118	118	4.689109300890865	9610	918	625	3	1198	1582	716	0.11001822962911627	195	81	140	77	35	50	39	49	7	51	41	153	14384	1845	889	16	1815	2042	1033	204	210	36	748	34	0.06503642039542143	0.0048	0.12466181061394381	0.16462018730489075	0.3756260434056761	0.0745057232049948	0.0618047830923248	0.12618186874304782	0.14196329254727474	0.07181590656284761
35	134	134	5.090462394004124	9239	1034	733	2	1160	1549	709	0.10985804527516695	194	48	157	108	49	63	89	50	14	70	48	144	14351	2034	1052	15	1885	1979	933	163	179	22	796	35	0.07933759064833856	0.002728512960436562	0.12555471371360538	0.16765883753652994	0.3137931034482759	0.07673990691633294	0.07330499616751446	0.13134973172601214	0.13789979792348966	0.06501289108772908
36	111	111	4.767393110660614	6400	630	430	0	808	1143	547	0.11319659101737463	148	55	102	47	41	29	36	34	0	14	26	98	11499	1621	785	6	1567	1626	754	172	142	18	476	36	0.0671875	0.0	0.12625	0.17859375	0.41089108910891087	0.08546875	0.0682668058092008	0.13627271936690147	0.1414036003130707	0.06557091921036612
37	249	249	4.771138237477239	11981	1227	859	3	1566	1679	684	0.11467025398531643	307	100	174	87	54	58	75	62	3	69	44	194	19827	2617	1268	12	2726	2418	1109	188	255	42	1081	37	0.0716968533511393	0.0034924330616996507	0.13070695267506885	0.14013855270845504	0.30970625798212004	0.05709039312244387	0.0639531951379432	0.13748928229182428	0.12195490997125133	0.05593382760881626
38	91	91	5.774735632596635	5856	644	431	0	795	859	305	0.10670054583389374	163	52	138	40	14	17	31	27	4	36	47	75	6599	938	440	3	948	807	373	171	95	22	507	38	0.07359972677595629	0.0	0.13575819672131148	0.14668715846994534	0.3622641509433962	0.052083333333333336	0.06667676920745567	0.14365813001969996	0.12229125625094711	0.056523715714502196
39	194	194	5.543984455544317	8526	1008	792	2	1151	1251	484	0.10685070164746713	326	30	142	8	4	100	202	52	0	25	45	74	15012	2080	1038	6	2019	1833	880	105	119	25	902	39	0.09289232934553132	0.0025252525252525255	0.13499882711705372	0.14672765657987333	0.2163336229365769	0.056767534600046916	0.06914468425259793	0.13449240607513988	0.12210231814548361	0.05861977084998668
40	51	51	4.785714285714286	2266	181	148	0	253	373	209	0.12236352357320099	32	32	13	31	11	12	3	14	0	8	5	20	4182	461	253	3	477	592	315	29	83	6	135	40	0.06531332744924978	0.0	0.11165048543689321	0.1646072374227714	0.466403162055336	0.09223300970873786	0.06049736967957915	0.11406025824964132	0.14155906264945003	0.07532281205164992
