age	Unnamed: 0	Unnamed: 0.1	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	age	%pronouns	%error	%verb	%noun	%verb_tensed	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
27	3	3	5.366039320069967	5078	457	282	1	734	668	585	0.1137024801953181	240	6	34	8	0	2	1	11	0	13	1	141	824	120	55	0	133	97	50	63	111	12	548	27	0.05553367467506892	0.0035460992907801418	0.14454509649468295	0.13154785348562426	0.25340599455040874	0.11520283576211107	0.06674757281553398	0.16140776699029127	0.11771844660194175	0.06067961165048544
30	50	50	6.860603598800819	8487	749	456	4	1154	1091	764	0.13368303555590608	319	21	85	57	9	17	9	14	1	8	1	208	418	58	26	0	57	67	27	144	224	39	747	30	0.05372923294450336	0.008771929824561403	0.13597266407446684	0.12854954636502886	0.35268630849220106	0.09002003063508895	0.06220095693779904	0.13636363636363635	0.16028708133971292	0.0645933014354067
31	31	31	7.102802900933948	4568	436	264	1	499	539	292	0.14592413882966782	118	34	79	43	8	15	2	15	1	27	1	93	2686	269	147	1	315	407	186	51	84	15	349	31	0.05779334500875657	0.003787878787878788	0.10923817863397549	0.11799474605954466	0.30060120240480964	0.063922942206655	0.05472822040208489	0.11727475800446761	0.15152643335815338	0.06924795234549516
32	95	95	7.647101710012121	10799	1014	569	1	1311	1191	844	0.15500563250935576	397	14	167	60	8	7	4	39	1	33	6	278	297	32	22	0	31	33	18	230	203	60	818	32	0.05269006389480507	0.0017574692442882249	0.12140012964163348	0.11028798962866933	0.37604881769641496	0.07815538475784795	0.07407407407407407	0.10437710437710437	0.1111111111111111	0.06060606060606061
33	120	120	5.898327887609336	5952	643	346	1	679	640	399	0.1864215714871876	260	10	131	26	3	9	4	22	0	10	2	166	1152	112	48	1	131	156	79	86	90	19	484	33	0.058131720430107524	0.002890173410404624	0.11407930107526881	0.10752688172043011	0.28718703976435933	0.06703629032258064	0.041666666666666664	0.11371527777777778	0.13541666666666666	0.0685763888888889
34	177	177	6.823540996055068	7115	894	482	1	916	695	347	0.18106684966281664	254	9	176	107	4	9	2	40	3	47	7	236	1451	190	60	1	192	184	76	166	139	28	583	34	0.06774420238931834	0.002074688796680498	0.1287420941672523	0.09768095572733661	0.3635371179039301	0.04877020379479972	0.04135079255685734	0.13232253618194348	0.1268090971743625	0.052377670572019294
35	213	213	6.056352685633862	5651	619	334	1	652	714	430	0.1812389711609673	143	18	122	63	1	8	1	42	1	50	7	163	1616	163	72	0	173	221	101	112	94	13	433	35	0.05910458325960007	0.0029940119760479044	0.11537780923730313	0.12634931870465405	0.33588957055214724	0.07609272695098213	0.04455445544554455	0.10705445544554455	0.13675742574257427	0.0625
36	120	120	8.672787760314854	9516	1127	661	2	1092	986	767	0.12873473894476287	308	21	241	89	29	0	3	74	1	82	54	225	129	11	9	0	13	16	7	176	124	38	754	36	0.06946195880622111	0.0030257186081694403	0.11475409836065574	0.10361496427070198	0.30952380952380953	0.08060109289617487	0.06976744186046512	0.10077519379844961	0.12403100775193798	0.05426356589147287
37	129	129	8.459405345327676	8715	949	630	2	1020	903	717	0.12352048444392534	316	21	144	33	18	1	0	112	2	81	46	175	157	17	5	0	18	17	9	114	93	16	797	37	0.07228915662650602	0.0031746031746031746	0.11703958691910499	0.10361445783132531	0.21862745098039216	0.08227194492254733	0.03184713375796178	0.11464968152866242	0.10828025477707007	0.05732484076433121
38	91	91	9.80504428186369	4451	400	261	1	504	457	361	0.13707114864480077	136	8	29	32	4	3	6	28	0	25	19	110	683	82	40	0	80	83	42	99	75	9	321	38	0.0586385082004044	0.0038314176245210726	0.11323298135250505	0.10267355650415637	0.3630952380952381	0.08110536957986969	0.05856515373352855	0.1171303074670571	0.12152269399707175	0.06149341142020498
