	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	29	4.769230769230768	187	27	26	0	32	40	25	0.18027571580063625	8	2	0	11	3	0	0	1	0	0	1	1	0	0	0	0	0	0	0	14	3	1	11
1	1	29	4.518518518518519	249	35	27	0	52	48	11	0.29068462401795736	20	3	4	1	0	0	0	2	0	0	1	4	209	23	8	0	31	26	9	6	5	1	35
2	2	29	5.121212121212121	350	43	32	0	65	58	22	0.2469512195121951	16	2	6	1	0	0	0	12	0	0	1	5	88	12	7	0	14	14	5	8	7	2	41
3	3	29	4.525	202	38	21	1	44	22	5	0.3225108225108225	12	8	12	0	1	0	0	0	0	0	0	5	107	11	3	0	26	10	3	2	0	0	42
4	4	29	4.411111111111111	424	51	33	0	68	90	21	0.3005714285714285	24	1	12	0	1	0	0	3	0	0	4	6	372	37	16	0	46	63	25	5	4	1	54
5	5	30	5.375	132	21	15	0	28	20	3	0.4300341296928328	8	3	6	0	0	0	0	1	0	0	3	0	132	13	3	0	16	14	11	1	7	1	12
6	6	30	4.120481927710843	343	33	17	0	48	73	16	0.28418230563002683	11	2	6	1	0	0	0	1	1	0	1	10	220	32	17	0	36	40	17	4	2	0	40
7	7	30	3.6779661016949152	228	22	19	0	30	40	21	0.20649895178197064	4	0	2	11	2	0	0	2	0	0	0	1	4	1	1	0	1	0	0	8	4	0	14
8	8	30	5.0625	322	8	8	0	60	84	26	0.21351931330472104	1	2	0	4	0	0	0	0	0	1	0	0	23	2	1	0	5	1	0	20	5	2	28
9	9	30	5.96875	358	30	23	0	66	97	41	0.2460606060606061	12	1	3	3	2	0	0	2	0	3	0	4	0	0	0	0	0	0	0	17	5	1	38
10	10	30	4.92	493	67	41	0	82	97	22	0.2405708460754332	25	9	21	0	0	0	0	7	0	0	0	5	346	45	20	0	39	55	22	10	5	0	62
11	11	30	4.833333333333333	262	45	29	1	73	38	5	0.3190730837789661	20	6	10	0	0	0	0	3	0	0	0	6	153	27	7	0	33	11	5	19	14	10	16
12	12	30	5.409090909090909	473	63	33	0	65	78	26	0.2641315519013361	25	1	20	0	0	0	0	6	0	1	0	10	184	18	7	0	26	26	9	24	4	4	29
13	13	30	5.892857142857142	471	62	43	1	98	61	8	0.2740076824583867	24	9	13	0	0	0	0	6	0	0	4	6	122	15	8	0	16	14	4	17	17	1	46
14	14	30	4.88421052631579	466	60	39	1	85	57	8	0.24141749723145076	29	7	10	0	0	0	0	3	0	0	0	11	312	43	13	0	43	39	17	11	17	6	34
15	15	30	5.0	190	27	9	0	25	17	5	0.31446540880503143	9	0	11	0	0	0	0	0	0	0	0	7	193	23	7	0	24	10	7	5	0	0	20
16	16	30	6.066037735849058	639	88	34	0	114	86	22	0.20255474452554745	23	4	37	1	0	0	0	4	0	0	2	17	198	28	7	0	32	22	12	25	7	6	69
17	17	31	6.931034482758621	570	72	48	0	90	77	20	0.17227722772277226	39	4	10	0	0	0	0	2	0	1	2	14	135	14	3	0	22	13	6	11	3	1	72
18	18	31	6.340740740740742	885	126	75	0	138	91	26	0.17739975698663427	56	3	30	0	0	0	0	10	2	3	1	21	135	18	9	0	22	10	3	15	13	1	96
19	19	31	5.6103896103896105	455	68	57	0	75	51	13	0.19624413145539907	41	8	4	0	0	0	0	0	0	0	8	7	350	53	23	0	53	31	18	11	3	1	57
20	20	31	5.9479768786127165	982	145	91	0	188	135	22	0.21082299887260428	56	6	31	1	2	0	2	22	1	0	1	23	630	102	42	0	101	82	26	29	15	1	128
21	21	31	5.387640449438202	954	121	99	1	142	117	50	0.1976958525345622	61	7	10	4	7	0	0	17	0	1	2	12	955	133	52	0	151	103	43	40	12	0	78
22	22	31	5.655172413793102	467	75	55	1	75	89	20	0.24687144482366324	27	3	15	0	9	0	0	11	0	4	1	5	304	43	26	0	40	41	24	15	12	2	34
23	23	31	5.955882352941178	836	91	71	1	106	81	40	0.19890176937156806	36	6	11	2	11	0	1	11	1	2	1	9	641	81	35	0	69	81	44	15	10	1	70
24	24	32	6.741935483870968	427	55	43	0	59	32	15	0.27208480565371024	23	12	4	2	3	0	1	2	0	0	0	8	344	54	14	0	52	35	18	10	8	1	32
25	25	32	5.323699421965318	938	134	92	1	132	144	59	0.1912542047092744	56	11	25	0	2	1	1	10	0	4	7	17	162	15	4	0	25	23	14	17	12	3	88
26	26	32	6.488372093023256	1068	147	112	0	141	139	27	0.18498367791077255	69	4	18	8	0	0	1	7	0	5	18	17	576	81	32	0	76	73	31	35	10	5	81
27	27	32	6.0275229357798175	670	85	50	1	91	64	16	0.2055084745762712	41	4	21	0	0	0	1	0	0	0	4	14	668	115	36	0	98	68	37	10	5	0	71
28	28	32	7.339449541284404	831	113	90	1	129	99	35	0.2111269614835949	75	1	7	1	4	0	1	2	0	3	3	16	448	62	20	0	63	42	20	44	8	1	68
29	29	32	7.08130081300813	913	138	93	0	149	108	28	0.1893424036281179	62	14	32	0	5	0	0	2	0	5	5	13	580	76	29	0	80	76	33	20	20	0	89
30	30	33	8.23404255319149	786	105	75	0	125	80	23	0.21573604060913704	53	8	21	0	0	0	0	4	0	6	4	9	477	68	25	0	76	64	23	21	14	5	71
31	31	33	6.5555555555555545	901	137	93	0	162	127	51	0.17079599367422246	77	5	30	6	2	0	0	1	0	2	0	14	286	41	15	0	43	37	16	36	20	1	85
32	32	33	7.348837209302325	966	148	114	0	153	134	66	0.16906267970097758	90	7	14	0	9	0	0	4	0	0	4	20	27	4	1	0	2	4	1	38	6	1	102
33	33	33	6.721153846153847	713	93	70	0	116	88	22	0.21475704859028194	49	4	11	0	0	1	0	3	0	6	7	12	595	77	25	0	71	91	29	20	12	7	65
34	34	33	6.633663366336633	692	91	71	1	115	76	36	0.2273489932885906	61	1	11	0	0	0	0	5	0	2	2	9	464	65	18	0	65	57	23	41	6	1	61
35	35	33	6.725925925925926	919	135	81	1	142	132	35	0.21595680863827235	53	16	36	2	0	1	7	1	0	0	1	18	626	87	24	0	89	74	19	38	12	5	75
36	36	33	9.93103448275862	565	121	77	0	97	89	10	0.22189638318670574	53	6	29	1	0	0	0	11	0	4	2	15	343	59	18	0	54	49	14	16	9	0	63
37	37	33	5.779816513761468	663	113	65	0	131	78	15	0.2198768689533861	48	13	31	0	1	0	0	2	0	1	0	17	210	34	15	0	40	25	8	21	13	0	84
38	38	34	7.306451612903227	899	162	108	0	174	62	56	0.17697937458416502	84	6	27	0	0	0	0	14	0	2	2	27	562	87	30	0	78	60	36	38	23	0	90
39	39	34	7.707692307692307	498	85	58	0	83	62	20	0.24879227053140096	41	4	9	2	2	0	0	5	0	0	4	18	424	70	28	0	61	53	27	18	1	0	63
40	40	34	7.6224489795918355	779	134	84	1	135	91	28	0.18299120234604105	58	7	38	0	0	0	0	12	0	5	2	12	124	18	8	0	19	13	5	21	5	1	103
41	41	34	6.355769230769232	703	108	68	0	89	89	34	0.20233196159122085	53	5	28	4	1	0	0	1	0	1	3	12	0	0	0	0	0	0	0	22	1	0	65
42	42	34	6.980392156862745	1075	134	102	0	149	159	51	0.20808224034030487	66	8	17	1	0	0	1	17	1	6	2	15	926	118	39	0	123	143	56	19	14	2	100
43	43	34	7.115384615384616	924	151	106	3	142	143	59	0.19034994697773064	75	8	34	0	0	0	4	17	1	1	0	11	499	73	34	0	79	61	28	47	6	4	79
44	44	34	6.611940298507463	900	142	88	0	157	132	58	0.2019438444924406	59	8	33	1	2	0	3	12	0	3	0	21	336	44	19	0	52	43	20	34	21	5	76
45	45	34	7.94871794871795	910	153	110	1	154	127	46	0.1829150579150579	67	11	34	3	0	2	3	10	2	6	6	9	55	9	3	0	9	7	2	29	12	5	96
46	46	34	4.726744186046512	842	111	76	0	146	107	33	0.1943785980358957	67	2	14	0	0	0	0	5	0	2	0	21	896	115	43	0	122	100	41	25	10	4	97
47	47	34	6.4444444444444455	974	153	98	0	172	123	45	0.19968304278922344	78	9	23	2	0	0	0	7	0	2	0	32	529	65	20	0	71	73	35	36	13	3	107
48	48	35	6.762962962962963	931	158	107	1	190	116	39	0.17982679572083546	73	21	39	0	1	0	1	5	0	0	6	12	757	119	49	0	113	79	35	25	19	2	125
49	49	35	6.904761904761906	1190	192	122	0	210	141	72	0.1831044527673741	82	16	49	4	0	0	1	2	0	7	10	21	699	102	45	0	108	77	38	51	21	4	113
50	50	35	5.881355932203389	1052	160	97	0	175	130	39	0.17587131367292225	72	12	45	3	2	1	0	4	0	2	1	18	1746	214	87	0	214	254	116	29	8	2	128
51	51	35	6.247663551401869	1333	236	137	1	240	150	67	0.17855750487329436	97	5	55	1	4	0	4	15	0	10	1	44	497	74	27	0	63	66	28	49	28	11	124
52	52	35	4.933333333333334	1054	147	100	0	174	151	55	0.1794142735285755	78	15	34	3	0	0	1	2	0	1	0	13	1265	160	57	0	190	149	64	26	14	3	117
53	53	35	6.506849315068492	912	128	85	0	162	95	31	0.21458117890382628	52	7	32	9	2	0	0	9	0	3	3	11	923	134	57	0	115	110	39	35	20	4	83
54	54	35	6.7564102564102555	972	101	68	0	168	152	94	0.22018890200708385	27	3	16	5	6	0	0	6	2	19	0	17	539	67	35	0	64	71	49	74	22	5	45
55	55	35	6.995	1326	177	106	0	224	146	83	0.17389525368248773	51	8	22	13	1	0	0	28	0	0	5	49	1021	149	65	0	151	116	60	66	26	5	101
56	56	36	6.357142857142858	900	144	89	1	147	88	28	0.2044334975369458	66	12	39	1	0	0	1	2	1	3	3	16	675	112	51	0	104	65	23	33	14	5	81
57	57	36	7.643312101910827	1197	140	70	1	192	135	74	0.1949740034662045	45	2	42	9	3	0	1	7	0	2	1	28	233	29	13	0	37	23	14	49	20	8	95
58	58	36	6.86092715231788	1024	121	76	1	184	137	59	0.19152196118488252	49	6	16	6	0	0	4	1	0	5	5	29	594	79	28	0	81	75	32	17	30	3	104
