	Unnamed: 0	Unnamed: 0.1	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	0	27	2.6474576271186443	2803	77	37	1	397	815	18	0.12060939483707153	30	6	15	1	0	0	0	0	0	0	0	25	1835	211	73	0	255	294	102	8	18	5	366
1	1	1	28	2.6269430051813467	2903	63	29	0	413	994	6	0.10498004511539127	16	12	19	0	0	0	0	0	0	0	1	15	2606	237	67	0	274	435	163	25	23	7	358
2	2	2	28	2.9244712990936566	2126	54	15	0	391	746	19	0.12122652721654385	9	6	22	0	0	0	0	0	0	0	0	17	1968	187	23	0	231	347	148	23	55	16	297
3	3	3	28	2.40036231884058	1563	41	17	0	190	471	6	0.14516129032258066	9	7	10	1	0	0	0	0	0	0	0	14	1394	164	43	0	172	207	94	13	27	9	141
4	4	4	29	2.764880952380953	2034	76	33	0	300	739	3	0.13066666666666665	28	1	23	1	0	1	2	0	0	0	0	20	1652	158	43	0	208	316	122	27	41	2	230
5	5	5	29	2.936378466557912	1981	103	37	0	316	574	13	0.131199538638985	19	16	12	0	1	0	1	0	0	0	0	54	1131	135	37	0	134	184	81	45	65	13	193
6	6	6	30	3.3941176470588235	2378	111	43	1	437	551	58	0.13013080739738386	36	4	18	0	2	0	0	0	0	0	1	50	1808	187	45	1	234	284	105	102	90	32	213
7	7	7	31	3.711191335740072	2094	148	76	0	413	400	137	0.12572436381960192	57	15	16	0	0	0	2	2	0	0	0	56	1667	203	68	0	219	247	89	22	53	3	335
8	8	8	31	3.139154160982265	2374	127	51	0	407	600	97	0.13431523411738844	25	22	12	1	0	0	0	0	0	1	2	64	2053	219	76	0	270	321	132	54	45	4	304
9	9	9	31	3.36435124508519	2659	159	71	0	458	650	109	0.11739040099729901	36	25	50	2	0	0	0	1	0	5	2	38	1930	223	70	0	242	291	132	33	49	4	372
10	10	10	32	3.536480686695279	2508	201	100	1	497	547	108	0.11574074074074076	16	63	34	4	12	0	1	0	0	2	2	67	1546	215	78	3	230	210	86	61	70	13	353
11	11	11	33	3.2003424657534247	1954	126	83	0	356	390	53	0.14126944924672755	26	51	14	0	3	0	0	3	0	0	0	29	1490	181	50	0	188	201	77	34	52	11	259
12	12	12	33	3.07311320754717	1388	88	23	0	252	290	42	0.14991816693944354	1	13	19	4	1	1	1	2	0	0	0	46	1205	188	40	0	171	141	60	25	44	6	177
13	13	13	34	3.213963963963964	1507	119	37	0	253	275	35	0.1446135831381733	7	23	26	0	1	0	0	4	2	0	0	56	1631	223	58	0	220	188	81	21	24	4	204
14	14	14	34	3.5052631578947366	2142	239	126	4	365	315	13	0.1334556895647614	70	27	64	5	7	7	1	9	0	0	0	49	1189	156	50	2	158	139	43	30	48	10	277
15	15	15	35	3.345833333333333	1746	293	122	1	340	265	14	0.14105263157894735	55	48	49	4	3	1	0	11	0	0	0	122	1121	181	41	1	165	144	55	24	36	5	275
