	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	28	4.9523809523809526	1123	124	110	0	219	198	48	0.1282448663308795	25	3	1	73	3	4	1	0	0	1	0	13	933	101	63	0	124	134	69	22	64	5	128
1	1	28	5.206896551724138	1338	121	87	0	201	209	71	0.12177470106985525	29	0	6	39	10	0	1	0	0	5	3	28	1032	123	46	0	148	125	58	38	36	3	124
2	2	29	5.212244897959184	1207	150	133	1	190	194	53	0.13369565217391305	47	0	2	57	11	0	2	4	0	9	3	15	910	103	50	0	107	102	55	29	45	4	112
3	3	29	6.233532934131737	910	90	75	2	156	166	27	0.18151447661469933	17	2	3	44	7	0	2	0	0	0	3	12	475	43	28	0	42	65	41	38	64	6	48
4	4	29	5.5109170305676844	1185	137	106	2	219	224	105	0.1435483870967742	58	4	10	36	3	0	1	3	0	1	0	21	1283	159	77	0	158	165	86	36	54	8	121
5	5	32	5.217054263565891	1319	113	66	8	141	178	106	0.1644640234948605	29	0	15	9	4	0	21	1	0	2	0	32	507	60	31	0	60	62	40	42	23	10	66
6	6	33	5.371428571428571	1156	108	71	1	146	120	62	0.15847201210287445	45	4	8	5	1	0	7	2	0	2	5	29	349	50	17	0	53	32	13	26	13	2	105
7	7	34	6.899038461538463	1419	111	73	1	175	201	111	0.15010570824524316	34	8	17	17	5	0	4	4	0	1	0	21	175	21	8	0	20	27	11	34	23	4	114
8	8	35	5.995983935742973	1502	160	118	1	179	162	95	0.15257352941176472	35	2	28	43	7	2	13	14	0	1	1	14	420	52	36	0	47	42	20	39	24	7	109
9	9	39	6.572192513368983	1141	156	119	1	149	148	67	0.16771419120079392	59	3	21	10	1	11	7	16	2	6	4	16	1570	187	77	1	194	211	82	86	20	4	39
10	10	40	6.541850220264317	1430	189	149	2	199	172	76	0.16375838926174496	88	4	20	13	6	7	5	13	0	9	4	20	1550	177	60	1	198	210	88	59	17	3	120
