	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	30	4.724845995893224	2241	382	254	1	348	282	137	0.13262752646775747	134	5	33	28	7	15	3	49	0	12	1	95	926	118	48	0	132	122	58	99	33	10	206
1	1	31	4.881909547738694	1829	252	175	1	292	247	102	0.14898632720414898	111	8	21	13	7	2	1	16	2	11	4	56	0	0	0	0	0	0	0	103	59	16	114
2	2	31	7.170940170940171	1483	175	123	0	226	187	84	0.1594626168224299	74	7	15	8	6	0	0	11	1	15	1	37	0	0	0	0	0	0	0	70	55	4	97
3	3	32	4.639130434782608	1022	128	118	0	160	143	49	0.19753086419753085	62	11	3	22	4	3	5	4	0	6	1	7	0	0	0	0	0	0	0	37	35	4	84
4	4	32	5.405882352941177	855	134	107	1	148	111	32	0.186123805567096	82	2	11	7	8	0	3	0	0	3	2	16	0	0	0	0	0	0	0	37	43	13	55
5	5	32	5.5440613026819925	1341	174	119	1	221	188	78	0.17573221757322174	70	14	13	17	1	6	4	2	0	5	0	42	12	2	1	0	3	1	0	82	54	12	73
6	6	33	7.235807860262009	1513	206	151	0	250	208	65	0.17375886524822695	81	6	29	22	2	6	16	7	1	7	3	26	0	0	0	0	0	0	0	49	61	4	136
7	7	34	6.989949748743719	1348	172	107	1	177	210	49	0.1925351071692535	79	11	44	8	1	2	0	3	0	3	0	21	0	0	0	0	0	0	0	39	24	9	105
8	8	34	6.567708333333332	1173	160	100	1	163	171	55	0.1609611586570112	64	10	29	6	0	1	0	14	0	4	1	31	0	0	0	0	0	0	0	33	24	4	102
9	9	35	5.970443349753696	1152	144	90	2	145	165	63	0.17768595041322313	70	8	39	2	0	2	3	4	0	0	1	15	0	0	0	0	0	0	0	17	11	3	114
10	10	35	6.78921568627451	1303	163	118	0	191	162	79	0.1843575418994413	84	9	31	7	6	0	1	3	1	7	0	14	0	0	0	0	0	0	0	60	20	1	110
11	11	36	5.5403726708074545	858	89	56	0	112	151	63	0.16353111432706222	31	4	10	6	3	2	1	5	0	3	1	23	0	0	0	0	0	0	0	20	21	2	69
12	12	36	7.21830985915493	1895	290	198	0	273	300	101	0.1645170535970192	90	17	48	32	4	9	8	18	2	14	4	44	0	0	0	0	0	0	0	138	36	7	92
13	13	37	6.2056962025316444	1930	281	161	0	294	191	96	0.1575249932450689	112	16	45	4	3	13	2	10	0	1	0	75	79	12	4	0	9	5	1	76	50	24	144
14	14	37	7.472636815920397	1510	184	150	2	190	223	71	0.16739349211673935	87	12	9	11	2	10	5	11	1	10	1	25	0	0	0	0	0	0	0	54	35	9	92
15	15	38	6.2926829268292686	1299	156	101	1	146	209	40	0.16729259132809832	63	11	24	5	5	2	0	9	0	5	1	31	0	0	0	0	0	0	0	41	15	7	83
16	16	39	6.7514450867052025	1160	139	99	1	157	136	55	0.17654208447280462	63	4	20	5	0	7	11	5	0	1	3	20	0	0	0	0	0	0	0	38	23	8	88
17	17	39	8.157692307692308	2040	269	140	0	276	294	80	0.16030534351145034	83	18	69	13	6	2	2	14	0	1	1	60	0	0	0	0	0	0	0	77	52	9	138
18	18	40	9.378109452736318	1759	245	175	2	244	219	92	0.1721556886227545	75	25	22	25	6	4	10	20	0	10	0	48	0	0	0	0	0	0	0	86	31	8	119
19	19	51	5.5911330049261085	1094	126	80	0	154	144	55	0.17443523019731194	32	18	24	4	0	4	3	13	0	6	0	22	0	0	0	0	0	0	0	40	18	5	91
20	20	52	5.4334763948497855	1201	134	87	0	194	200	66	0.1921027890943278	40	5	25	9	3	3	3	22	0	1	1	22	0	0	0	0	0	0	0	31	46	5	112
21	21	52	8.327777777777778	1337	140	96	0	192	164	85	0.20085304381543234	33	10	13	13	2	24	7	4	0	3	0	31	0	0	0	0	0	0	0	40	70	6	76
22	22	54	6.087719298245614	982	124	89	0	133	123	46	0.22715404699738906	38	16	21	12	2	5	4	8	3	1	0	14	0	0	0	0	0	0	0	71	27	10	25
