	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	31	3.6861313868613137	493	52	32	0	74	88	43	0.2138508371385084	8	2	13	1	1	5	2	7	0	6	0	7	646	81	45	1	73	75	37	4	8	1	61
1	1	32	4.567796610169491	547	66	40	1	82	66	31	0.222007722007722	13	1	16	12	4	2	0	5	0	2	1	10	755	87	42	1	96	104	40	11	9	0	62
2	2	33	4.819548872180452	633	49	38	0	74	94	60	0.18521983161833488	24	3	2	0	2	0	0	5	0	0	4	9	0	0	0	0	0	0	0	31	15	0	28
3	3	33	5.4444444444444455	652	48	27	1	78	96	46	0.23507180650037796	11	1	3	7	0	0	0	3	0	5	0	18	392	56	20	0	49	51	22	9	17	5	47
4	4	33	4.85	489	56	44	0	79	73	24	0.2307692307692308	33	5	10	3	0	0	0	0	1	2	0	2	0	0	0	0	0	0	0	13	11	5	50
5	5	34	6.238095238095237	929	96	52	0	126	140	65	0.18633852335509796	25	4	38	5	2	0	1	7	1	4	3	6	227	26	12	0	21	36	14	17	19	8	82
6	6	35	5.70886075949367	1295	171	102	0	194	204	79	0.14613180515759314	58	20	40	0	3	4	1	12	1	2	1	29	25	5	2	0	4	5	0	36	23	12	123
7	7	36	6.403726708074534	956	101	65	0	144	152	79	0.18252730109204368	15	9	24	10	2	10	3	0	0	12	4	12	45	5	3	0	5	7	2	45	29	5	65
8	8	36	5.8146067415730345	1003	99	52	0	136	142	73	0.17600302800908402	29	5	36	5	3	1	0	4	1	4	0	11	0	0	0	0	0	0	0	24	23	4	85
9	9	38	5.773584905660377	925	93	73	0	118	128	84	0.15293040293040294	26	3	12	4	11	0	1	19	0	2	7	8	148	15	4	0	14	23	8	11	3	2	102
10	10	38	5.265486725663717	595	78	56	0	93	68	23	0.2057212416311625	31	3	7	0	1	0	1	14	0	4	2	15	658	98	37	0	92	72	25	11	7	2	73
11	11	38	5.50561797752809	985	110	75	0	133	132	72	0.1875819851333625	42	5	31	1	0	11	4	6	0	3	3	4	184	23	15	0	15	27	9	20	21	4	88
12	12	39	5.659793814432991	530	74	57	0	62	76	21	0.2396514161220044	22	22	9	2	3	1	3	1	0	0	3	8	515	62	22	0	53	61	17	22	24	2	14
13	13	39	4.661458333333333	898	141	92	0	101	122	44	0.17445917655268667	25	34	33	3	0	2	2	13	0	7	6	16	967	142	85	0	127	105	44	43	10	4	44
14	14	41	4.624161073825503	698	89	52	0	98	102	35	0.1897172236503856	21	5	31	15	6	1	0	0	0	0	4	6	270	38	24	0	44	26	9	25	12	3	58
15	15	43	4.937238493723848	1128	138	108	0	179	127	54	0.18074722315718614	41	9	18	20	7	4	1	11	3	4	8	12	0	0	0	0	0	0	0	41	23	9	106
16	16	44	5.317610062893082	1685	257	174	0	239	192	79	0.13590844062947066	105	9	52	10	3	0	1	32	3	8	3	31	0	0	0	0	0	0	0	27	9	1	202
17	17	44	5.453874538745388	1454	188	113	1	212	223	56	0.14613880742913002	66	15	68	14	6	4	0	3	2	1	2	7	0	0	0	0	0	0	0	42	24	7	139
18	18	45	6.1457286432160805	1192	141	82	0	157	174	55	0.17715617715617715	29	17	46	12	3	2	0	7	6	3	3	13	0	0	0	0	0	0	0	17	14	3	123
19	19	45	5.834862385321102	1262	155	97	0	154	218	59	0.1700279242941359	70	9	42	5	3	0	0	8	2	0	0	16	0	0	0	0	0	0	0	35	15	2	102
20	20	45	5.096153846153847	1302	105	68	0	162	230	105	0.16095786602000606	30	6	23	9	2	3	1	14	0	2	1	14	0	0	0	0	0	0	0	28	19	4	111
21	21	50	4.384615384615385	1001	79	46	0	118	179	74	0.19041322314049586	22	8	22	1	0	3	0	6	1	2	3	11	0	0	0	0	0	0	0	21	21	5	71
22	22	51	4.9135135135135135	813	67	44	0	116	128	52	0.21428571428571427	12	5	22	2	1	7	0	14	1	1	1	1	33	2	0	0	2	6	3	30	12	5	69
23	23	52	5.460732984293194	1031	118	71	0	129	140	50	0.17701227830832195	30	16	34	5	3	6	5	1	1	1	3	13	0	0	0	0	0	0	0	17	22	2	88
24	24	52	6.25531914893617	1430	174	114	0	203	240	100	0.16345860067216622	57	8	48	10	3	4	4	15	0	5	8	12	0	0	0	0	0	0	0	27	23	5	148
25	25	53	6.304347826086956	1667	198	137	0	227	248	119	0.18400940623162845	53	3	39	11	7	11	8	20	4	11	9	22	0	0	0	0	0	0	0	43	29	6	149
26	26	56	5.722222222222222	1236	161	101	0	162	149	57	0.15351458885941646	37	5	40	5	13	2	7	24	1	4	3	20	0	0	0	0	0	0	0	31	21	6	104
