	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	18	2.091872791519435	1409	66	10	0	132	389	60	0.10029102305798077	4	1	3	0	0	0	5	0	0	0	0	53	2893	329	74	0	365	394	175	8	5	1	118
1	1	18	2.1005917159763308	825	20	15	0	69	286	38	0.12462006079027355	5	9	1	0	0	0	1	0	0	0	0	4	2441	235	56	0	306	381	157	11	12	8	38
2	2	19	2.592592592592593	538	18	9	0	75	123	38	0.1768779968034097	7	2	3	0	0	0	0	0	0	0	0	6	1019	109	24	0	134	119	62	5	4	2	64
3	3	19	2.133995037220844	1052	27	13	0	98	305	37	0.11061531235321748	13	0	4	0	0	0	0	0	0	0	0	10	2694	297	62	0	346	400	208	6	14	4	74
4	4	20	2.5386178861788617	1480	48	31	0	188	408	65	0.12623181604880335	5	23	4	2	0	0	0	0	0	1	0	13	2220	240	70	0	229	328	140	33	26	3	126
5	5	21	3.099489795918368	1335	42	18	0	160	281	30	0.14234342223554092	12	0	10	0	5	0	1	0	0	0	0	14	1189	120	36	0	131	184	81	9	40	3	108
6	6	21	2.841025641025641	1221	44	27	0	172	328	18	0.123948540326571	19	1	4	3	0	3	1	0	0	0	0	13	2339	260	74	0	269	369	125	16	56	4	96
7	7	21	3.2253922967189728	2495	146	87	0	351	628	113	0.09810771470160116	63	17	18	4	0	1	1	1	0	0	0	41	3142	383	132	0	366	467	191	26	79	14	232
8	8	22	3.674242424242424	1532	102	64	2	252	332	71	0.12753036437246965	43	18	9	1	0	1	0	1	0	0	0	29	1133	144	55	0	152	177	55	23	41	2	186
9	9	22	3.7766990291262137	1601	93	60	0	237	305	85	0.13877207737594618	53	5	6	0	0	1	0	0	0	0	1	27	1039	115	43	0	104	144	49	30	32	3	172
10	10	23	3.5423728813559316	1281	146	73	1	190	231	48	0.13735597331716193	58	7	11	2	0	3	0	2	0	0	1	62	883	118	41	0	113	108	52	16	25	2	147
11	11	23	4.107632093933463	2115	282	160	1	377	338	56	0.11410204901566895	102	26	54	13	0	1	0	14	0	3	1	68	1760	203	70	0	211	264	112	39	51	16	271
12	12	24	4.181008902077152	1528	230	117	1	248	256	60	0.13811383928571427	75	24	64	11	3	1	2	1	0	0	0	49	1161	127	46	0	141	185	50	17	39	7	185
13	13	24	4.025280898876405	1504	204	125	1	236	245	90	0.12421154779233383	63	18	44	17	3	0	0	20	0	4	0	35	1646	206	66	0	179	218	88	12	32	1	191
14	14	25	4.909266409266409	2589	436	265	1	437	289	106	0.1016449410304159	159	34	64	11	0	0	3	31	0	12	15	107	3472	539	215	0	449	357	151	41	63	3	330
15	15	25	4.681362725450903	2305	323	191	4	412	345	115	0.11086587436332768	108	29	67	29	2	1	2	10	0	4	6	65	3075	406	160	0	383	378	152	27	69	4	312
16	16	26	4.945985401459853	3367	466	285	0	479	535	152	0.09603760913364674	165	29	101	53	3	5	5	13	0	10	2	80	3141	412	166	0	394	380	123	62	94	8	315
17	17	26	4.430894308943088	2725	422	257	1	470	384	96	0.10474631751227496	150	27	91	22	2	3	0	24	2	7	20	74	2695	343	133	0	322	313	132	47	84	3	336
18	18	27	4.520958083832335	2277	324	212	0	328	308	108	0.12024517757346312	117	33	74	17	3	2	1	26	2	6	5	38	2304	286	118	0	293	269	111	52	58	8	210
19	19	27	4.031847133757962	1432	134	74	1	162	159	81	0.14090708938793484	35	7	34	3	0	4	20	2	2	0	1	26	2355	247	98	2	252	336	145	13	31	2	116
