	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	18.0	1.3507853403141359	298	8	7	1	20	115	12	0.140597539543058	3	1	0	3	0	0	0	0	0	0	0	1	1972	174	26	0	233	284	109	0	2	0	18
1	1	18.0	1.7921348314606742	364	30	19	0	53	123	12	0.14778804083616914	12	1	6	4	0	0	0	0	0	0	2	5	1693	165	23	0	234	254	79	0	4	0	49
2	2		1.9952830188679245	442	41	22	0	67	162	17	0.13369175627240146	16	0	2	0	0	0	0	3	0	2	1	17	2348	188	24	0	248	372	138	1	6	0	60
3	3	19.0	2.3260869565217392	231	19	17	0	33	87	10	0.19102990033222592	17	0	0	0	0	0	0	0	0	0	0	2	973	71	22	0	106	135	36	2	2	2	27
4	4	20.0	1.8407079646017697	224	12	9	0	26	97	9	0.1867559523809524	6	1	0	1	1	0	0	0	0	0	0	3	1120	83	20	0	121	183	73	4	5	1	16
5	5	23.0	3.8951048951048954	569	58	44	0	80	105	35	0.20565371024734985	32	7	9	0	0	1	1	0	0	1	2	5	836	102	34	0	103	113	53	8	9	3	60
6	6	26.0	2.3253968253968256	306	14	10	0	25	40	22	0.21163682864450128	8	2	3	0	0	0	0	0	0	0	0	1	1258	108	35	0	145	172	61	8	5	3	9
7	7	26.0	5.484375	698	105	71	0	101	99	38	0.1865392604902368	52	8	23	1	2	0	0	4	0	2	2	11	1673	230	72	0	248	203	72	17	17	3	64
8	8	28.0	4.525714285714286	808	103	78	0	139	102	19	0.14401463669628856	69	2	7	3	1	0	0	2	0	0	1	18	2998	390	99	0	470	346	105	18	18	4	99
9	9	29.0	4.426470588235294	624	92	59	0	108	77	18	0.1816283924843424	54	2	18	0	0	2	0	0	0	1	0	15	1282	158	33	0	174	150	51	10	14	2	82
