	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	25	3.9578947368421047	390	37	29	0	73	72	22	0.17612193056731584	8	1	3	12	0	4	1	2	0	1	0	5	1432	181	93	0	191	197	68	33	14	4	22
1	1	25	3.840236686390533	646	50	29	0	102	141	78	0.18037383177570093	11	2	15	15	0	0	0	1	0	0	0	6	1580	191	110	0	162	210	93	9	35	3	55
2	2	26	3.398230088495575	400	37	28	0	47	89	29	0.17590361445783131	10	1	6	8	1	0	0	4	0	2	2	3	2347	314	179	0	309	265	149	11	12	1	23
3	3	26	3.9029126213592233	415	54	43	0	78	84	22	0.16904422253922968	6	4	10	12	1	7	8	3	1	0	1	1	1560	199	116	0	216	174	75	15	13	0	50
4	4	26	2.7680000000000002	385	28	18	0	47	106	42	0.19119878603945373	9	0	3	1	0	1	0	1	0	6	0	7	1244	133	68	1	175	174	92	8	11	0	28
5	5	26	3.774509803921569	386	38	28	0	50	83	24	0.17737330478229835	13	4	5	3	0	0	0	2	0	6	0	5	1562	208	105	1	192	225	88	15	10	3	22
6	6	28	7.082051282051282	1323	143	133	0	233	212	111	0.16511127063890882	31	3	5	9	1	47	24	0	1	17	0	5	437	45	27	0	48	62	32	36	38	2	157
7	7	28	6.161073825503356	872	103	87	0	168	116	66	0.1794214573416331	29	14	9	9	0	23	6	0	0	6	0	7	549	77	41	0	76	51	30	34	32	4	98
8	8	28	5.658682634730539	943	87	74	0	154	149	93	0.18646408839779005	11	0	5	12	0	17	8	1	0	24	1	8	306	37	18	0	34	30	10	14	23	2	115
9	9	28	4.493449781659389	1054	74	56	0	129	183	88	0.15543193717277487	18	3	14	21	3	1	2	5	0	2	1	4	394	46	17	0	54	52	18	8	24	3	94
10	10	28	4.887323943661972	1041	87	58	0	153	182	80	0.17414782315221058	18	5	23	7	4	8	2	5	0	7	2	6	1901	217	138	1	226	272	125	18	28	3	104
11	11	29	5.0588235294117645	1092	95	73	0	138	164	58	0.16382660687593426	19	5	9	13	14	0	12	4	1	1	4	13	585	71	37	0	72	79	35	23	37	10	68
12	12	29	5.166666666666667	1134	127	100	0	148	206	75	0.15253703120075635	41	14	23	2	4	4	12	6	1	15	1	4	475	70	31	0	60	48	15	17	15	2	114
13	13	29	5.4609375	1381	131	106	1	198	224	86	0.14444444444444446	32	8	22	11	8	9	5	10	1	9	13	3	185	21	6	0	19	17	6	25	25	3	145
14	14	30	4.356828193832599	1052	122	68	0	155	142	68	0.15424876847290642	37	11	29	1	0	1	3	3	0	3	9	25	589	82	30	0	85	69	12	20	25	2	108
15	15	30	4.88655462184874	1136	98	71	0	152	218	91	0.15391254315304947	18	4	20	4	3	12	1	7	0	18	4	7	1244	119	86	0	144	184	91	34	17	5	96
16	16	30	4.8873873873873865	1075	160	115	1	172	149	81	0.1509929906542056	65	5	33	10	6	6	13	6	0	3	1	12	750	104	58	0	92	83	47	32	17	3	120
17	17	31	5.969325153374232	1712	186	111	0	240	247	131	0.1495798319327731	43	21	56	21	2	2	5	1	1	5	10	19	113	15	6	0	13	10	9	112	56	12	60
18	18	31	5.716312056737587	793	96	74	0	112	95	37	0.17372027408303106	30	4	16	4	6	9	11	3	0	4	3	6	45	5	0	0	3	3	2	16	17	5	74
19	19	31	7.0790960451977405	1203	131	86	0	154	163	52	0.15550319757657355	24	5	35	29	8	5	5	1	1	5	3	10	185	24	13	0	20	26	6	32	20	5	97
20	20	34	4.712765957446809	881	107	86	0	125	127	52	0.19946926138876606	48	4	11	7	2	3	12	1	0	8	1	10	1380	174	103	0	187	183	105	22	26	5	72
21	21	34	5.095041322314049	1178	147	105	0	163	174	65	0.18235294117647055	56	5	18	9	6	5	5	2	7	6	4	24	1363	197	109	0	180	158	74	23	38	2	100
