	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	26	4.0098039215686265	857	68	51	0	96	143	74	0.20225155279503104	44	3	1	2	0	0	0	1	1	0	0	16	1719	204	56	1	265	233	107	11	9	4	72
1	1	27	4.228571428571429	906	96	85	0	125	136	45	0.2137370085856304	79	3	0	0	1	0	0	0	1	1	0	11	1307	126	32	0	168	176	56	25	14	8	78
2	2	27	4.603603603603603	1071	77	64	0	130	175	67	0.21544869367663766	49	2	5	1	1	0	0	9	0	0	2	8	1570	168	90	0	237	235	79	10	23	2	95
3	3	29	4.814655172413794	1174	103	79	1	137	139	66	0.16621569385388482	28	3	18	15	20	1	0	10	0	1	1	6	1413	136	65	1	202	175	63	10	11	0	116
4	4	29	4.604166666666667	934	55	36	0	95	143	115	0.17356368019284854	9	4	9	7	10	3	0	3	0	0	0	10	1555	169	77	0	215	269	94	6	13	4	72
5	5	31	5.9121951219512185	1214	117	92	2	161	143	85	0.17850703209520374	28	40	13	8	9	3	2	2	0	0	0	12	1559	167	68	0	210	203	102	21	19	8	113
6	6	31	5.457142857142856	893	100	75	1	142	137	63	0.20741435945565465	23	15	11	12	6	1	0	4	0	3	11	14	1238	117	70	1	160	192	75	26	16	7	93
7	7	31	4.76	702	83	52	0	116	98	37	0.18382022471910112	16	19	19	6	1	4	1	3	0	2	0	12	1523	150	85	0	218	260	110	12	15	5	84
8	8	34	4.447470817120623	1167	115	84	1	140	172	101	0.193006993006993	30	5	15	20	4	8	0	11	0	3	3	16	1693	210	129	0	238	245	113	22	18	5	95
9	9	34	4.654377880184332	985	179	103	0	158	130	40	0.1832855093256815	50	14	54	23	7	0	0	9	0	0	0	22	1803	175	100	0	235	339	107	25	20	6	107
10	10	34	4.661971830985915	1011	112	89	1	119	115	65	0.18211920529801326	55	2	11	20	6	0	0	4	0	2	0	12	1707	183	78	0	234	229	107	21	13	4	81
11	11	26	4.4009009009009015	1058	74	59	0	108	191	122	0.2350911779201577	45	4	8	3	1	0	0	2	0	3	1	7	971	93	31	0	112	162	91	24	6	1	77
12	12	27	4.082125603864735	889	99	79	0	125	117	33	0.24287280701754385	68	3	14	2	0	0	0	2	0	1	3	6	935	114	37	0	127	116	43	10	8	3	104
13	13	27	4.5347593582887695	923	91	67	1	145	120	39	0.25675675675675674	46	10	15	3	3	0	0	5	0	0	0	9	705	70	30	0	90	101	59	11	20	9	105
14	14	29	4.530201342281879	686	54	40	0	106	87	56	0.22129783693843594	29	3	4	0	1	0	0	5	0	1	1	10	1080	125	52	1	188	133	60	27	14	10	55
15	15	29	4.872549019607843	1033	63	52	0	114	134	127	0.22057416267942584	15	12	2	3	3	5	0	13	0	1	0	9	1057	89	48	1	147	140	88	19	20	2	73
16	16	29	4.2477876106194685	988	68	48	0	111	130	99	0.21532846715328466	21	6	12	3	12	1	1	1	0	0	3	8	930	77	34	0	96	146	78	11	18	9	73
17	17	29	4.557291666666667	941	46	29	0	94	139	108	0.2464749012972363	12	7	10	1	1	3	2	1	0	0	2	7	832	76	34	0	109	116	60	16	10	5	63
18	18	31	4.318181818181818	282	35	26	0	46	40	33	0.3618881118881119	19	2	7	1	0	0	0	2	0	0	2	2	290	27	10	0	50	48	30	12	3	0	31
19	19	31	4.887700534759358	946	93	55	2	133	108	67	0.2382035247299602	30	13	32	6	2	0	1	2	0	0	1	6	813	123	51	0	133	86	29	20	13	0	100
20	20	31	4.546583850931676	756	66	46	0	117	141	53	0.27421875	28	11	16	2	1	0	0	1	0	2	1	4	524	61	18	0	78	86	28	6	9	1	101
21	21	31	3.508849557522124	801	60	39	1	118	110	56	0.2295247724974722	17	12	17	0	1	4	0	2	0	2	1	4	1177	123	48	0	177	194	78	24	29	13	52
22	22	33	4.45398773006135	764	110	65	1	112	70	50	0.22312263641274988	41	8	26	0	0	5	0	9	0	0	2	19	1074	149	68	0	163	146	55	19	17	13	63
23	23	34	4.158415841584159	876	99	58	0	120	137	49	0.2080745341614907	47	7	23	0	0	0	0	3	0	1	0	18	1056	107	56	0	153	192	71	7	15	4	94
24	24	34	4.502463054187191	924	88	65	1	119	148	84	0.22320987654320987	42	4	15	9	0	2	1	6	0	0	1	8	1101	132	52	0	148	191	114	27	18	10	64
25	25	34	4.333333333333333	834	90	55	0	119	113	68	0.22391991570073766	36	10	24	1	1	4	0	3	0	0	0	11	1064	119	48	0	142	105	58	28	28	11	52
