	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	18	1.15	37	0	0	0	1	4	0	0.4318936877076412	0	0	0	0	0	0	0	0	0	0	0	0	204	21	5	0	36	21	13	0	0	0	1
1	1	17	1.2702702702702702	193	5	2	0	9	59	0	0.25608732157850544	0	2	1	0	0	0	0	0	0	0	0	2	849	86	36	0	75	140	82	0	3	0	6
2	2	17	1.2733333333333334	261	9	4	0	15	56	0	0.18422712933753946	1	1	3	0	0	1	0	0	1	0	0	2	1280	129	38	1	208	149	70	1	1	1	12
3	3	17	1.625	18	0	0	0	3	9	0	0.5619834710743802	0	0	0	0	0	0	0	0	0	0	0	0	103	6	2	0	10	18	6	1	1	1	0
4	4	17	1.3602941176470589	268	11	6	0	17	87	4	0.2045303131245836	4	2	0	0	0	0	0	0	0	0	0	5	1215	100	39	0	123	167	95	3	3	1	10
5	5	17	1.6296296296296295	75	1	1	0	4	11	0	0.3467432950191571	1	0	0	0	0	0	0	0	0	0	0	0	348	35	12	0	42	38	19	1	0	0	3
6	6	18	1.3565891472868217	236	6	2	0	12	36	2	0.2316764953664701	2	0	1	0	0	0	0	0	0	0	0	3	848	88	20	0	107	107	47	1	2	1	8
7	7	18	1.5161290322580645	125	3	2	0	3	27	0	0.2493765586034913	1	1	0	0	0	0	0	0	0	0	0	1	542	58	10	0	71	78	44	0	1	0	2
8	8	18	1.380952380952381	40	0	0	0	1	4	0	0.4397905759162304	0	0	0	0	0	0	0	0	0	0	0	0	144	16	5	0	17	13	2	0	0	0	1
9	9	18	1.1578947368421053	71	8	8	0	6	20	0	0.302713987473904	7	1	0	0	0	0	0	0	0	0	0	0	368	33	21	0	43	60	29	0	0	0	6
10	10	18	1.2933333333333332	179	2	0	0	5	28	0	0.2598870056497175	0	0	0	0	0	0	0	0	0	0	0	2	408	34	8	0	42	57	17	0	0	0	5
11	11	18	1.3949579831932772	275	6	6	0	11	43	0	0.25045871559633026	1	3	0	0	0	0	1	1	0	0	0	0	757	87	33	1	93	90	32	5	5	5	-4
12	12	18	1.5324675324675323	148	6	5	0	5	28	0	0.3339882121807465	1	4	1	0	0	0	0	0	0	0	0	0	294	22	4	0	34	42	14	0	3	0	2
13	13	18	1.8979591836734693	116	9	6	0	14	15	1	0.3492063492063492	4	1	1	1	0	0	0	0	0	0	0	2	526	53	22	0	61	80	32	0	0	0	14
14	14	18	1.162790697674419	66	0	0	0	0	32	1	0.3291139240506329	0	0	0	0	0	0	0	0	0	0	0	0	265	15	7	0	32	43	13	0	0	0	0
15	15	18	1.551282051282051	163	10	5	0	16	17	1	0.2873134328358209	2	3	1	0	0	0	0	0	0	0	0	4	401	40	15	0	54	46	9	0	1	0	15
16	16	18	1.4756097560975612	166	3	2	0	11	32	1	0.21680790960451976	2	0	0	0	0	0	0	0	0	0	0	1	702	85	25	0	92	82	28	1	1	0	9
17	17	18	1.5714285714285714	45	0	0	0	2	10	1	0.4040697674418605	0	0	0	0	0	0	0	0	0	0	0	0	243	19	5	0	25	30	12	0	0	0	2
18	18	18	1.7272727272727273	99	3	1	0	6	30	1	0.3431516936671576	0	1	2	0	0	0	0	0	0	0	0	0	349	27	16	0	39	53	17	0	1	0	5
19	19	19	4.666666666666667	29	2	1	0	3	2	0	0.5568181818181818	1	0	0	0	0	0	0	0	0	0	0	1	43	3	0	0	5	3	2	0	0	0	3
20	20	19	1.5483870967741935	58	5	2	0	8	7	2	0.3660130718954248	2	0	1	0	0	0	0	0	0	0	0	2	129	14	5	0	10	15	8	1	0	0	7
21	21	19	1.3731343283582091	155	2	2	0	6	23	0	0.2578222778473092	1	0	0	1	0	0	0	0	0	0	0	0	705	94	47	0	95	84	23	2	0	0	4
22	22	19	1.3770491803278688	126	4	4	0	10	24	1	0.3015021459227468	0	0	0	2	0	1	0	1	0	0	0	0	450	60	28	0	55	52	23	0	0	0	10
23	23	19	1.6288659793814433	233	18	13	0	30	14	1	0.25	6	7	2	0	0	0	0	0	0	0	0	3	481	47	18	0	65	48	24	5	1	1	23
24	24	19	1.25	37	0	0	0	0	3	1	0.5223880597014925	0	0	0	0	0	0	0	0	0	0	0	0	104	9	8	0	10	16	10	0	0	0	0
25	25	19	1.0	11	0	0	0	0	0	0	0.4945054945054945	0	0	0	0	0	0	0	0	0	0	0	0	58	7	5	0	14	7	3	0	0	0	0
26	26	19	1.8271604938271604	199	10	7	1	19	38	2	0.23608316566063045	4	1	0	2	0	0	0	0	0	0	0	3	768	107	48	1	110	111	32	0	1	0	18
27	27	19	1.3	16	0	0	0	0	2	0	0.47200000000000003	0	0	0	0	0	0	0	0	0	0	0	0	109	10	1	0	19	11	6	0	0	0	0
28	28	19	1.8955223880597012	171	9	8	0	8	19	4	0.3143712574850299	3	0	1	5	0	0	0	0	0	0	0	0	278	36	12	0	33	31	13	0	1	0	7
29	29	19	2.175824175824176	279	19	15	0	19	46	4	0.2659758203799655	4	11	1	0	0	0	0	0	0	0	0	3	439	40	10	0	51	52	23	2	3	2	12
30	30	20	1.9104477611940296	188	4	2	0	20	28	1	0.24302134646962234	2	0	0	0	0	0	0	0	0	0	0	2	647	65	21	0	79	78	36	0	2	0	18
31	31	20	1.8703703703703705	144	2	0	0	10	21	1	0.2634186622625929	0	0	0	0	0	0	0	0	0	0	0	2	574	66	22	0	81	59	23	1	0	0	9
32	32	20	2.208333333333333	130	11	6	0	12	18	3	0.3630252100840336	1	1	1	2	0	0	0	0	0	0	2	4	256	23	10	0	24	37	15	3	1	1	7
33	33	20	2.4605263157894743	254	12	8	0	40	30	7	0.22900763358778625	4	3	4	1	0	0	0	0	0	0	0	0	547	53	15	0	66	57	23	1	4	0	35
34	34	20	1.8133333333333328	171	20	14	0	16	17	1	0.26903553299492383	8	6	2	0	0	0	0	0	0	0	0	4	537	60	25	0	80	73	20	2	0	0	14
35	35	21	2.436170212765957	233	24	20	0	42	44	3	0.27218934911242604	17	1	0	1	0	0	1	0	0	0	0	4	475	59	11	0	75	52	20	4	2	0	36
36	36	21	2.698630136986301	219	16	8	0	37	44	7	0.2933070866141732	3	4	2	0	0	0	0	1	0	0	0	6	502	47	24	0	67	73	36	8	3	2	24
37	37	21	2.5255474452554743	762	75	38	0	113	165	7	0.203944203944204	18	14	8	4	1	0	0	1	0	0	0	29	1317	110	42	0	141	175	82	15	13	4	81
38	38	21	2.736842105263158	57	4	2	0	10	12	1	0.5	2	0	0	0	0	0	0	0	0	0	0	2	143	7	3	0	13	21	6	1	2	0	7
39	39	21	2.5526315789473686	102	9	6	0	11	25	1	0.3684210526315789	4	0	2	0	0	0	0	2	0	0	0	1	411	41	18	0	44	53	15	1	0	0	10
40	40	22	2.032258064516129	73	6	1	0	7	11	0	0.4566037735849057	1	0	0	0	0	0	0	0	0	0	0	5	150	16	4	0	22	21	10	0	0	0	7
41	41	22	2.0389610389610393	189	18	6	1	27	18	1	0.321875	1	4	0	0	0	0	0	0	0	0	1	12	353	39	7	0	47	33	18	4	4	2	17
42	42	22	2.057377049180328	283	30	9	0	29	49	1	0.2620889748549323	7	1	9	0	0	0	1	0	0	0	0	12	502	75	22	0	65	56	21	1	1	1	26
43	43	22	2.357142857142857	33	2	1	0	2	8	0	0.5433526011560693	0	0	0	1	0	0	0	0	0	0	0	1	105	13	8	0	16	15	5	0	0	0	2
44	44	22	2.1904761904761907	220	25	20	0	25	37	2	0.2900232018561485	7	8	1	3	2	0	0	0	0	0	0	4	433	49	5	0	49	51	27	2	0	0	23
45	45	22	2.625	22	5	1	0	2	0	0	0.5757575757575758	0	0	0	0	0	0	0	0	0	0	1	4	8	1	0	0	1	1	0	0	0	0	2
46	46	23	2.272058823529412	366	31	15	1	31	46	2	0.20833333333333331	7	5	0	3	0	0	0	0	0	0	0	16	1158	136	43	0	158	117	45	7	3	2	19
47	47	23	2.4615384615384617	227	10	7	0	26	40	4	0.2585034013605442	2	5	2	0	0	0	0	0	0	0	0	1	238	30	5	0	29	29	12	4	1	0	21
48	48	23	2.590909090909091	145	5	4	0	15	19	1	0.2677760968229955	3	0	1	0	0	0	0	1	0	0	0	0	279	26	8	0	47	27	20	3	0	0	12
49	49	23	3.4166666666666665	44	2	0	0	2	6	0	0.4893617021276596	0	0	0	0	0	0	0	0	0	0	0	2	37	5	1	0	4	3	0	2	2	2	-4
50	50	23	2.274074074074074	383	29	24	0	44	43	0	0.21624588364434688	19	3	2	2	0	0	0	0	0	0	0	3	778	82	24	0	84	99	45	10	4	2	28
51	51	23	2.464	382	50	36	0	60	37	6	0.2114441416893733	26	3	3	1	1	1	0	0	0	4	0	11	716	80	40	0	80	64	27	1	5	0	54
52	52	23	3.421686746987952	604	52	36	0	76	89	20	0.2019047619047619	21	7	5	2	1	1	3	1	0	0	0	11	904	106	39	0	125	128	56	4	10	0	62
53	53	23	3.1309523809523814	287	33	19	0	44	29	1	0.2479338842975207	7	8	2	1	1	0	2	0	0	0	0	12	594	86	25	0	79	64	25	6	8	4	26
54	54	24	3.2843137254901964	350	37	26	0	62	39	6	0.24922760041194644	20	3	5	0	0	2	0	1	0	0	0	6	381	54	20	0	53	42	19	4	1	0	57
55	55	24	2.92	80	16	14	0	15	11	2	0.40828402366863903	13	0	0	0	0	0	0	0	0	0	1	2	71	12	4	0	8	6	3	0	0	0	15
56	56	24	2.9398496240601504	444	44	30	0	66	62	11	0.232409381663113	26	3	3	0	0	0	0	1	0	0	0	11	366	46	13	0	44	48	17	5	8	2	51
57	57	24	3.326530612244898	213	24	18	0	20	36	3	0.3033381712626996	17	1	5	0	0	0	0	0	0	0	0	1	432	41	8	0	43	67	20	2	0	0	18
58	58	24	3.45945945945946	313	38	26	1	47	33	1	0.20873362445414848	22	1	0	2	0	0	0	1	0	0	0	12	832	124	38	0	132	87	30	8	5	4	30
59	59	24	2.433333333333333	103	16	8	1	17	10	1	0.3433583959899749	4	3	0	1	0	0	0	0	0	0	0	8	296	36	8	0	39	33	15	0	0	0	17
60	60	24	2.4242424242424243	176	18	15	0	12	28	1	0.22880371660859464	11	3	0	0	0	0	1	0	0	0	0	3	470	44	11	0	39	51	20	0	1	0	11
61	61	24	2.5906040268456376	480	70	44	1	76	44	1	0.21912013536379016	33	6	6	5	0	0	0	0	0	0	0	20	640	82	30	0	84	78	27	4	7	1	64
62	62	24	3.171875	226	26	16	0	26	26	4	0.25862068965517243	12	4	3	0	0	0	0	0	0	0	0	7	290	46	19	0	32	28	8	9	7	1	9
