	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	27	2.8872180451127814	372	23	5	0	70	110	20	0.16605166051660514	2	0	0	0	0	0	0	2	0	0	1	18	1504	173	45	0	208	234	65	20	17	6	27
1	1	28	2.964028776978417	425	39	7	0	83	74	12	0.1445228597729365	3	1	0	0	2	0	0	0	0	0	1	32	2684	367	127	0	393	309	128	19	17	5	42
2	2	28	3.633333333333333	427	35	9	0	82	84	21	0.15609348914858096	1	0	2	1	6	0	0	0	1	0	0	24	1955	238	88	1	293	259	126	18	18	11	35
3	3	28	2.9565217391304346	493	25	9	0	86	90	27	0.14476763624205952	6	0	0	0	1	0	0	0	0	0	2	16	2449	301	100	0	372	277	121	11	10	0	65
4	4	28	2.849624060150376	380	29	10	0	58	100	24	0.14673581452104942	2	0	1	0	2	0	1	1	0	0	4	18	2821	356	134	0	427	380	152	8	11	5	34
5	5	29	3.4782608695652173	508	42	30	4	71	91	32	0.14982057416267944	18	1	0	2	7	0	0	0	0	0	2	12	2796	350	117	2	389	304	117	7	11	1	52
6	6	29	3.5419354838709682	570	46	34	3	84	98	42	0.15547299228350958	11	0	1	5	9	0	2	1	0	1	5	11	2817	365	187	1	398	301	130	8	18	1	57
7	7	29	3.6223776223776234	510	42	24	0	87	96	45	0.15667915106117353	14	3	1	1	5	0	0	0	0	1	0	17	2633	344	162	0	362	337	161	17	12	4	54
8	8	30	3.3517241379310345	489	31	14	1	62	84	38	0.17776886035313005	7	2	3	0	3	0	0	0	0	1	1	14	1945	223	81	1	246	246	116	4	15	1	42
9	9	30	4.095541401273885	652	92	54	2	104	90	32	0.13934426229508196	33	6	8	11	1	0	0	1	0	2	0	30	2806	359	174	0	390	258	106	6	11	2	85
10	10	31	4.649350649350651	690	82	50	0	112	95	43	0.13730314960629922	20	4	11	15	0	0	2	3	0	3	3	21	3310	453	236	0	494	343	203	24	16	0	72
11	11	32	4.853260869565218	832	101	71	2	135	116	71	0.13174273858921162	20	4	11	33	2	0	5	4	0	1	2	19	2034	254	133	1	283	233	147	20	21	3	91
12	12	32	5.705263157894738	1019	168	90	3	170	133	81	0.12571428571428572	52	14	34	12	3	0	2	3	0	0	4	44	2780	419	184	3	418	283	166	37	18	7	108
13	13	33	5.201086956521738	931	116	87	1	158	103	48	0.1380255941499086	19	6	8	40	9	0	2	5	0	1	5	21	2347	293	168	1	317	260	122	26	19	3	110
14	14	33	5.247706422018347	564	61	40	0	66	85	50	0.17656090071647898	19	1	11	8	1	1	2	2	0	0	6	10	1390	165	88	0	180	154	68	14	5	2	45
15	15	34	4.714285714285714	402	40	30	0	59	72	33	0.2021952628538417	15	0	3	3	3	1	4	2	0	1	1	7	1314	153	87	0	181	157	81	27	8	5	19
16	16	36	6.877906976744187	1136	159	121	2	161	144	58	0.13206247129076712	93	10	27	5	0	1	1	8	2	1	0	11	3216	421	180	1	460	368	133	31	19	1	110
17	17	36	5.564285714285713	752	110	69	0	113	101	33	0.15899122807017546	18	2	25	15	11	2	5	9	1	5	1	16	1980	292	162	1	277	240	91	25	18	6	64
18	18	38	4.601190476190476	750	98	70	0	108	115	49	0.15386887182516246	44	1	16	7	8	0	2	7	0	1	0	12	2636	342	164	0	349	313	142	31	24	4	49
19	19	39	5.148351648351649	879	121	91	0	128	88	39	0.14041850220264318	37	4	16	15	18	1	1	8	0	4	3	14	2746	388	211	1	393	284	112	28	23	0	77
20	20	39	5.120967741935483	624	93	35	0	93	69	27	0.16126384899466556	21	4	31	6	1	0	0	2	0	0	1	27	1588	243	100	2	219	158	69	31	12	7	43
21	21	39	5.699300699300699	774	106	80	0	111	100	34	0.14628368374296713	26	4	9	26	3	0	1	13	0	3	4	17	2310	262	144	0	299	265	123	45	13	3	50
22	22	40	3.9251700680272115	576	82	47	0	72	72	39	0.1494871794871795	19	4	14	13	2	0	0	5	0	3	1	21	2879	363	166	1	419	310	153	11	5	2	54
23	23	40	8.513698630136986	1161	168	95	0	158	144	73	0.1382053194133731	45	3	36	13	5	0	0	12	1	9	7	37	2318	290	150	1	305	245	98	51	21	3	83
24	24	41	6.964912280701754	742	110	73	0	122	84	39	0.1518542199488491	52	0	17	7	7	0	1	2	0	4	0	20	1846	237	123	1	245	175	88	33	24	9	56
25	25	41	6.2	810	107	62	0	97	110	38	0.15472703062583226	36	4	17	3	0	1	0	9	0	6	3	28	2607	311	127	0	345	283	159	61	22	4	10
26	26	41	5.974025974025973	850	117	79	0	138	117	52	0.14417101665423812	38	5	16	10	3	0	1	10	0	8	4	22	2714	342	170	1	372	292	119	40	21	2	75
27	27	43	10.08843537414966	1337	191	133	0	202	164	86	0.14285714285714285	36	5	34	28	15	19	1	8	2	12	7	24	2168	279	168	1	315	230	110	81	39	10	72
28	28	43	7.529411764705883	1329	168	95	0	168	134	38	0.14537902388369678	48	6	46	11	1	3	1	8	0	11	6	27	1767	202	88	1	222	182	74	36	10	6	116
29	29	44	8.067357512953368	1465	202	134	0	218	176	83	0.12777875021879925	72	6	32	15	4	5	4	19	4	5	0	36	3647	456	201	1	489	392	192	68	26	7	117
30	30	44	8.719424460431657	1134	134	71	1	151	113	52	0.14401008827238335	16	5	44	17	3	2	0	11	0	15	2	19	1869	219	138	0	253	225	104	41	22	3	85
31	31	45	6.825503355704697	975	121	82	1	104	121	52	0.15384615384615385	38	3	21	14	8	3	2	8	1	5	0	18	2683	340	200	1	347	287	113	31	7	3	63
32	32	46	5.6891891891891895	804	91	45	0	109	89	44	0.1418769909335947	28	2	24	10	2	0	1	0	0	1	1	22	2508	334	187	1	356	239	110	24	15	6	64
33	33	46	6.3081761006289305	944	138	93	0	132	131	65	0.1455885740612762	50	6	13	9	2	0	0	15	0	8	3	32	2606	314	130	1	342	299	131	51	17	4	60
34	34	47	5.4236453201970445	1031	117	79	0	128	138	56	0.13459092835947434	45	5	23	2	0	0	0	15	0	11	1	15	2903	355	191	0	397	358	151	32	12	6	78
35	35	47	6.906474820143885	883	137	106	0	136	127	53	0.15132496513249652	56	9	15	12	9	1	0	9	1	6	3	16	2745	361	193	1	402	282	109	29	15	1	91
36	36	48	5.897810218978102	748	118	85	0	114	73	35	0.1742504409171076	43	5	14	9	0	6	3	4	0	6	9	19	2072	281	112	0	280	196	99	34	11	2	67
37	37	49	5.469072164948454	941	113	75	0	155	149	58	0.16750659947204224	39	2	19	3	1	0	1	20	0	3	6	19	3219	388	181	0	423	414	162	55	24	5	71
38	38	49	8.913461538461537	794	118	75	0	119	126	50	0.18660090423345665	33	5	12	1	1	0	1	15	1	14	4	31	1608	238	115	2	222	197	91	68	13	2	36
39	39	49	7.278571428571428	925	135	95	0	151	143	55	0.17800000000000002	51	2	16	15	9	0	0	5	0	7	6	24	2047	274	136	0	297	249	102	42	13	3	93
40	40	50	6.377952755905513	769	95	67	0	92	135	49	0.16108497093827845	29	5	16	7	1	0	0	6	0	11	8	12	2822	356	205	1	375	335	118	28	13	1	50
41	41	50	8.269736842105264	1197	155	99	0	177	156	61	0.15306122448979592	33	4	45	25	8	0	0	3	0	15	11	11	2424	298	183	0	322	278	93	28	19	5	125
42	42	51	9.198347107438016	1009	120	76	0	142	112	67	0.16005361930294906	47	8	26	4	1	4	1	8	0	1	2	18	2698	347	164	0	369	332	146	45	16	7	74
43	43	51	7.596638655462184	869	104	58	0	101	124	58	0.16469321851453175	22	4	22	10	3	0	0	9	0	9	1	24	2847	385	184	1	377	344	134	29	14	4	54
44	44	52	8.825	993	117	66	0	123	105	43	0.16071428571428573	23	3	32	20	2	0	0	3	0	9	6	19	2578	342	201	1	341	292	122	28	19	4	72
45	45	53	5.875	854	104	70	0	123	108	45	0.1887953367875648	28	6	20	14	4	0	0	6	2	6	4	14	2211	276	159	1	292	256	112	36	8	4	75
46	46	53	7.837606837606838	934	108	65	1	121	100	47	0.18035068188143613	36	5	18	12	2	0	1	0	0	7	2	25	2643	318	161	0	334	303	99	34	15	8	64
47	47	54	9.25	1167	167	121	0	150	123	71	0.16308724832214766	61	2	18	23	6	2	3	5	0	15	4	28	2851	381	213	0	358	322	135	58	21	9	62
48	48	55	10.214814814814817	1313	177	106	0	176	134	59	0.1685671789786812	53	4	34	23	2	7	1	7	0	5	4	37	2560	293	155	0	299	298	117	63	28	5	80
