	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	15	2.2857142857142856	68	5	5	0	0	2	0	0.3161764705882353	0	5	0	0	0	0	0	0	0	0	0	0	340	36	13	0	45	65	14	0	0	0	0
1	1	19	1.5502645502645502	747	17	13	0	35	237	9	0.15558823529411764	1	6	2	2	0	0	0	0	0	4	0	2	1543	94	36	1	184	299	127	12	10	10	3
2	2	20	1.637931034482759	271	3	3	0	37	85	5	0.20753138075313807	3	0	0	0	0	0	0	0	0	0	0	0	924	83	31	0	113	181	63	7	22	7	1
3	3	20	1.3017241379310345	197	1	0	0	9	89	2	0.26458752515090544	0	0	0	0	0	0	0	0	0	0	0	1	105	6	3	0	9	36	3	4	7	4	-6
4	4	21	1.825	101	0	0	0	30	22	0	0.30612244897959184	0	0	0	0	0	0	0	0	0	0	0	0	117	13	1	0	17	11	7	3	9	3	15
5	5	21	1.75	62	0	0	0	19	23	2	0.4036697247706422	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	2	2	3	2	19	2	-4
6	6	21	1.8823529411764703	64	1	1	0	11	31	2	0.4076433121019109	1	0	0	0	0	0	0	0	0	0	0	0	93	9	1	0	19	15	6	1	0	0	10
7	7	22	2.0	38	0	0	0	5	20	0	0.4299065420560748	0	0	0	0	0	0	0	0	0	0	0	0	69	6	0	0	15	9	1	2	2	2	-1
8	8	22	1.8492063492063493	288	18	5	0	53	69	0	0.2444658325312801	5	0	1	0	0	0	0	0	0	0	0	12	554	57	26	1	75	70	24	4	20	4	25
9	9	22	1.8859649122807016	281	5	4	0	39	100	1	0.23212627669452185	4	0	0	0	0	0	0	0	0	0	0	1	796	74	19	0	85	131	51	1	16	1	21
10	10	22	1.9	367	2	0	0	68	160	3	0.18904899135446687	0	0	0	0	0	0	0	0	0	0	0	2	1368	107	29	0	164	246	109	6	30	1	31
11	11	22	1.8728813559322035	387	48	21	0	55	123	0	0.19224806201550387	21	0	1	0	0	0	0	0	0	0	0	26	903	69	26	0	92	185	91	5	13	3	34
12	12	22	1.819047619047619	278	30	16	0	32	61	2	0.2528	14	2	0	0	0	0	0	0	0	0	0	14	106	15	3	0	19	13	5	0	8	0	24
13	13	23	2.384	345	36	9	0	47	53	4	0.2619324796274738	9	0	2	0	0	0	0	0	0	0	0	25	182	11	1	0	21	33	12	0	9	0	38
14	14	23	1.958477508650519	816	99	51	0	124	206	17	0.18813468733297706	51	0	0	0	0	0	0	0	0	0	0	48	611	70	12	0	81	86	41	7	12	0	105
15	15	23	2.091836734693877	260	9	6	0	22	79	10	0.2951167728237792	6	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	4	6	4	8
16	16	23	2.048780487804878	117	7	4	0	25	28	0	0.36046511627906974	4	0	0	0	0	0	0	0	0	0	0	3	55	4	1	0	13	11	4	3	4	0	18
17	17	23	1.9130434782608696	167	3	0	0	13	70	1	0.2901234567901235	0	0	0	0	0	0	0	0	0	0	0	3	41	0	0	0	1	11	9	0	1	0	12
18	18	23	2.3181818181818183	291	16	8	0	43	83	9	0.2698907956318253	6	0	0	0	0	0	0	0	0	0	2	8	345	22	4	0	30	84	34	3	13	3	24
19	19	23	2.3015873015873014	386	35	22	0	80	85	15	0.24362244897959184	20	0	0	2	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	16	36	6	22
20	20	23	2.3688524590163933	346	24	13	0	63	62	17	0.2460136674259681	13	0	0	0	0	0	0	0	0	0	0	11	122	13	1	0	19	14	6	8	23	2	30
21	21	23	2.5948275862068964	400	68	27	0	73	49	11	0.1997792494481236	24	3	0	0	0	0	0	0	0	0	0	41	148	21	3	0	12	18	9	7	19	2	45
22	22	23	2.9655172413793105	592	56	27	0	131	141	26	0.1968174204355109	23	0	2	4	0	0	0	0	0	0	0	27	392	44	11	0	49	63	23	18	42	10	61
23	23	23	2.34375	279	27	22	0	62	55	5	0.24629878869448185	21	0	0	0	0	0	0	0	0	0	1	5	434	52	13	0	54	51	31	3	19	2	38
24	24	23	2.5188679245283017	446	59	27	0	81	81	12	0.1963519313304721	26	1	0	0	0	0	0	0	0	0	0	32	126	21	4	0	21	17	6	4	2	0	75
25	25	23	2.6153846153846154	88	7	2	0	15	23	3	0.2748815165876777	1	0	0	0	0	0	0	0	0	1	0	5	123	12	5	0	7	19	10	0	5	0	10
26	26	24	2.386363636363636	184	33	10	0	51	31	1	0.24296675191815856	10	0	0	0	0	0	0	0	0	0	0	23	50	10	1	0	11	6	2	3	11	1	36
27	27	24	2.26530612244898	149	23	12	0	23	35	1	0.3049792531120332	12	0	1	0	0	0	0	0	0	0	0	10	108	9	0	0	13	21	9	5	5	0	13
28	28	24	2.712121212121212	262	6	4	0	42	97	20	0.2425531914893617	4	0	0	0	0	0	0	0	0	0	0	2	47	2	0	0	2	10	7	6	16	3	17
29	29	24	3.2307692307692313	273	25	11	0	62	38	1	0.2316890881913304	0	1	0	10	0	0	0	0	0	0	0	14	361	21	5	0	36	69	40	20	14	6	22
30	30	24	2.6328125	478	46	18	0	100	105	3	0.1945945945945946	17	1	13	0	0	0	0	0	0	0	0	15	632	80	20	0	85	87	35	18	23	0	59
31	31	24	2.471264367816092	292	41	12	0	47	79	3	0.2479908151549943	11	1	7	0	0	0	0	0	0	0	0	22	115	14	8	0	17	16	9	6	11	1	29
32	32	24	2.770833333333333	306	42	13	0	70	62	0	0.21933387489845652	13	0	10	0	0	0	0	0	0	0	0	19	565	68	14	0	88	78	35	10	15	4	41
