	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	30	3.1128404669260696	801	8	5	0	100	171	73	0.17603305785123968	0	0	0	0	0	0	1	0	0	0	4	3	1439	116	48	1	184	270	121	5	10	1	84
1	1	30	3.1286201022146507	3642	77	19	0	414	962	338	0.1086921069797782	6	2	2	2	1	0	0	5	0	0	3	56	7025	538	169	2	704	1237	530	80	127	40	167
2	2	30	3.6184486373165616	1756	51	7	0	214	386	207	0.129585326953748	0	1	1	0	3	0	2	0	0	0	1	43	2903	304	115	2	370	456	176	41	44	14	115
3	3	30	4.049140049140049	1707	24	6	0	141	333	245	0.1415301882180396	4	0	0	0	0	0	1	0	0	1	0	18	2330	169	48	2	233	430	226	25	32	12	72
4	4	30	4.069852941176471	1169	12	4	0	91	202	98	0.16591002888980602	3	1	1	0	0	0	0	0	0	0	0	7	1254	125	48	0	119	234	127	9	33	7	42
5	5	30	3.766101694915254	1138	10	2	0	73	248	133	0.17011070110701107	1	0	0	0	0	0	0	0	0	0	1	8	1572	90	34	1	132	351	197	8	31	4	30
6	6	30	3.5163934426229506	437	9	4	0	50	99	44	0.20643806857942615	1	0	0	0	3	0	0	0	0	0	0	5	963	85	39	0	116	140	80	11	19	4	16
7	7	31	3.7643678160919536	751	26	25	0	100	167	28	0.1536697247706422	15	4	1	0	1	0	0	5	0	0	0	0	1804	149	89	1	214	371	165	2	6	1	91
8	8	31	3.5698324022346366	690	9	7	0	47	152	37	0.20941176470588235	2	1	0	0	0	0	2	0	0	0	2	2	1010	53	29	0	77	232	117	8	21	1	17
9	9	31	3.7643678160919536	751	26	25	0	97	169	28	0.1536697247706422	15	4	1	0	1	0	0	5	0	0	0	0	1804	149	89	1	213	371	165	2	6	1	88
10	10	31	3.603351955307263	690	9	7	0	47	152	37	0.20941176470588235	2	1	0	0	0	0	2	0	0	0	2	2	1010	53	29	0	70	232	117	8	21	1	17
11	11	31	3.6219931271477663	4445	82	33	0	487	1121	398	0.09444676409185804	16	5	1	3	1	1	2	4	0	0	1	48	6918	578	214	0	806	1238	489	30	106	10	341
12	12	31	3.68	1172	21	13	0	168	288	83	0.15397396842979785	7	3	0	0	1	0	1	1	0	0	0	8	2095	191	57	0	255	337	113	8	18	1	141
