	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	24	2.253781512605042	1483	17	2	0	139	592	68	0.08201058201058199	0	0	1	2	0	0	0	0	0	0	0	14	3809	309	104	0	392	732	399	5	41	4	89
1	1	24	2.401496259351621	1081	17	4	0	83	363	77	0.12014725568942435	0	0	2	0	4	0	0	0	0	0	0	11	1907	178	69	0	233	363	227	14	20	14	35
2	2	24	2.9100719424460437	1781	18	8	0	180	718	139	0.09135004042037187	4	0	1	1	2	0	1	0	0	0	0	9	3167	261	103	2	314	663	432	11	67	6	96
3	3	24	2.539525691699605	1371	27	8	0	161	510	70	0.10869565217391304	0	1	0	0	7	0	0	0	0	0	0	19	3459	329	144	3	348	659	352	4	93	3	61
4	4	24	2.6743295019157087	850	39	12	0	93	215	66	0.10852713178294572	2	0	1	0	0	0	7	1	0	2	0	26	2075	254	85	1	264	285	167	3	23	2	65
5	5	25	2.5217391304347827	575	22	3	0	51	164	33	0.1547085201793722	1	0	0	0	2	0	0	0	0	0	0	19	782	93	23	0	97	101	45	2	9	1	39
6	6	25	2.67	1698	68	18	1	182	467	128	0.1090015635470181	1	2	6	0	13	0	1	0	0	0	1	44	2779	332	136	2	365	469	250	23	27	2	130
7	7	25	2.4504950495049505	1209	43	27	3	101	294	85	0.11329681274900398	2	7	5	0	18	0	0	0	0	0	0	11	2309	249	97	0	296	305	150	3	27	2	69
8	8	25	2.912568306010929	1841	143	100	0	259	385	105	0.09618911758712044	69	19	17	1	8	0	0	1	0	2	0	26	2796	318	117	3	310	497	320	19	42	6	192
9	9	26	2.959910913140312	1589	109	77	0	168	381	139	0.09388145315487573	50	8	15	2	17	0	0	0	0	0	0	17	3641	474	162	3	503	535	289	15	20	1	132
10	10	26	2.9958158995815896	1616	114	77	1	216	370	116	0.0923560984638164	25	7	27	21	16	0	6	1	0	0	1	10	3787	459	204	2	470	551	295	3	35	1	177
11	11	26	3.4246575342465757	1964	228	168	6	264	443	176	0.09881271543469937	49	6	48	36	9	3	60	1	0	0	4	12	3258	390	180	2	426	546	311	25	65	7	167
12	12	26	3.224719101123596	1880	141	119	13	268	394	203	0.09058644583403752	38	5	10	33	17	0	21	3	0	0	2	12	4037	506	281	0	441	567	314	34	56	7	171
13	13	27	3.523992322456814	1954	179	118	3	287	377	142	0.0974949221394719	59	24	48	7	8	0	13	3	0	0	4	13	3954	574	274	5	553	498	250	22	59	6	200
14	14	27	3.98109243697479	1949	144	102	0	240	429	224	0.0928714859437751	42	24	30	12	14	0	1	3	0	4	2	12	4027	487	252	4	476	601	366	15	56	6	163
15	15	27	4.517578125	2437	209	147	5	291	486	232	0.08985459892174481	59	17	49	10	8	0	48	1	0	2	2	13	3684	435	204	0	420	600	341	12	55	7	217
16	16	28	3.897887323943662	2287	219	147	0	335	429	180	0.09496910856134157	95	18	50	11	19	0	2	1	0	0	1	22	3378	383	185	1	409	572	300	10	28	5	292
17	17	28	4.222707423580786	2019	239	143	1	315	384	167	0.0963466440101954	81	7	51	9	18	1	18	7	0	1	1	45	3866	517	245	4	510	594	276	15	47	11	242
18	18	28	3.46726862302483	1644	145	106	1	174	349	169	0.10213023115274213	68	17	13	4	5	0	4	3	0	4	1	26	4594	509	208	4	556	712	389	9	25	3	137
19	19	28	3.4285714285714284	612	90	54	3	92	111	53	0.16409163558870538	32	8	15	5	0	0	9	0	0	0	0	21	1265	214	71	1	196	156	86	5	5	3	79
20	20	29	3.5870967741935487	589	75	48	0	85	117	35	0.15253456221198156	36	6	10	2	3	0	0	0	0	0	1	17	1500	211	67	0	205	235	88	3	3	1	78
21	21	29	3.4641638225255966	2145	208	139	0	245	384	170	0.09149749926448957	76	19	32	9	11	0	5	4	0	7	8	37	4653	625	228	4	616	624	332	14	51	6	174
22	22	30	3.727941176470588	2169	255	198	4	270	332	172	0.10422267910801834	106	22	34	15	7	3	24	3	0	13	5	23	4154	532	231	3	500	569	273	35	49	4	182
23	23	30	4.302103250478012	2220	216	181	4	319	394	184	0.1121433311214333	57	20	18	32	26	1	27	3	0	12	3	17	3808	510	314	8	440	594	266	54	61	15	189
24	24	30	4.273921200750469	2307	230	190	15	278	443	219	0.10370981038746907	28	10	15	44	21	2	53	9	0	19	4	25	3758	482	282	4	447	561	289	30	58	5	185
25	25	30	3.9637826961770624	2053	233	202	3	239	371	208	0.10199882422104643	107	16	15	17	18	1	25	0	0	10	8	16	4751	565	293	2	577	717	390	18	24	3	194
26	26	30	4.291139240506328	2029	258	205	31	274	370	146	0.10069131349564173	68	11	19	9	6	2	86	0	3	9	11	34	4625	644	336	6	546	628	318	36	50	8	180
