	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	27	3.2617449664429534	460	24	22	0	65	110	52	0.17208182912154033	4	0	0	6	0	2	0	0	0	10	0	2	0	0	0	0	0	0	0	16	28	3	18
1	1	27	2.984848484848485	211	8	8	0	17	54	34	0.2857142857142857	6	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	5	11	4	-3
2	2	29	3.4090909090909087	151	11	9	0	20	32	10	0.2600950118764845	6	1	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	19
3	3	29	3.5891089108910887	744	79	71	0	102	129	54	0.1377899045020464	64	1	0	1	0	0	0	4	0	1	0	8	0	0	0	0	0	0	0	9	16	0	77
4	4	30	4.018087855297158	1538	154	120	0	207	234	96	0.1244692144373673	96	6	22	9	0	0	1	2	0	6	0	12	0	0	0	0	0	0	0	22	49	9	127
5	5	30	4.069672131147541	1035	140	100	0	156	157	65	0.13517606967057932	69	20	10	0	0	3	0	7	0	1	0	30	0	0	0	0	0	0	0	22	19	7	108
6	6	30	5.223809523809524	1074	123	82	1	181	145	97	0.14502332814930016	58	5	8	11	2	0	0	0	0	2	4	33	32	0	0	0	3	6	1	50	38	21	72
7	7	30	5.139784946236558	1025	79	61	1	110	169	118	0.14021421616358326	31	0	4	22	2	1	0	1	0	4	0	14	0	0	0	0	0	0	0	27	31	6	46
8	8	31	4.92948717948718	762	72	40	0	133	135	61	0.1776379477250726	21	3	4	12	1	0	1	0	0	2	0	28	0	0	0	0	0	0	0	23	22	3	85
9	9	31	5.137931034482759	1022	128	71	0	153	161	69	0.1682403433476395	43	1	21	13	0	0	0	9	0	5	0	36	0	0	0	0	0	0	0	29	17	5	102
10	10	32	4.154320987654321	705	63	45	0	102	76	38	0.17040769583142465	30	2	7	4	2	1	1	2	1	1	1	11	0	0	0	0	0	0	0	9	25	2	66
11	11	33	4.972222222222221	864	67	51	0	131	108	53	0.15539383561643835	33	3	4	4	3	1	2	2	0	2	1	12	0	0	0	0	0	0	0	23	19	7	82
12	12	33	4.4804469273743015	819	83	56	0	129	109	35	0.20721153846153847	24	4	4	15	3	1	0	4	0	5	0	23	632	61	22	0	81	89	33	18	29	2	80
13	13	33	6.0295857988165675	997	113	85	0	121	131	62	0.14186217008797655	50	9	4	14	1	0	1	3	0	3	4	24	0	0	0	0	0	0	0	41	21	2	57
14	14	34	5.267543859649122	1205	93	76	1	143	168	78	0.14519829564077352	47	1	8	10	4	0	1	6	0	6	1	9	0	0	0	0	0	0	0	55	17	2	69
15	15	34	4.798611111111111	777	64	50	0	73	115	42	0.15173674588665448	35	10	5	0	0	0	0	0	0	3	2	9	0	0	0	0	0	0	0	13	12	3	45
16	16	36	5.0101010101010095	532	59	43	0	56	82	21	0.1921397379912664	29	2	8	2	0	0	0	1	0	3	6	8	60	6	4	0	7	8	1	6	5	0	45
17	17	37	5.462264150943396	616	86	66	0	91	48	26	0.18840579710144928	50	5	9	1	0	3	0	0	0	4	3	11	702	82	21	0	89	82	39	23	9	0	59
18	18	38	7.5947136563876665	1662	189	124	0	229	245	91	0.15746971736204576	52	3	34	38	2	3	0	6	0	15	5	31	0	0	0	0	0	0	0	44	16	5	164
19	19	39	6.021551724137932	1395	132	82	0	195	218	96	0.16106442577030813	42	6	26	14	5	0	0	2	0	10	3	24	0	0	0	0	0	0	0	28	41	4	122
20	20	39	7.109523809523809	1499	165	102	0	185	222	115	0.1601423487544484	57	30	28	2	0	3	1	1	1	3	4	35	0	0	0	0	0	0	0	74	15	5	91
21	21	41	7.024154589371982	1441	166	92	0	169	192	72	0.14056098329656475	58	13	43	4	0	3	2	4	0	6	2	31	0	0	0	0	0	0	0	35	16	4	114
22	22	41	8.65	1680	196	117	0	232	195	97	0.13179916317991633	75	7	51	9	5	0	0	9	0	8	4	28	0	0	0	0	0	0	0	32	23	11	166
23	23	42	11.065656565656566	2005	209	150	2	248	295	211	0.15103492884864167	67	5	18	49	2	3	0	4	0	12	8	41	726	71	39	0	89	124	71	134	50	22	42
24	24	43	11.966442953020135	1695	173	99	0	199	239	91	0.1637271214642263	52	3	42	24	3	2	2	9	0	3	1	32	0	0	0	0	0	0	0	66	33	8	92
25	25	45	7.2659574468085095	686	65	41	0	75	89	47	0.182370820668693	22	2	11	10	0	0	0	4	0	3	0	13	0	0	0	0	0	0	0	16	11	1	47
26	26	46	7.980769230769232	1620	214	130	2	223	149	63	0.14017800381436746	85	8	38	2	0	1	2	6	5	12	9	46	0	0	0	0	0	0	0	45	19	6	153
27	27	46	10.113300492610838	2016	171	106	0	232	210	139	0.15227342081171805	63	5	22	12	15	0	0	4	0	5	2	43	225	28	9	0	27	32	15	42	19	3	168
28	28	46	9.33695652173913	1783	200	99	0	227	206	106	0.14688300597779674	45	11	39	5	3	11	19	4	0	1	0	62	0	0	0	0	0	0	0	50	18	7	152
29	29	47	6.812977099236642	1818	155	89	1	178	190	108	0.14117316867808027	45	5	24	15	5	6	4	4	0	1	4	42	0	0	0	0	0	0	0	45	27	6	100
30	30	47	5.506607929515418	1321	133	109	0	155	174	72	0.16474863718958208	70	2	8	15	2	1	1	6	0	9	3	16	0	0	0	0	0	0	0	22	24	2	107
31	31	48	5.509933774834436	891	108	80	0	114	103	28	0.16125725999316706	52	9	15	9	2	4	3	1	0	0	0	13	0	0	0	0	0	0	0	29	18	5	62
32	32	50	8.436974789915968	1981	197	118	0	254	200	100	0.14042553191489365	77	12	33	0	1	0	3	12	0	8	5	46	74	8	2	0	8	11	6	74	24	12	144
33	33	50	9.313636363636364	1937	263	113	0	276	221	90	0.12928123492522914	62	10	58	0	1	9	9	10	0	10	2	92	0	0	0	0	0	0	0	64	55	14	143
