	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	1.0	0.0	0	0	0	0	0	0	0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1	16.0	1.9838709677419355	344	29	23	0	29	21	2	0.228641975308642	15	3	5	0	0	0	0	1	0	0	4	1	299	37	27	0	50	33	18	0	1	0	28
2	2	16.0	1.8646616541353385	336	22	17	0	24	46	4	0.23992068737607405	11	3	4	0	0	0	0	1	0	0	2	1	63	14	7	0	12	14	6	1	0	0	23
3	3	17.0	1.7070707070707067	255	12	10	0	12	22	4	0.22451994091580504	9	0	1	0	0	0	0	0	0	0	1	1	494	69	52	0	59	42	26	0	0	0	12
4	4	17.0	1.7906976744186047	112	5	4	0	6	12	2	0.3059701492537313	3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
5	5	18.0	2.268292682926829	470	47	22	0	57	50	8	0.1790744466800805	17	4	19	0	0	0	0	1	0	0	0	6	245	33	21	0	33	24	11	8	4	2	43
6	6	18.0	2.086021505376344	298	19	11	0	21	33	3	0.2216673069535152	8	2	5	1	0	0	0	0	0	0	0	3	783	94	55	1	88	113	58	2	2	1	16
7	7	28.0	4.486111111111111	390	48	22	0	92	33	11	0.2278481012658228	15	6	20	0	0	1	0	0	0	0	0	6	332	57	47	0	41	31	13	21	12	5	54
8	8	29.0	3.6439393939393936	533	59	35	0	91	65	18	0.21313506815365552	30	3	9	0	2	0	0	0	0	0	0	15	43	9	5	0	6	4	4	12	8	1	70
9	9	29.0	3.772151898734177	613	60	36	0	110	98	9	0.22238918106686706	27	7	8	0	0	0	0	0	0	2	0	16	223	28	8	0	40	26	11	20	12	5	73
10	10	30.0	3.6853932584269664	375	42	34	0	53	35	7	0.20600500417014175	21	6	7	2	1	0	0	0	0	3	1	1	20	0	0	0	2	2	0	11	6	0	36
11	11	31.0	3.782608695652174	928	127	77	0	118	100	28	0.16090331686661966	54	13	38	7	1	0	0	0	0	2	0	12	240	39	17	0	34	18	9	11	15	0	92
12	12	31.0	4.52803738317757	1046	169	116	0	183	148	36	0.16926406926406926	81	8	32	14	9	1	0	1	0	0	2	21	140	27	13	0	26	17	6	43	40	11	89
13	13	31.0	4.336065573770491	548	71	49	0	95	95	16	0.20559531554977228	33	4	11	7	4	0	0	1	0	0	0	11	51	5	4	0	8	7	2	13	14	2	66
14	14	31.0	3.728155339805826	367	56	38	0	62	67	21	0.30959302325581395	31	4	13	2	0	0	0	0	0	1	0	5	75	4	3	0	6	13	8	7	5	2	48
15	15	31.0	4.551724137931036	149	10	6	0	16	23	5	0.3450980392156863	5	1	4	0	0	0	0	0	0	0	0	0	106	9	1	0	11	17	6	1	3	0	12
16	16	31.0	4.141935483870967	764	66	45	0	85	94	24	0.15149225538345296	25	13	9	4	0	1	0	0	0	2	0	12	187	22	3	0	23	16	3	28	14	12	31
17	17	31.0	3.4335664335664338	687	70	46	0	60	55	10	0.14743589743589744	32	5	15	5	4	0	0	0	0	0	0	9	2	0	0	0	0	0	0	10	7	1	42
18	18	31.0	3.7766990291262137	485	48	40	0	50	56	20	0.17925793473401874	21	9	6	6	4	0	0	0	0	0	0	2	416	68	30	0	63	44	18	11	2	0	37
19	19	32.0	5.727272727272728	183	26	18	0	27	27	5	0.4626334519572954	14	2	2	1	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	4	3	2	18
