	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	27	2.01980198019802	235	6	6	0	15	51	38	0.2380952380952381	5	0	0	0	0	1	0	0	0	0	0	0	267	14	5	0	14	25	12	3	0	0	12
1	1	27	2.0700389105058368	582	23	23	1	42	174	69	0.18682891911238367	21	0	0	2	0	0	0	0	0	0	0	0	755	45	4	0	65	113	66	6	4	2	30
2	2	28	1.8264705882352938	659	9	7	0	50	186	30	0.1692466460268318	4	3	1	0	0	0	0	0	0	0	0	1	598	43	18	0	68	94	48	11	15	10	14
3	3	28	1.9903846153846156	241	12	11	0	13	44	1	0.2896103896103896	8	2	1	1	0	0	0	0	0	0	0	0	529	56	15	1	66	63	32	6	3	3	1
4	4	28	1.7142857142857142	291	23	16	0	15	32	3	0.2253108997805413	12	4	7	0	0	0	0	0	0	0	0	0	792	112	36	1	122	82	24	3	5	3	4
5	5	28	2.041860465116279	461	15	9	0	19	110	17	0.2051621442753144	8	0	4	1	0	0	0	0	0	0	0	2	1043	71	16	0	92	160	87	14	13	11	-19
6	6	28	1.8725868725868728	518	10	10	0	26	140	2	0.20983935742971888	7	3	0	0	0	0	0	0	0	0	0	0	1472	121	51	0	145	207	100	5	7	4	10
7	7	28	2.212903225806452	737	55	51	0	48	165	20	0.17921935129191865	32	19	4	0	0	0	0	0	0	0	0	0	1033	105	26	0	122	133	70	14	13	13	8
8	8	29	1.8051282051282047	404	28	23	0	27	65	20	0.21024419297200714	14	6	4	3	0	0	0	0	0	0	0	1	1173	140	44	0	132	129	68	8	5	5	9
9	9	29	1.82484076433121	709	43	35	0	29	162	23	0.18336673346693386	14	15	8	6	0	0	0	0	0	0	0	0	442	59	20	0	70	57	24	10	5	4	10
10	10	29	1.9773584905660375	600	40	32	0	35	109	11	0.22471147318397827	20	11	5	1	0	0	0	0	0	0	0	3	856	81	23	0	107	87	38	5	2	2	26
11	11	29	1.9	534	69	55	0	34	124	11	0.19603960396039605	45	10	14	0	0	0	0	0	0	0	0	0	1064	94	26	0	106	163	107	11	5	2	16
12	12	29	2.0128755364806867	520	22	16	0	40	124	4	0.20825016633399868	14	1	1	1	0	0	0	0	0	0	0	5	868	99	27	0	104	124	40	16	9	8	7
13	13	30	2.517482517482517	394	49	22	0	56	52	1	0.2484787018255578	20	2	8	0	0	0	0	0	0	0	0	19	464	61	18	0	57	50	25	7	2	1	46
14	14	30	2.0073260073260077	590	39	33	0	19	139	24	0.2179379715004191	27	3	4	3	0	0	0	0	0	0	0	2	461	44	12	0	52	46	29	3	3	3	10
15	15	30	1.586666666666667	272	12	9	0	12	64	6	0.2725409836065574	6	1	1	2	0	0	0	0	0	0	0	2	439	50	11	0	47	56	19	2	0	0	10
16	16	30	1.9007832898172323	797	65	50	0	55	165	19	0.17647058823529413	11	5	2	33	1	0	0	0	0	0	0	13	252	31	8	0	29	38	14	14	3	0	38
17	17	31	2.222826086956522	890	87	61	1	98	175	20	0.18781725888324874	50	9	12	1	0	0	1	0	0	0	0	14	233	19	6	0	29	39	20	27	14	10	47
18	18	31	2.0	188	12	8	0	20	18	0	0.3239929947460595	8	0	2	0	0	0	0	0	0	0	0	2	169	20	6	0	21	18	7	6	0	0	14
19	19	31	1.9903846153846156	474	44	30	0	40	116	12	0.2063400576368876	22	2	5	5	0	1	0	0	0	0	0	9	1177	116	36	0	123	154	47	9	4	3	24
20	20	31	2.5	748	84	71	1	80	133	17	0.21074007220216606	45	8	10	12	5	0	0	1	0	0	0	3	502	65	19	0	65	62	26	23	15	10	32
21	21	32	2.1935483870967745	318	22	17	0	17	59	2	0.28205128205128205	7	6	4	2	0	0	1	0	0	0	1	1	679	76	23	0	87	81	34	1	1	0	15
22	22	32	2.354679802955665	542	55	24	0	51	81	5	0.20926339285714285	15	7	24	2	0	0	0	0	0	0	0	7	1239	129	29	1	135	190	106	7	3	0	41
23	23	32	2.4222222222222216	690	72	54	0	74	100	6	0.2120451693851945	31	16	16	6	0	0	1	0	0	0	0	2	700	96	21	0	92	82	29	14	7	1	52
