	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	20	2.229665071770335	592	10	9	0	38	111	2	0.14427157001414428	4	4	1	1	0	0	0	0	0	0	0	0	1355	158	62	0	212	177	85	0	1	0	37
1	1	21	2.469298245614035	625	27	22	3	72	127	23	0.14400000000000002	14	8	4	0	0	0	0	0	0	0	0	1	1750	157	72	0	234	276	119	1	2	0	69
2	2	22	3.1421052631578954	640	56	37	0	98	96	16	0.12791904514789829	26	1	4	4	0	1	3	1	0	0	1	15	2104	229	115	1	355	294	151	7	15	5	71
3	3	23	2.941558441558441	498	50	37	2	81	38	9	0.1441506700470844	22	9	2	1	0	1	4	0	0	0	0	11	1530	190	94	2	282	153	68	6	17	1	57
4	4	24	2.8666666666666667	585	52	32	1	83	110	14	0.17104761904761906	19	6	2	1	0	1	1	0	0	1	3	18	1419	139	75	1	165	202	91	12	5	0	66
5	5	25	3.484375	220	24	20	0	44	26	7	0.14309576837416482	10	4	1	3	1	0	2	0	0	0	0	3	1911	211	89	1	284	228	126	4	2	0	38
6	6	26	2.937799043062201	625	59	41	1	97	112	23	0.14053367217280813	31	5	3	3	0	1	1	0	0	0	0	15	2086	260	123	1	317	234	110	19	7	1	70
7	7	27	3.2808510638297874	868	88	49	0	134	101	34	0.11139630390143736	27	7	3	3	3	3	0	2	0	4	0	36	1409	170	68	0	224	181	81	9	11	0	114
8	8	28	3.4505813953488373	1244	172	94	0	213	183	61	0.12913347815592566	56	10	6	16	0	0	3	1	0	5	3	72	1853	226	104	1	245	222	120	31	37	9	136
9	9	29	3.55	871	127	93	2	155	102	46	0.11708860759493672	58	25	4	2	2	0	0	3	0	2	1	30	2505	391	134	1	453	231	158	24	9	3	119
