	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	27	4.783216783216783	1484	133	79	0	238	201	159	0.11054223877123574	67	1	19	0	0	0	0	5	0	6	0	35	130	14	3	0	20	18	8	21	22	5	190
1	1	27	5.4035087719298245	1617	94	51	0	224	206	206	0.11301553294054635	40	0	6	2	0	0	1	1	0	6	1	37	615	99	48	0	105	71	37	17	52	4	151
2	2	27	5.911392405063292	1977	230	152	1	272	261	220	0.1175496688741722	133	5	9	6	0	2	0	5	0	1	0	69	79	7	4	0	8	8	5	25	37	3	207
3	3	28	6.221311475409836	1645	122	88	0	223	274	176	0.13612979817965967	73	0	6	2	0	0	3	4	0	6	0	28	388	62	21	0	49	48	24	14	29	2	178
4	4	28	6.573476702508961	1863	109	63	0	217	262	231	0.12020587746969948	54	0	4	3	1	2	0	1	0	1	1	42	66	9	6	0	7	12	4	21	38	12	146
5	5	28	5.44	2018	114	84	1	314	313	242	0.14112581725402648	54	2	8	9	4	2	0	6	0	7	0	22	199	20	8	1	20	23	16	26	81	11	196
6	6	28	7.16	1861	153	82	0	265	262	173	0.1259193224871852	75	0	13	2	0	1	0	2	0	1	1	58	117	16	5	0	16	19	8	39	41	14	171
7	7	29	4.734982332155477	1458	124	56	0	174	184	137	0.12160694896851247	46	2	6	5	0	0	0	2	0	1	0	62	128	16	8	0	14	22	6	10	7	4	153
8	8	29	6.59271523178808	1984	128	71	2	307	253	219	0.12919843395837627	45	14	3	2	0	4	1	5	0	0	0	54	102	12	6	0	16	18	7	51	55	24	177
9	9	29	4.941798941798941	991	79	35	0	154	136	74	0.1455160744500846	27	3	4	5	0	0	0	0	0	0	0	40	113	16	7	0	16	14	10	12	45	2	95
10	10	29	6.387254901960786	1384	104	80	2	182	202	149	0.14198161389172625	35	5	4	32	4	0	0	0	0	4	0	20	9	1	0	0	1	1	0	18	35	6	123
11	11	30	6.903225806451613	2383	288	164	0	364	293	190	0.1262258778867447	141	7	37	4	1	4	2	4	0	1	0	87	80	11	4	0	12	14	7	59	58	10	237
12	12	30	7.5291005291005275	2822	184	131	2	327	386	307	0.1078007732544917	62	7	13	37	5	9	1	4	0	6	0	40	87	13	8	0	13	13	3	53	99	15	160
13	13	30	6.505415162454875	1830	161	98	2	261	255	150	0.15629775158262388	71	5	19	5	1	4	6	3	1	1	1	44	251	34	14	0	32	40	17	18	29	9	205
14	14	30	6.5046728971962615	1452	116	63	0	202	157	117	0.14440773949976404	45	2	16	11	2	0	0	3	0	0	0	37	0	0	0	0	0	0	0	14	38	5	145
15	15	31	6.861963190184048	2330	230	146	1	253	279	125	0.1459641599019758	53	26	43	31	5	9	1	11	0	10	0	41	2686	269	147	1	315	407	186	27	44	4	178
16	16	31	7.343642611683848	2238	206	118	0	246	260	167	0.14588411775735982	65	8	36	12	3	6	1	4	1	17	1	52	0	0	0	0	0	0	0	24	40	11	171
17	17	32	10.809027777777779	3060	257	120	0	379	408	252	0.133100147275405	85	8	46	3	0	0	0	21	0	3	0	91	195	19	14	0	16	21	10	77	68	22	212
18	18	32	8.274626865671642	2824	221	120	0	384	303	215	0.13674891693350913	99	1	45	6	0	3	2	4	0	4	1	56	0	0	0	0	0	0	0	56	52	10	266
19	19	32	6.922330097087379	2982	342	192	1	329	287	232	0.12651006711409396	161	5	65	4	0	1	0	11	1	8	1	85	34	2	0	0	1	3	2	57	27	16	229
20	20	32	6.366666666666666	910	85	62	0	114	102	65	0.19623418652544866	9	0	5	31	7	3	1	2	0	8	1	18	6	1	1	0	2	0	0	20	33	7	54
21	21	32	5.862857142857143	1023	109	75	0	105	91	80	0.182434844698322	43	0	6	16	1	0	1	1	0	10	3	28	62	10	7	0	12	9	6	20	23	5	57
22	22	33	6.368181818181817	1426	189	110	1	176	145	98	0.1680071492403932	103	2	34	1	0	0	0	2	0	2	0	45	302	38	19	1	39	46	21	25	14	6	131
23	23	33	5.7913669064748206	824	74	57	0	84	87	48	0.21066152858060366	32	0	5	16	1	3	0	1	0	4	0	12	17	1	1	0	0	3	1	10	24	6	44
24	24	33	6.368181818181817	1491	125	67	0	136	182	126	0.15056360708534622	45	3	27	5	0	3	2	4	0	3	2	31	4	0	0	0	0	0	0	17	18	5	96
25	25	33	5.4822335025380715	1090	111	53	0	125	135	52	0.2132132132132132	38	3	34	3	2	3	2	1	0	1	0	24	283	21	17	0	25	37	17	19	18	1	87
26	26	33	5.481675392670157	1121	144	59	0	158	91	75	0.1896623593163818	42	2	31	1	0	0	0	14	0	0	0	54	546	52	11	0	67	70	40	15	16	1	126
27	27	34	4.321052631578946	898	107	28	0	107	69	19	0.1926924749891257	25	1	41	0	0	0	0	1	0	0	1	38	717	79	28	0	79	101	50	12	27	5	63
28	28	34	7.805405405405406	1354	156	97	0	163	156	88	0.16862210095497954	55	0	21	28	1	3	0	4	0	4	2	38	0	0	0	0	0	0	0	38	15	4	106
29	29	34	6.110169491525424	1443	203	113	0	195	118	61	0.16294711097523693	80	2	48	13	1	2	0	11	0	3	1	42	0	0	0	0	0	0	0	29	11	4	151
30	30	34	7.503311258278147	1114	153	93	1	152	129	70	0.17269293038316244	33	4	26	21	1	1	1	12	3	16	1	34	1	0	0	0	0	0	0	36	25	6	85
