	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	19	1.8712121212121209	308	23	15	0	32	72	1	0.10546038543897217	11	3	0	0	0	0	0	0	0	1	0	8	3435	362	105	4	541	386	183	1	3	0	28
1	1	20	2.413636363636364	684	36	28	1	88	183	23	0.10996879015972094	16	1	2	5	0	1	1	0	0	4	0	6	3071	367	127	0	485	332	174	9	3	1	75
2	2	21	2.870967741935484	829	87	67	2	121	108	0	0.1203155818540434	41	6	4	7	1	2	6	2	0	2	0	16	3109	352	118	1	476	292	162	8	12	2	99
3	3	22	2.789855072463768	438	47	36	0	54	67	24	0.12255475672964387	13	11	3	4	2	0	3	0	0	3	0	8	3560	408	170	0	525	424	204	5	3	2	44
4	4	24	3.3227091633466137	912	109	74	1	113	118	26	0.12084592145015105	57	3	2	3	2	1	6	1	0	1	0	33	3078	323	112	1	485	319	172	16	4	0	93
5	5	25	2.804255319148936	767	73	53	0	84	93	28	0.09838941157710096	29	8	2	2	1	0	12	1	0	0	0	18	3119	298	118	0	405	383	168	14	9	2	59
6	6	26	3.2089552238805967	742	82	68	7	74	102	41	0.13053022627490712	36	5	8	3	10	1	5	0	0	7	1	6	3641	351	151	0	486	514	212	19	3	1	51
7	7	27	3.966666666666667	771	102	92	0	119	69	39	0.13795918367346938	67	3	4	9	1	1	1	7	0	3	0	6	2729	307	137	2	424	373	148	20	2	2	95
8	8	28	3.9204545454545454	790	77	54	0	88	88	31	0.12930658525948538	39	7	1	3	1	1	0	0	0	3	0	22	2836	336	115	0	440	300	138	14	8	1	65
9	9	29	5.0673758865248235	1445	187	150	1	183	164	73	0.10618329039381673	101	6	8	11	3	3	22	2	0	0	2	29	2388	283	121	1	313	305	134	33	17	9	124
