	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed
0	0	25	4.587096774193548	817	49	33	0	104	99	26	0.18092428711897734	19	2	8	5	0	0	0	6	0	1	0	8	1217	135	43	0	167	135	57	19	27	7	51
1	1	25	4.795918367346938	1084	51	39	1	108	223	59	0.18933823529411764	21	7	3	6	0	0	0	1	0	3	1	9	1092	126	38	0	136	158	59	19	12	6	71
2	2	25	4.273127753303965	1113	74	47	0	94	142	23	0.16709292412617222	26	1	21	0	0	3	0	14	0	1	2	6	1233	153	60	0	185	131	31	7	6	2	79
3	3	25	5.35754189944134	990	89	70	0	135	121	22	0.2058023572076156	22	2	7	30	3	0	0	13	0	0	0	12	1216	160	51	0	170	147	56	30	23	3	79
4	4	30	5.774358974358973	1209	96	71	0	103	159	90	0.1747299201503053	37	2	10	3	0	0	3	23	0	3	0	15	920	105	56	0	108	127	32	18	10	3	72
5	5	30	5.868932038834951	1306	73	51	1	112	169	115	0.1944803794739112	18	1	17	16	4	1	1	2	0	7	1	5	1013	110	68	0	151	125	49	7	12	0	93
6	6	30	5.3532934131736525	987	57	33	0	86	126	90	0.1809640522875817	18	3	13	2	0	0	0	9	0	1	0	11	1461	184	115	0	206	200	68	17	11	2	56
7	7	30	4.8724489795918355	1040	52	32	0	118	152	69	0.17986734295747173	15	1	15	1	0	0	1	11	0	3	0	5	1523	155	87	0	198	168	49	14	12	3	89
8	8	32	5.7577319587628875	1182	64	46	0	98	179	57	0.18189102564102566	15	1	10	6	1	1	4	10	0	8	0	8	1314	164	87	0	168	184	54	19	3	0	76
9	9	32	5.505050505050505	1131	81	48	0	92	158	79	0.19709794437726724	27	4	21	0	0	2	5	10	0	0	0	12	1350	173	95	0	190	170	78	9	7	3	73
10	10	32	6.6584158415841594	1408	104	70	1	128	152	114	0.17148554336989033	22	3	25	34	4	0	0	4	0	3	0	9	1601	194	109	0	222	157	43	7	7	2	112
11	11	32	5.861702127659575	1104	102	53	0	120	151	87	0.20147954743255006	26	2	34	13	5	0	0	4	0	2	1	15	1194	148	66	0	150	150	51	32	22	6	60
12	12	34	5.86624203821656	972	115	57	1	130	98	42	0.1747700394218134	20	7	23	13	6	0	0	8	0	2	1	35	1311	176	72	1	189	148	66	15	9	4	102
13	13	35	5.873134328358209	900	88	52	0	97	110	65	0.1922912205567452	23	10	11	7	0	2	1	7	2	0	0	25	1435	217	86	1	208	149	64	25	10	2	60
14	14	35	5.523076923076923	782	94	57	1	102	70	30	0.1892023346303502	27	7	14	2	5	5	1	10	0	0	0	23	1274	174	101	1	178	188	47	14	28	6	54
15	15	36	7.136363636363638	1006	110	61	0	138	190	61	0.17884702678166134	9	7	27	28	1	0	0	7	0	8	1	22	1197	167	78	1	173	146	61	36	10	5	87
16	16	36	6.18543046357616	884	90	50	5	112	171	61	0.15691056910569107	23	7	17	3	3	0	0	13	0	1	0	23	1576	228	115	0	264	202	104	35	16	5	56
17	17	36	4.4444444444444455	566	44	20	0	68	88	39	0.16828478964401294	9	3	12	0	0	0	0	6	0	2	0	12	1597	184	66	1	217	186	84	8	6	2	52
18	18	38	8.038461538461537	1228	106	79	0	197	191	70	0.13480209111277072	24	8	8	11	0	2	5	25	3	0	1	19	1450	218	147	1	263	162	65	28	27	5	137
19	19	39	5.648648648648647	1080	141	78	0	148	125	61	0.17844591956267086	25	5	29	6	1	0	1	12	2	25	1	34	1481	212	84	2	224	156	74	12	14	0	122
20	20	39	4.813253012048193	835	95	35	0	110	81	58	0.1747108097327483	18	1	38	3	0	0	1	7	2	3	0	22	1672	226	81	0	240	199	77	10	9	2	89
21	21	47	4.264900662251655	701	99	34	0	101	86	26	0.18566775244299674	21	10	33	0	0	0	0	2	0	0	1	32	1755	267	98	0	276	219	53	17	6	3	75
22	22	47	6.959770114942528	1227	107	64	0	162	156	60	0.17359507313317935	19	13	35	6	1	0	0	6	3	15	1	8	1371	133	81	0	192	184	68	17	14	5	126
23	23	47	6.769230769230768	968	95	55	2	131	103	65	0.1970397779833488	22	7	27	9	1	0	0	12	2	1	1	13	1194	134	84	0	147	163	64	7	8	1	115
24	24	48	5.542253521126762	858	90	55	0	121	70	20	0.17369930356411306	19	14	17	5	0	1	0	11	0	2	3	18	1583	222	120	1	274	121	57	14	3	0	104
25	25	48	5.284810126582278	882	85	51	0	120	110	33	0.197165991902834	22	14	10	0	0	0	0	11	0	4	0	24	1588	183	75	1	233	201	56	13	19	4	84
