	Unnamed: 0	Unnamed: 0.1	file	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	%pronouns	%error	%verb	%tensed_verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
0	0	0	Gleason/Mother/andy.xml	49	4.073529411764706	578	69	35	0	74	67	26	0.20272435897435892	22	0	12	3	0	1	0	5	2	1	1	22	1803	211	86	1	235	228	136	7	3	2	62	0.06055363321799308	0.0	0.12802768166089964	0.16216216216216217	0.11591695501730104	0.04498269896193772	0.04769828064337216	0.13033832501386577	0.1264559068219634	0.07542983915696062
1	1	1	Gleason/Mother/bobby.xml	50	3.5487804878048776	627	66	47	0	65	65	25	0.16478245974648853	31	0	11	2	4	0	1	3	0	2	4	8	2239	295	160	2	339	240	119	6	8	1	50	0.07496012759170653	0.0	0.10366826156299841	0.23076923076923078	0.10366826156299841	0.03987240829346093	0.07146047342563644	0.1514068780705672	0.10719071013845467	0.0531487271103171
2	2	2	Gleason/Mother/charlie.xml	36	3.8556701030927836	835	81	44	0	94	66	45	0.13687015503875968	28	0	20	3	1	0	0	8	0	3	1	17	3232	462	213	1	475	368	187	12	12	2	68	0.05269461077844311	0.0	0.1125748502994012	0.2765957446808511	0.07904191616766468	0.05389221556886228	0.06590346534653466	0.1469678217821782	0.11386138613861387	0.05785891089108911
3	3	3	Gleason/Mother/david.xml	50	4.932142857142857	1367	204	87	0	178	131	62	0.1313031441566146	49	12	76	5	2	1	0	3	1	5	9	41	3556	435	223	1	472	397	246	22	10	2	144	0.06364301389904901	0.0	0.1302121433796635	0.19101123595505617	0.0958302852962692	0.04535479151426482	0.06271091113610798	0.1327334083239595	0.11164229471316085	0.06917885264341957
4	4	4	Gleason/Mother/eddie.xml	51	4.315	868	103	72	1	119	109	49	0.12708333333333333	47	8	11	5	5	1	0	1	0	5	0	20	3792	432	168	0	530	459	222	21	14	3	81	0.08294930875576037	0.013888888888888888	0.13709677419354838	0.31932773109243695	0.12557603686635946	0.056451612903225805	0.04430379746835443	0.13976793248945146	0.12104430379746836	0.058544303797468354
5	5	5	Gleason/Mother/frank.xml	62	4.402684563758389	1293	177	98	0	178	148	63	0.14461223445098542	49	12	32	5	1	5	3	20	1	2	0	47	2483	293	142	0	343	291	141	36	16	4	122	0.07579273008507348	0.0	0.13766434648105183	0.3146067415730337	0.11446249033255994	0.048723897911832945	0.057188884414015304	0.13813934756343133	0.11719693918646798	0.056786145791381394
6	6	6	Gleason/Mother/guy.xml	37	3.713636363636364	822	97	47	0	132	60	19	0.1565387846541585	41	3	24	0	0	0	0	0	0	2	1	26	2278	296	108	0	329	288	160	14	6	1	111	0.057177615571776155	0.0	0.16058394160583941	0.1590909090909091	0.072992700729927	0.023114355231143552	0.04741000877963126	0.14442493415276558	0.1264266900790167	0.07023705004389816
7	7	7	Gleason/Mother/helen.xml	59	4.735785953177258	1339	172	106	0	169	156	83	0.1245774987928537	75	5	27	13	1	6	1	0	0	4	1	39	2769	303	102	1	396	303	149	29	21	4	115	0.07916355489171023	0.0	0.1262135922330097	0.31952662721893493	0.11650485436893204	0.0619865571321882	0.03683640303358613	0.14301191765980498	0.1094257854821235	0.053810039725532686
8	8	8	Gleason/Mother/isadora.xml	42	4.0517241379310365	975	134	80	0	128	84	37	0.1351136964569011	52	3	33	2	0	0	0	19	0	4	0	21	2698	328	147	0	377	295	151	14	3	3	108	0.08205128205128205	0.0	0.13128205128205128	0.15625	0.08615384615384615	0.03794871794871795	0.054484803558191255	0.1397331356560415	0.10934025203854707	0.055967383246849516
9	9	9	Gleason/Mother/john.xml	50	3.804195804195804	614	63	35	1	77	70	24	0.1652701531349321	30	0	9	0	0	1	1	2	0	0	1	19	2736	332	125	1	343	360	192	4	6	2	65	0.057003257328990226	0.02857142857142857	0.1254071661237785	0.15584415584415584	0.11400651465798045	0.03908794788273615	0.04568713450292398	0.1253654970760234	0.13157894736842105	0.07017543859649122
