	Unnamed: 0	Unnamed: 0.1	file	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	%pronouns	%error	%verb	%tensed_verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
1	1	1	NewEngland/32/02.xml	32	2.293233082706767	330	26	18	0	33	73	15	0.2481985588470777	17	0	3	1	0	0	0	0	0	0	0	5	918	84	42	0	96	118	46	6	4	3	20	0.05454545454545454	0.0	0.1	0.3939393939393939	0.22121212121212122	0.045454545454545456	0.0457516339869281	0.10457516339869281	0.12854030501089325	0.05010893246187364
2	2	2	NewEngland/32/03.xml	32	2.729032258064516	425	43	32	0	44	58	27	0.2814070351758794	12	5	6	5	2	1	0	0	0	6	1	5	568	56	30	0	65	61	38	6	2	1	35	0.07529411764705882	0.0	0.10352941176470588	0.20454545454545456	0.13647058823529412	0.06352941176470588	0.0528169014084507	0.11443661971830986	0.1073943661971831	0.06690140845070422
4	4	4	NewEngland/32/06.xml	32	3.4831460674157304	310	32	19	0	38	48	14	0.270544783010157	7	1	4	3	1	0	1	4	0	2	0	9	771	94	54	0	94	116	51	5	4	1	28	0.06129032258064516	0.0	0.12258064516129032	0.2631578947368421	0.15483870967741936	0.04516129032258064	0.07003891050583658	0.1219195849546044	0.1504539559014267	0.06614785992217899
5	5	5	NewEngland/32/10.xml	31	2.953488372093023	382	31	20	0	42	64	31	0.2132409545804465	8	1	9	2	0	2	1	1	0	5	0	2	914	119	76	1	113	89	45	1	10	0	31	0.05235602094240838	0.0	0.1099476439790576	0.2619047619047619	0.16753926701570682	0.08115183246073299	0.08315098468271334	0.12363238512035012	0.09737417943107221	0.04923413566739606
6	6	6	NewEngland/32/13.xml	32	3.4216867469879513	327	22	18	0	37	43	14	0.2048894062863795	11	0	1	1	0	0	1	5	0	0	0	3	1387	149	60	0	183	155	91	1	8	0	28	0.05504587155963303	0.0	0.11314984709480122	0.24324324324324326	0.13149847094801223	0.04281345565749235	0.043258832011535686	0.13193943763518384	0.11175198269646719	0.06560922855082912
7	7	7	NewEngland/32/16.xml	32	4.046979865771812	620	75	46	0	73	93	33	0.22299168975069253	17	5	24	11	3	0	0	4	0	3	3	5	822	94	43	1	100	101	36	6	2	0	65	0.07419354838709677	0.0	0.11774193548387096	0.1095890410958904	0.15	0.0532258064516129	0.052311435523114354	0.12165450121654502	0.12287104622871046	0.043795620437956206
8	8	8	NewEngland/32/19.xml	32	3.617021276595745	353	54	40	0	48	43	22	0.19824175824175824	26	3	6	3	1	0	0	2	1	2	2	8	1921	206	92	0	264	270	143	4	5	0	39	0.11331444759206799	0.0	0.1359773371104816	0.1875	0.12181303116147309	0.06232294617563739	0.04789172306090578	0.13742842269651223	0.14055179593961478	0.07444039562727746
9	9	9	NewEngland/32/23.xml	31	3.5	525	49	27	0	40	96	43	0.2156185210780926	6	5	13	8	1	0	0	1	0	1	5	9	921	85	32	0	111	127	64	6	7	0	27	0.05142857142857143	0.0	0.0761904761904762	0.325	0.18285714285714286	0.08190476190476191	0.03474484256243214	0.12052117263843648	0.13789359391965256	0.06948968512486428
10	10	10	NewEngland/32/25.xml	33	3.2991452991452985	386	33	20	0	38	75	45	0.2099706744868035	15	0	4	5	0	0	0	0	0	0	0	9	1319	112	58	0	128	180	103	4	5	0	29	0.05181347150259067	0.0	0.09844559585492228	0.23684210526315788	0.19430051813471502	0.11658031088082901	0.04397270659590599	0.09704321455648218	0.13646702047005307	0.07808946171341925
11	11	11	NewEngland/32/26.xml	31	3.824175824175824	366	33	21	0	40	43	19	0.2445980985306828	8	1	7	4	3	2	0	1	1	0	1	5	0	0	0	0	0	0	0	5	6	1	28	0.05737704918032787	0.0	0.1092896174863388	0.3	0.11748633879781421	0.05191256830601093				
