file	Unnamed: 0	Unnamed: 0.1	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	%pronouns	%error	%verb	%tensed_verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
Valian/04	21	21	22.0	2.6984747126666666	2445	183	129	1	262	551	55	0.16124722466666666	110	3	2	2	8	0	0	4	0	0	2	52	7852	895	376	2	927	1298	523	25	23	6	208	0.05276073619631902	0.007751937984496124	0.10715746421267894	0.20610687022900764	0.22535787321063394	0.022494887525562373	0.047885888945491596	0.11805909322465614	0.1653082017320428	0.06660723382577687
Valian/06	21	21	27.0	2.547443038	1042	126	78	1	133	168	73	0.1877786725	63	2	18	7	2	1	3	0	0	0	0	30	4003	500	191	0	470	480	193	27	13	0	93	0.07485604606525911	0.01282051282051282	0.1276391554702495	0.3007518796992481	0.16122840690978887	0.07005758157389635	0.04771421433924557	0.11741194104421684	0.11991006744941295	0.04821383962028478
Valian/07	12	12	28.0	2.8717277489999997	1268	121	111	4	188	182	20	0.14262023199999999	75	11	0	12	7	0	0	3	0	3	0	10	2631	345	161	0	312	297	133	24	18	9	137	0.08753943217665615	0.036036036036036036	0.14826498422712933	0.2712765957446808	0.14353312302839116	0.015772870662460567	0.06119346256176359	0.11858608893956671	0.11288483466362599	0.05055112124667427
Valian/08	27	27	31.0	3.3837964439999997	2372	250	124	5	273	360	167	0.14269464199999998	90	12	21	2	2	5	0	8	0	5	0	105	6329	732	270	0	678	983	510	44	30	6	193	0.05227655986509275	0.04032258064516129	0.11509274873524451	0.29304029304029305	0.15177065767284992	0.07040472175379427	0.04266076789382209	0.1071259282667088	0.15531679570232265	0.08058145046610839
Valian/09	48	48	32.0	3.5327112606666664	1649	204	112	1	203	252	64	0.162891647	80	6	30	4	1	4	1	1	1	7	7	62	8769	1062	472	0	1070	1098	476	36	25	7	135	0.06791995148574893	0.008928571428571428	0.12310491206791996	0.33497536945812806	0.15281989084293512	0.038811400848999394	0.05382597787661079	0.12202075493214734	0.12521382141635307	0.05428213023149732
Valian/10	57	57	29.333333333333332	2.913580247	1832	186	150	0	221	331	159	0.16696161766666665	131	6	6	4	4	2	0	0	0	3	0	30	7804	934	492	1	986	1136	555	15	19	0	187	0.08187772925764192	0.0	0.12063318777292577	0.15384615384615385	0.1806768558951965	0.08679039301310043	0.06304459251665813	0.1263454638646848	0.14556637621732446	0.07111737570476678
Valian/11	43	43	27.5	4.097267444	2625	225	204	1	320	373	143	0.14929963300000001	112	6	4	33	11	7	20	10	0	2	3	17	3125	395	194	1	360	358	113	69	38	2	211	0.07771428571428571	0.004901960784313725	0.1219047619047619	0.340625	0.1420952380952381	0.05447619047619048	0.06208	0.1152	0.11456	0.03616
Valian/12	47	47	30.5	4.2551239185	1720	193	106	1	225	286	151	0.157628948	55	7	59	5	3	12	12	5	0	6	1	28	2592	431	158	2	372	275	129	30	33	2	160	0.06162790697674419	0.009433962264150943	0.1308139534883721	0.28888888888888886	0.16627906976744186	0.0877906976744186	0.06095679012345679	0.14351851851851852	0.10609567901234568	0.04976851851851852
Valian/13	51	51	28.0	3.9467592595000003	2298	269	138	0	289	378	114	0.16119147550000001	71	21	72	17	1	3	7	5	0	2	11	59	5069	601	243	1	651	582	264	52	44	4	189	0.06005221932114883	0.0	0.1257615317667537	0.3460207612456747	0.16449086161879894	0.04960835509138381	0.04793844939830341	0.12842769777076346	0.11481554547247978	0.052081278358650625
Valian/14	55	55	29.0	4.0000961539999995	2255	183	137	1	251	326	148	0.15735246949999998	80	4	22	28	0	1	4	14	0	4	2	24	3718	449	213	2	465	496	221	35	29	7	180	0.06075388026607539	0.0072992700729927005	0.11130820399113082	0.28286852589641437	0.14456762749445676	0.06563192904656319	0.05728886498117267	0.12506724045185583	0.13340505648197956	0.05944055944055944
