file	Unnamed: 0	Unnamed: 0.1	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	#past	#present	#perfect	#untensed	%pronouns	%error	%verb	%tensed_verb	%noun	%determiner	%parent_pronouns	%parent_verb	%parent_noun	%parent_determiner
VanKleeck/amy	1	1	45	4.6050407925000005	758	131	82	1	107	93	37	0.214829286	43	5	20	8	4	3	2	1	2	8	6	29	1884	288	122	0	263	225	89	23	10	3	71	0.10817941952506596	0.012195121951219513	0.14116094986807387	0.3364485981308411	0.12269129287598944	0.048812664907651716	0.06475583864118896	0.13959660297239915	0.11942675159235669	0.04723991507430998
VanKleeck/andrew	5	5	48	4.8586362035	995	99	56	0	121	189	95	0.198049205	40	3	8	4	0	0	0	3	0	4	2	35	2366	356	146	0	333	310	172	48	27	18	28	0.05628140703517588	0.0	0.12160804020100502	0.768595041322314	0.1899497487437186	0.09547738693467336	0.06170752324598478	0.14074387151310228	0.13102282333051563	0.07269653423499578
VanKleeck/ben	9	9	44	6.6161946689999995	1916	254	152	0	318	207	86	0.18291536799999997	61	5	30	23	0	8	4	16	4	18	13	72	2378	378	168	1	357	251	127	110	41	26	141	0.07933194154488518	0.0	0.16597077244258873	0.5566037735849056	0.1080375782881002	0.04488517745302714	0.07064760302775441	0.15012615643397814	0.10555088309503785	0.053406223717409586
VanKleeck/bree	6	6	46	4.092783505	405	66	36	0	69	47	23	0.194736842	13	1	17	3	1	3	9	2	0	0	4	13	1305	203	80	0	182	162	82	2	1	0	66	0.08888888888888889	0.0	0.17037037037037037	0.043478260869565216	0.11604938271604938	0.056790123456790124	0.06130268199233716	0.13946360153256704	0.12413793103448276	0.06283524904214559
VanKleeck/brent	7	7	45	6.523584906	1321	193	111	0	199	133	92	0.164567249	21	3	37	12	1	2	2	31	3	12	24	45	1140	187	87	0	172	116	68	39	17	13	130	0.08402725208175625	0.0	0.1506434519303558	0.34673366834170855	0.10068130204390613	0.0696442089326268	0.07631578947368421	0.15087719298245614	0.10175438596491228	0.05964912280701754
VanKleeck/chris	8	8	46	4.0	493	74	43	1	67	59	26	0.24667931699999998	33	1	18	2	1	2	0	0	0	4	0	13	1088	144	48	0	147	154	61	24	8	5	30	0.0872210953346856	0.023255813953488372	0.1359026369168357	0.5522388059701493	0.11967545638945233	0.05273833671399594	0.04411764705882353	0.13511029411764705	0.14154411764705882	0.05606617647058824
VanKleeck/david	19	19	48	6.2500865805	1847	225	101	1	272	243	101	0.16362648400000002	24	7	50	1	0	1	0	21	17	26	4	74	1840	278	102	1	266	212	92	65	40	24	143	0.05468327016783974	0.009900990099009901	0.14726583649160802	0.4742647058823529	0.13156469951272334	0.05468327016783974	0.05543478260869565	0.14456521739130435	0.11521739130434783	0.05
VanKleeck/graham	23	23	45	6.1561983475	1428	165	107	0	195	190	104	0.1710515015	55	6	36	9	1	0	0	11	3	17	5	22	2688	402	176	1	377	394	205	30	25	9	131	0.07492997198879552	0.0	0.13655462184873948	0.3282051282051282	0.1330532212885154	0.07282913165266107	0.06547619047619048	0.1402529761904762	0.14657738095238096	0.07626488095238096
VanKleeck/jenny	27	27	37	3.6650326800000004	423	52	35	0	55	71	21	0.29417069	27	4	13	0	0	0	0	3	0	0	1	4	1069	165	75	11	141	154	28	4	0	0	51	0.08274231678486997	0.0	0.13002364066193853	0.07272727272727272	0.16784869976359337	0.04964539007092199	0.07015902712815715	0.13189897100093545	0.14405986903648269	0.026192703461178673
VanKleeck/jessica	31	31	44	5.3319660925	1557	245	170	0	241	217	60	0.18572734100000002	63	10	35	9	1	22	51	3	6	3	2	40	2239	363	205	2	327	315	102	28	25	4	184	0.10918432883750803	0.0	0.15478484264611433	0.23651452282157676	0.13937058445728967	0.038535645472061654	0.09155873157659669	0.1460473425636445	0.14068780705672176	0.045556051808843236
