,Unnamed: 0,fileid,age,mlu,#words,#pronouns,#cased_pronoun,#errors,#verb,#noun,#determiner,richness,#I,#me,#you,#he,#him,#she,#her,#we,#us,#they,#them,#it,#parentwords,#parentpronouns,parentcased_pronouns,parenterrors,#parent_verb,#parent_noun,#parent_determiner,#past,#present,#perfect,#untensed
0,0,Bates/Free28/betty ,28,1.769230769,30,4,4,0,3,6,0,0.396610169,1,0,0,0,0,2,1,0,0,0,0,0,265,32,25,0,23,37,19,1,0,0,2
1,1,Bates/Free28/chuck ,28,2.444444444,57,3,2,0,6,13,4,0.35426009,2,0,0,0,0,0,0,0,0,0,0,1,389,38,14,0,56,48,22,0,0,0,6
2,2,Bates/Free28/chuck ,28,2.093023256,108,4,1,0,7,7,0,0.300904977,1,0,0,0,0,0,0,0,0,0,0,3,334,40,8,0,53,21,11,3,0,0,4
3,3,Bates/Free28/chuck ,28,2.269230769,60,2,2,0,3,21,8,0.311740891,2,0,0,0,0,0,0,0,0,0,0,0,423,38,25,0,38,56,35,0,0,0,3
4,4,Bates/Free28/doug ,28,3.523809524,86,2,1,0,5,13,3,0.387409201,0,0,1,0,1,0,0,0,0,0,0,0,318,31,12,0,28,38,14,0,1,0,4
5,5,Bates/Free28/doug ,28,4.857142857,93,4,4,0,11,16,3,0.389380531,1,0,0,1,2,0,0,0,0,0,0,0,359,48,27,0,60,35,19,0,1,0,10
6,6,Bates/Free28/doug ,28,2.555555556,30,3,1,0,0,7,1,0.324390244,0,0,0,0,0,0,1,0,0,0,0,2,369,51,42,0,34,42,16,0,0,0,0
7,7,Bates/Free28/ed ,28,3.777777778,38,3,3,0,5,7,2,0.463333333,2,1,0,0,0,0,0,0,0,0,0,0,262,31,10,0,32,33,11,0,1,0,4
8,8,Bates/Free28/ed ,28,3.911764706,137,14,13,0,14,11,1,0.306451613,2,0,0,0,0,0,0,0,0,7,4,1,359,31,23,0,54,49,20,0,4,0,10
9,9,Bates/Free28/ed ,28,3.193548387,88,5,4,0,13,21,3,0.266943292,0,0,0,3,1,0,0,0,0,0,0,1,635,77,56,0,82,67,22,1,5,0,7
10,10,Bates/Free28/frank ,28,2.066666667,71,4,3,0,5,3,1,0.385809313,0,1,0,0,0,0,0,2,0,0,0,1,370,50,15,1,54,44,20,1,0,0,4
11,11,Bates/Free28/frank ,28,2,54,1,1,0,10,10,1,0.438247012,1,0,0,0,0,0,0,0,0,0,0,0,197,19,11,0,23,21,12,1,5,1,3
