	Unnamed: 0	age	mlu	#words	#pronouns	#cased_pronoun	#errors	#verb	#noun	#determiner	richness	#I	#me	#you	#he	#him	#she	#her	#we	#us	#they	#them	#it	#parentwords	#parentpronouns	parentcased_pronouns	parenterrors	#parent_verb	#parent_noun	#parent_determiner	file	#past	#present	#perfect	#untensed
0	0	36	2.1666666666666665	147	12	10	0	17	39	5	0.2310007524454477	10	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Bohannon/Bax/gina11.xml	2	0	0	15
1	1	36	2.084967320261438	506	24	16	0	82	193	10	0.14602960969044415	12	2	0	0	0	0	0	2	0	0	0	8	0	0	0	0	0	0	0	Bohannon/Bax/judy6.xml	2	0	0	80
2	2	36	2.3423423423423424	298	22	13	1	37	49	10	0.14666666666666667	9	1	0	2	0	1	0	0	0	0	0	9	0	0	0	0	0	0	0	Bohannon/Bax/karen3.xml	0	3	0	34
3	3	36	2.707070707070707	324	23	14	0	37	82	18	0.16712328767123288	11	2	2	1	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	Bohannon/Bax/kelley2.xml	2	4	1	30
4	4	36	2.7228915662650603	243	46	25	0	71	36	3	0.23468507333908545	19	6	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	Bohannon/Bax/leah1.xml	22	0	0	49
5	5	36	2.6301369863013697	440	77	30	1	76	67	15	0.18043202033036848	27	2	4	0	0	0	0	1	0	0	0	43	41	7	1	0	8	5	3	Bohannon/Bax/lindy8.xml	8	1	0	67
6	6	36	2.029126213592233	258	11	8	0	24	51	17	0.1978798586572438	4	2	2	0	0	0	0	0	0	2	0	1	106	12	8	0	14	11	5	Bohannon/Bax/mari10.xml	5	1	0	18
7	7	36	2.308270676691729	351	34	25	1	66	58	5	0.1788300835654596	12	5	0	4	0	0	2	1	0	1	0	9	0	0	0	0	0	0	0	Bohannon/Bax/mich7.xml	8	10	0	48
8	8	36	2.8225806451612905	416	46	37	0	64	80	33	0.20877598152424945	31	3	1	0	0	0	0	1	0	2	0	8	80	5	5	0	8	10	3	Bohannon/Bax/russ9.xml	6	1	0	57
9	9	36	2.8571428571428568	286	18	11	0	31	59	17	0.2867803837953092	9	2	4	0	0	0	0	0	0	0	0	3	19	3	2	0	2	2	0	Bohannon/Bax/thad5.xml	6	2	0	23
